"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018OHW-AT01","","","","","","","","","GHP2018OHW-AT01-00001","","","","3","1","15","1","18","30","12","1","3","3","5","2.1","0.1","3","2.2","5.2","16","0.14","0.1","0.1375","0.888888889","0.533333333","0.833333333","0.5","0.122222222","0.073333333","0.166666667","0.1","93.75","42.30769231","60","2.333333333","3.888888889","2.444444444","4.074074074","3.333333333","5.555555556","5.777777778","9.62962963"
"","","GHP2018OHW-AT01","","","","","","","","","GHP2018OHW-AT01-00010","","","","1","1","15","4","8","30","8","1","4","5","7","2.3","0.4","0.5","2.7","3.2","19","0.153333333","0.1","0.142105263","2.375","0.633333333","1.875","0.5","0.3375","0.09","0.0625","0.016666667","78.94736842","84.375","26.66666667","2.555555556","9.583333333","3","11.25","0.555555556","2.083333333","3.555555556","13.33333333"
"","","GHP2018OHW-AT01","","","","","","","","","GHP2018OHW-AT01-00011","","","","","","0","0","14","30","0","","","","6","0","0","4.5","0","4.5","0","","","","0","0","0","0","0","0","0.321428571","0.15","","0","46.66666667","0","0","0","0","5","10.71428571","5","10.71428571"
"","","GHP2018OHW-AT01","","","","","","","","","GHP2018OHW-AT01-00012","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-AT01","","","","","","","","","GHP2018OHW-AT01-00013","","","","3","1","9","5","12","30","10","1","4","5","6","1.2","0.3","2","1.5","3.5","14","0.133333333","0.06","0.107142857","1.166666667","0.466666667","0.75","0.3","0.125","0.05","0.166666667","0.066666667","64.28571429","42.85714286","40","1.333333333","3.333333333","1.666666667","4.166666667","2.222222222","5.555555556","3.888888889","9.722222222"
"","","GHP2018OHW-AT01","","","","","","","","","GHP2018OHW-AT01-00014","","","","1","1","4","3","4","30","4","1","4","3","3","1.4","0.3","4.8","1.7","6.5","7","0.35","0.1","0.242857143","1.75","0.233333333","1","0.133333333","0.425","0.056666667","1.2","0.16","57.14285714","26.15384615","13.33333333","1.555555556","11.66666667","1.888888889","14.16666667","5.333333333","40","7.222222222","54.16666667"
"","","GHP2018OHW-AT01","","","","","","","","","GHP2018OHW-AT01-00015","","","","3","1","18","8","18","30","18","1","3","3","5","4","0.7","13","4.7","17.7","26","0.222222222","0.0875","0.180769231","1.444444444","0.866666667","1","0.6","0.261111111","0.156666667","0.722222222","0.433333333","69.23076923","26.55367232","60","4.444444444","7.407407407","5.222222222","8.703703704","14.44444444","24.07407407","19.66666667","32.77777778"
"","","GHP2018OHW-AT01","","","","","","","","","GHP2018OHW-AT01-00016","","","","3","1","32","8","15","30","15","1","3","1","3","13.4","0.5","32.5","13.9","46.4","40","0.41875","0.0625","0.3475","2.666666667","1.333333333","2.133333333","1.066666667","0.926666667","0.463333333","2.166666667","1.083333333","80","29.95689655","50","14.88888889","29.77777778","15.44444444","30.88888889","36.11111111","72.22222222","51.55555556","103.1111111"
"","","GHP2018OHW-AT01","","","","","","","","","GHP2018OHW-AT01-00017","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-AT01","","","","","","","","","GHP2018OHW-AT01-00018","","","","3","1","57","80","29","30","29","1","3","3","4","8.1","2.5","12","10.6","22.6","137","0.142105263","0.03125","0.077372263","4.724137931","4.566666667","1.965517241","1.9","0.365517241","0.353333333","0.413793103","0.4","41.60583942","46.90265487","96.66666667","9","9.310344828","11.77777778","12.18390805","13.33333333","13.79310345","25.11111111","25.97701149"
"","","GHP2018OHW-AT01","","","","","","","","","GHP2018OHW-AT01-00019","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-AT01","","","","","","","","","GHP2018OHW-AT01-00002","","","","5","1","4","2","5","30","2","1","5","7","6","0.4","0.2","1","0.6","1.6","6","0.1","0.1","0.1","1.2","0.2","0.8","0.133333333","0.12","0.02","0.2","0.033333333","66.66666667","37.5","16.66666667","0.444444444","2.666666667","0.666666667","4","1.111111111","6.666666667","1.777777778","10.66666667"
"","","GHP2018OHW-AT01","","","","","","","","","GHP2018OHW-AT01-00020","","","","3","1","15","5","6","30","6","1","3","3","5","4.1","0.3","1.5","4.4","5.9","20","0.273333333","0.06","0.22","3.333333333","0.666666667","2.5","0.5","0.733333333","0.146666667","0.25","0.05","75","74.57627119","20","4.555555556","22.77777778","4.888888889","24.44444444","1.666666667","8.333333333","6.555555556","32.77777778"
"","","GHP2018OHW-AT01","","","","","","","","","GHP2018OHW-AT01-00021","","","","1","1","10","2","17","30","14","1","4","3","5","2.1","0.3","4.5","2.4","6.9","12","0.21","0.15","0.2","0.705882353","0.4","0.588235294","0.333333333","0.141176471","0.08","0.264705882","0.15","83.33333333","34.7826087","56.66666667","2.333333333","4.117647059","2.666666667","4.705882353","5","8.823529412","7.666666667","13.52941176"
"","","GHP2018OHW-AT01","","","","","","","","","GHP2018OHW-AT01-00022","","","","3","1","47","12","30","30","30","1","3","1","3","40.1","0.8","12.5","40.9","53.4","59","0.853191489","0.066666667","0.693220339","1.966666667","1.966666667","1.566666667","1.566666667","1.363333333","1.363333333","0.416666667","0.416666667","79.66101695","76.5917603","100","44.55555556","44.55555556","45.44444444","45.44444444","13.88888889","13.88888889","59.33333333","59.33333333"
"","","GHP2018OHW-AT01","","","","","","","","","GHP2018OHW-AT01-00023","","","","3","1","0","1","20","30","1","1","4","5","6","0","0.1","2.5","0.1","2.6","1","","0.1","0.1","0.05","0.033333333","0","0","0.005","0.003333333","0.125","0.083333333","0","3.846153846","66.66666667","0","0","0.111111111","0.166666667","2.777777778","4.166666667","2.888888889","4.333333333"
"","","GHP2018OHW-AT01","","","","","","","","","GHP2018OHW-AT01-00024","","","","3","1","0","3","3","30","1","1","5","7","7","0","0.2","1","0.2","1.2","3","","0.066666667","0.066666667","1","0.1","0","0","0.066666667","0.006666667","0.333333333","0.033333333","0","16.66666667","10","0","0","0.222222222","2.222222222","1.111111111","11.11111111","1.333333333","13.33333333"
