"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Storage root dry matter content computing percent|CO_331:0000297","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050"
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00001","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00010","","","","3","0.353304","1.672439","19.9728031","4","1","59.4558144","33.64579178","18.0583496"
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00011","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00012","","","","3","0","3.4007189","18.6375389","9","9","52.6552582","33.53269537","15.7548075"
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00013","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00014","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00015","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00016","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00017","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00018","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00019","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00002","","","","3","0.388512","1.395849","20.4487801","5","6","57.4177017","29.07576359","18.5738831"
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00020","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00021","","","","3","0","3.2070451","19.8806553","9","9","54.5820389","30.40460135","11.6042175"
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00022","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00023","","","","3","0.076059","1.765013","21.1753654","5","8","57.4141541","35.97392335","18.499527"
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00024","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00025","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00026","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00027","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00028","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00029","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00003","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00030","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00031","","","","3","0.689699","1.875916","21.1606998","4","5","58.2261314","30.22432113","16.9488068"
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00032","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00033","","","","3","0","1.6684279","24.3136444","7","5","57.4109535","18.16394732","19.0850677"
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00034","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00035","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00036","","","","3","0.479031","1.514661","18.7434483","3","5","60.9034157","30.32232392","15.0732346"
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00037","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00038","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00039","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00004","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00040","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00041","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00042","","","","3","1.841433","4.2168489","12.1673183","6","2","50.8205261","21.99211045","18.2753296"
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00043","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00044","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00045","","","","3","0.612183","1.1540101","8.0689774","4","8","63.4715843","30.45105377","16.0092926"
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00046","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00047","","","","3","0","1.647175","23.3275051","","8","58.1774788","29.51238694","19.21595"
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00048","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00049","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00005","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00050","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00051","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00052","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00053","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00054","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00055","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00056","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00057","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00058","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00059","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00006","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00060","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00061","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00062","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00063","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00064","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00065","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00066","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00067","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00068","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00069","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00007","","","","3","","","","4","6","","24.3594797",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00070","","","","3","0.662336","2.3398399","19.9495258","3","6","57.3724251","29.50884868","18.9085541"
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00071","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00072","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00073","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00074","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00075","","","","3","0","3.0033541","5.637115","9","9","61.5110092","32.58315077","8.4173508"
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00076","","","","3","0.448351","2.893018","12.0613041","6","2","55.0632286","28.50098619","19.6139755"
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00077","","","","3","0.167572","1.732533","23.3418789","2","8","57.3840179","33.70632116","17.6298065"
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00078","","","","3","0.75297","3.0340869","17.0366421","7","2","52.9322205","29.00199601","18.6503601"
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00079","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00008","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00080","","","","3","1.119135","5.1289172","16.4545898","8","8","46.2591324","18.76728566","23.375267"
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00081","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00082","","","","3","0.358917","1.194273","2.6503789","6","2","64.2911301","28.75074716","15.2271347"
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00083","","","","3","","","","","","","",""
"","","GHP2018OHW-OT01","","","","","","","","","GHP2018OHW-OT01-00009","","","","3","","","","","","","",""
