"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Biomass yield in tons per ha|CO_331:0001003","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Total foliage yield in tons per ha|CO_331:0000684","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Harvest index computing percent|CO_331:0000302","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield tons per ha|CO_331:0000809","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00001","","","","7","3.1192589","20.31111111","1.4015729","0.611722","7.977777778","1.491228","4.345521","2.1676791","6.325088","60.72210066","9.3142338","1","41","61","30","30","30","4","6","1.06007","1","62.6080551","66.2432709","33.33996024","5","40.19607843","10.02222222","5","16.2820816","12.9040031","102","3.4","11.1","9.02","2.08","7.18","12.33333333","18.28","0.22","0.034098361","0.108823529","3.4","1.366666667","1.366666667","0.37","0.37","0.239333333","0.239333333","100","3.700735587","10.02222222","12.33333333","7.977777778","4.11192843","4.11192843","20.31111111"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00010","","","","5","6.8119068","25.82222222","1.379447","0.752836","12.75555556","2.026957","4.1234121","2.688796","6.2774329","50.60240964","0","1","49","72","28","30","28","4","4","0.89233","1","62.1797867","66.4006424","27.45796241","3","40.49586777","9.844444444","3","13.6717606","13.8404989","121","4.321428571","11.76","8.86","2.9","11.48","13.06666667","23.24","0.180816327","0.040277778","0.097190083","4.033333333","1.75","1.633333333","0.42","0.392","0.41","0.382666667","93.33333333","3.229056379","10.54761905","14","13.66666667","3.587840422","3.844114737","27.66666667"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00011","","","","7","2.1644611","22.88888889","1.375972","0.550508","9.711111111","1.020332","3.873179","1.977567","6.113555","57.57281553","11.0832481","1","52","53","25","30","23","3","8","1.3574491","3","64.1660385","73.933609","34.60700851","5","49.52380952","10.8","3","14.243042","8.3263464","105","4.2","11.86","9.72","2.14","8.74","13.17777778","20.6","0.186923077","0.040377358","0.112952381","3.5","2.08","1.733333333","0.4744","0.395333333","0.3496","0.291333333","83.33333333","4.104391209","12.96","15.81333333","11.65333333","4.560434677","5.472521612","27.46666667"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00012","","","","3","10.4983139","7.644444444","1.739838","0.714218","4.555555556","1.4595259","2.987885","2.7412219","4.7111878","40.40697674","0","1","10","45","25","30","23","5","6","1.393265","1","59.9669228","65.5318146","34.22712934","1","18.18181818","1.222222222","7","16.1813354","13.6201687","55","2.2","2.78","1.1","1.68","4.1","3.088888889","6.88","0.11","0.037333333","0.050545455","1.833333333","0.4","0.333333333","0.1112","0.092666667","0.164","0.136666667","83.33333333","0.951514196","1.466666667","3.706666667","5.466666667","1.057237995","1.268685594","9.173333333"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00013","","","","5","11.5396404","27.17777778","1.865801","0.826434","9.622222222","1.677004","2.831315","2.655736","5.27669","64.59525756","4.626297","3","53","63","26","30","26","4","8","1.65027","3","57.704277","65.1206818","28.61691542","5","45.68965517","14.08888889","3","14.830101","18.1377449","116","4.461538462","15.8","12.68","3.12","8.66","17.55555556","24.46","0.239245283","0.04952381","0.136206897","3.866666667","2.038461538","1.766666667","0.607692308","0.526666667","0.333076923","0.288666667","86.66666667","4.521472636","16.25641026","20.25641026","11.1025641","5.023858485","5.79675979","31.35897436"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00014","","","","3","0","20.84444444","1.331107","0.550603","8.244444444","1.477909","3.2776239","2.4234359","5.4581881","60.44776119","12.3024225","3","53","93","30","30","29","3","8","1.2501431","3","61.4593353","74.950119","38.73909596","5","36.30136986","10.24444444","3","15.3109436","10.1513939","146","4.866666667","11.34","9.22","2.12","7.42","12.6","18.76","0.173962264","0.022795699","0.077671233","4.866666667","1.766666667","1.766666667","0.378","0.378","0.247333333","0.247333333","100","4.393013482","10.24444444","12.6","8.244444444","4.881126091","4.881126091","20.84444444"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00015","","","","1","","16.53333333","","","3.377777778","","","","","79.56989247","","3","59","111","27","30","27","","","","1","","","","1","34.70588235","8.644444444","3","","","170","6.296296296","11.84","7.78","4.06","3.04","13.15555556","14.88","0.131864407","0.036576577","0.069647059","5.666666667","2.185185185","1.966666667","0.438518519","0.394666667","0.112592593","0.101333333","90","","9.604938272","14.61728395","3.75308642","","","18.37037037"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00016","","","","5","","34.55555556","","","11.44444444","","","","","66.88102894","","1","73","30","27","30","27","","","","3","","","","5","70.87378641","21.6","3","","","103","3.814814815","20.8","19.44","1.36","10.3","23.11111111","31.1","0.26630137","0.045333333","0.201941748","3.433333333","2.703703704","2.433333333","0.77037037","0.693333333","0.381481481","0.343333333","90","","24","25.67901235","12.71604938","","","38.39506173"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00017","","","","1","1.158987","29.02222222","1.35658","0.522891","11.77777778","1.335636","3.9968641","1.979388","5.850193","59.41807044","5.2997088","1","60","28","28","30","28","4","6","1.2720619","1","65.9037476","68.1715851","38.90656064","5","68.18181818","15.42222222","3","14.2009506","13.3169041","88","3.142857143","15.52","13.88","1.64","10.6","17.24444444","26.12","0.231333333","0.058571429","0.176363636","2.933333333","2.142857143","2","0.554285714","0.517333333","0.378571429","0.353333333","93.33333333","6.038298211","16.52380952","18.47619048","12.61904762","6.709220235","7.188450252","31.0952381"
"","","GHP2018TON-AT01","","","","","","","","","GHP2018TON-AT01-00018","","","","7","26.3725929","18.82222222","1.610206","0.718959","5.577777778","0.915813","1.303256","4.4539518","2.8717771","70.36599764","12.6470146","1","43","34","24","30","24","8","7","2.137686","1","48.9081802","67.8516922","33.79583746","1","55.84415584","11.37777778","3","24.3045502","18.3858852","77","3.208333333","11.92","10.24","1.68","5.02","13.24444444","16.94","0.238139535","0.049411765","0.154805195","2.566666667","1.791666667","1.433333333","0.496666667","0.397333333","0.209166667","0.167333333","80","4.028463825","14.22222222","16.55555556","6.972222222","4.476070917","5.595088646","23.52777778"
