"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Harvest index computing percent|CO_331:0000302","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Storage root size estimating 1-9|CO_331:0000184","Commercial storage root yield tons per ha|CO_331:0000809","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00001","","","","5","23.66666667","10.77777778","0.541853","1.953321","54.4600939","9.8654613","1","53","39","28","28","30","28","4","6","1","64.3545151","27.69047145","5","57.60869565","3","10.44444444","13.8626328","92","3.285714286","11.6","3","9.4","2.2","9.7","12.88888889","21.3","0.177358491","0.056410256","0.126086957","3.066666667","1.892857143","1.766666667","0.414285714","0.386666667","0.346428571","0.323333333","93.33333333","3.212094688","11.19047619","13.80952381","11.54761905","3.568994098","3.823922248","25.35714286"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00010","","","","1","23.11111111","7.555555556","0.546183","2.1864231","67.30769231","0","1","20","44","30","30","30","27","4","6","1","62.2129555","24.45684672","3","31.25","5","13.97777778","16.1706696","64","2.133333333","14","4","12.58","1.42","6.8","15.55555556","20.8","0.629","0.032272727","0.21875","2.133333333","0.666666667","0.666666667","0.466666667","0.466666667","0.226666667","0.226666667","100","3.423958541","13.97777778","15.55555556","7.555555556","3.804398379","3.804398379","23.11111111"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00011","","","","7","12.04444444","4.355555556","0.911266","4.5185971","63.83763838","9.6284142","1","53","39","26","20","30","20","6","4","1","52.7800293","22.02511461","3","57.60869565","5","5.777777778","20.3895569","92","4.6","6.92","5","5.2","1.72","3.92","7.688888889","10.84","0.098113208","0.044102564","0.075217391","3.066666667","2.65","1.766666667","0.346","0.230666667","0.196","0.130666667","66.66666667","1.524137931","8.666666667","11.53333333","6.533333333","1.69348659","2.540229885","18.06666667"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00012","","","","5","21.17777778","5.111111111","1.6775531","3.3746099","75.8656873","6.7120628","1","68","52","30","30","30","30","6","7","1","56.4894562","24.66653394","3","56.66666667","3","13.37777778","16.2410431","120","4","14.46","4","12.04","2.42","4.6","16.06666667","19.06","0.177058824","0.046538462","0.1205","4","2.266666667","2.266666667","0.482","0.482","0.153333333","0.153333333","100","3.566780808","13.37777778","16.06666667","5.111111111","3.963089786","3.963089786","21.17777778"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00013","","","","1","14.6","5.8","0","2.773433","60.2739726","12.9712315","1","46","36","27","23","30","23","9","9","1","59.3828201","23.25258141","5","56.09756098","5","6.155555556","11.0188141","82","3.565217391","7.92","1","5.54","2.38","5.22","8.8","13.14","0.120434783","0.066111111","0.096585366","2.733333333","2","1.533333333","0.344347826","0.264","0.226956522","0.174","76.66666667","1.841604448","8.028985507","11.47826087","7.565217391","2.046227164","2.668991953","19.04347826"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00014","","","","5","14.95555556","7.288888889","0","3.9618559","51.26300149","8.5904427","1","39","31","28","23","30","23","9","9","1","61.4418182","23.61769352","3","55.71428571","5","6.066666667","7.536469","70","3.043478261","6.9","1","5.46","1.44","6.56","7.666666667","13.46","0.14","0.046451613","0.098571429","2.333333333","1.695652174","1.3","0.3","0.23","0.285217391","0.218666667","76.66666667","1.629620853","7.913043478","10","9.507246377","1.810689837","2.361769352","19.50724638"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00015","","","","3","22.8","5.822222222","1.299976","4.853982","74.46393762","7.0464101","1","69","111","26","26","30","26","7","7","3","49.5924454","27.17131474","5","38.33333333","3","12.62222222","22.8200912","180","6.923076923","15.28","2","11.36","3.92","5.24","16.97777778","20.52","0.164637681","0.035315315","0.084888889","6","2.653846154","2.3","0.587692308","0.509333333","0.201538462","0.174666667","86.66666667","4.151776892","14.56410256","19.58974359","6.717948718","4.613085436","5.322790888","26.30769231"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00016","","","","3","41.04444444","10.51111111","0","2.5463901","74.39090417","16.6333084","1","108","59","30","29","30","29","9","9","3","59.0098877","28.39555203","1","64.67065868","1","27.2","13.4007874","167","5.75862069","27.48","1","24.48","3","9.46","30.53333333","36.94","0.226666667","0.050847458","0.164550898","5.566666667","3.724137931","3.6","0.947586207","0.916","0.326206897","0.315333333","96.66666667","7.803097698","28.13793103","31.5862069","10.87356322","8.670108553","8.969077814","42.45977011"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00017","","","","7","19.95555556","8.933333333","1.377861","4.7290978","55.23385301","5.5066109","1","33","30","25","22","30","22","7","8","5","52.6848373","25.37195001","5","52.38095238","3","9.355555556","19.52108","63","2.863636364","9.92","1","8.42","1.5","8.04","11.02222222","17.96","0.255151515","0.05","0.157460317","2.1","1.5","1.1","0.450909091","0.330666667","0.365454545","0.268","73.33333333","2.516897441","12.75757576","15.03030303","12.18181818","2.796552712","3.813480971","27.21212121"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00018","","","","5","11.2","6.333333333","0.925039","2.2450731","43.45238095","0","1","23","19","25","19","30","17","4","6","1","63.9595833","28.50885925","3","54.76190476","5","3.822222222","15.0264969","42","2.210526316","4.38","4","3.44","0.94","5.7","4.866666667","10.08","0.149565217","0.049473684","0.104285714","1.4","1.210526316","0.766666667","0.230526316","0.146","0.3","0.19","63.33333333","1.248688035","6.035087719","7.684210526","10","1.38743115","2.190680763","17.68421053"
