"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Biomass yield in tons per ha|CO_331:0001003","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Total foliage yield in tons per ha|CO_331:0000684","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Harvest index computing percent|CO_331:0000302","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Storage root size estimating 1-9|CO_331:0000184","Commercial storage root yield tons per ha|CO_331:0000809","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018WAG-AT01","","","","","","","","","GHP2018WAG-AT01-00001","","","","3","0","20.02222222","1.515528","0.851354","6.133333333","0.531399","0.820126","1.9876961","2.134696","69.36736959","10.4186115","1","37","28","30","21","30","19","4","6","2.3698599","1","63.4185219","73.9142609","32.18986837","5","56.92307692","3","11.57777778","15.921669","13.6090174","65","3.095238095","12.5","7","1","1","10.42","2.08","5.52","13.88888889","18.02","0.281621622","0.074285714","0.192307692","2.166666667","1.761904762","1.233333333","0.595238095","0.416666667","0.262857143","0.184","70","4.023733546","16.53968254","19.84126984","8.761904762","4.470815051","6.386878645","28.6031746"
"","","GHP2018WAG-AT01","","","","","","","","","GHP2018WAG-AT01-00010","","","","3","2.2194576","11.11111111","1.839294","0.937737","3.666666667","0.737656","1.064337","2.532722","2.031539","67","0","1","39","43","30","18","30","18","5","6","2.402128","1","60.9250908","66.2055206","28.28202582","1","47.56097561","5","5.822222222","16.4393692","13.3184299","82","4.555555556","6.7","6","1","2","5.24","1.46","3.3","7.444444444","10","0.134358974","0.033953488","0.081707317","2.733333333","2.166666667","1.3","0.372222222","0.223333333","0.183333333","0.11","60","1.89489573","9.703703704","12.40740741","6.111111111","2.1054397","3.509066167","18.51851852"
"","","GHP2018WAG-AT01","","","","","","","","","GHP2018WAG-AT01-00011","","","","3","30.0088768","14.77777778","1.936986","1.177601","4.333333333","0.809834","1.098242","5.126781","2.769043","70.67669173","12.1837406","1","42","50","30","23","30","23","6","4","2.7214029","1","49.8954391","65.5932465","24.43742598","5","45.65217391","5","7.977777778","23.5682983","12.2114544","92","4","9.4","6","2","2","7.18","2.22","3.9","10.44444444","13.3","0.170952381","0.0444","0.102173913","3.066666667","1.826086957","1.4","0.408695652","0.313333333","0.169565217","0.13","76.66666667","2.297118042","10.4057971","13.62318841","5.652173913","2.55235338","3.329156583","19.27536232"
"","","GHP2018WAG-AT01","","","","","","","","","GHP2018WAG-AT01-00012","","","","5","7.152668","28.82222222","1.708792","0.868303","9.822222222","1.372154","2.77337","3.5485959","4.3519311","65.92135698","4.9920201","1","77","45","30","25","30","25","5","7","2.200701","1","55.7762184","60.8404732","26.13322822","3","63.1147541","3","16.84444444","18.8664093","15.8615322","122","4.88","17.1","8","1","1","15.16","1.94","8.84","19","25.94","0.196883117","0.043111111","0.140163934","4.066666667","3.08","2.566666667","0.684","0.57","0.3536","0.294666667","83.33333333","4.468782026","20.21333333","22.8","11.78666667","4.965313362","5.958376034","34.58666667"
"","","GHP2018WAG-AT01","","","","","","","","","GHP2018WAG-AT01-00013","","","","3","46.4390678","22.42222222","1.747233","0.74881","6.222222222","0","1.301129","2.9221759","2.7719669","72.24975223","11.8355265","1","64","43","30","26","30","26","9","9","2.394644","1","59.7290154","66.8866882","30.68293643","3","59.81308411","3","14.02222222","10.3576965","16.2702103","107","4.115384615","14.58","7","1","1","12.62","1.96","5.6","16.2","20.18","0.1971875","0.045581395","0.136261682","3.566666667","2.461538462","2.133333333","0.560769231","0.486","0.215384615","0.186666667","86.66666667","4.473572131","16.17948718","18.69230769","7.179487179","4.970635702","5.735348887","25.87179487"
"","","GHP2018WAG-AT01","","","","","","","","","GHP2018WAG-AT01-00014","","","","5","42.6376305","11.57777778","1.608655","0.703392","3.533333333","0","1.1429811","3.6901231","2.9747839","69.48176583","8.5372696","1","56","64","30","30","30","30","9","9","2.3242359","1","61.640522","70.3330002","28.18417381","1","46.66666667","5","5.977777778","6.466423","13.4646111","120","4","7.24","7","1","1","5.38","1.86","3.18","8.044444444","10.42","0.096071429","0.0290625","0.060333333","4","1.866666667","1.866666667","0.241333333","0.241333333","0.106","0.106","100","2.040534184","5.977777778","8.044444444","3.533333333","2.267260204","2.267260204","11.57777778"
"","","GHP2018WAG-AT01","","","","","","","","","GHP2018WAG-AT01-00015","","","","3","39.1901093","8.022222222","2.083606","1.137902","1.266666667","1.437237","2.477221","5.462636","4.6574259","84.21052632","5.7224388","5","37","46","28","13","30","13","7","6","2.4854071","5","48.4899826","51.2696686","21.15460656","5","44.57831325","5","5.244444444","23.8824234","23.008255","83","6.384615385","6.08","7","1","1","4.72","1.36","1.14","6.755555556","7.22","0.127567568","0.029565217","0.073253012","2.766666667","2.846153846","1.233333333","0.467692308","0.202666667","0.087692308","0.038","43.33333333","1.286200079","12.1025641","15.58974359","2.923076923","1.429111199","3.29794892","18.51282051"
"","","GHP2018WAG-AT01","","","","","","","","","GHP2018WAG-AT01-00016","","","","3","43.6349106","16.11111111","1.739688","0.726818","4.444444444","0","0.801586","2.942054","2.2889581","72.4137931","12.2364826","1","56","78","30","20","30","20","9","9","2.341352","1","59.0482483","69.6098099","30.90547264","3","41.79104478","3","8.288888889","11.8079529","14.5219297","134","6.7","10.5","8","1","1","7.46","3.04","4","11.66666667","14.5","0.133214286","0.038974359","0.078358209","4.466666667","2.8","1.866666667","0.525","0.35","0.2","0.133333333","66.66666667","3.245074627","12.43333333","17.5","6.666666667","3.605638475","5.408457712","24.16666667"
"","","GHP2018WAG-AT01","","","","","","","","","GHP2018WAG-AT01-00017","","","","1","35.8218346","12.88888889","1.836352","0.914154","5.111111111","1.054121","1.83233","4.9949541","3.51982","60.34482759","5.9694819","1","34","40","30","20","30","20","7","8","2.3829269","1","51.9808769","62.0183868","25.01995211","3","45.94594595","5","5.777777778","21.4993439","16.9176788","74","3.7","7","8","1","1","5.2","1.8","4.6","7.777777778","11.6","0.152941176","0.045","0.094594595","2.466666667","1.7","1.133333333","0.35","0.233333333","0.23","0.153333333","66.66666667","1.751396648","8.666666667","11.66666667","7.666666667","1.945996275","2.918994413","19.33333333"
"","","GHP2018WAG-AT01","","","","","","","","","GHP2018WAG-AT01-00018","","","","5","8.5279293","6","1.731337","1.040856","2.111111111","0.956665","1.3604079","3.404356","2.7915549","64.81481481","0","1","16","67","30","18","30","18","5","3","2.3934169","1","56.936573","66.7724304","26.59257789","1","19.27710843","5","1.955555556","20.7403564","13.5832453","83","4.611111111","3.5","6","1","1","1.76","1.74","1.9","3.888888889","5.4","0.11","0.025970149","0.042168675","2.766666667","0.888888889","0.533333333","0.194444444","0.116666667","0.105555556","0.063333333","60","0.930740226","3.259259259","6.481481481","3.518518519","1.034155807","1.723593011","10"
