"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00001","","","","30","7","6","28","28","55","42","13.5","1.9","14.4","4","4","1","1","2","15.4","29.8","97","0.245454545","0.045238095","0.158762887","3.464285714","3.233333333","1.964285714","1.833333333","0.55","0.513333333","0.514285714","0.48","56.70103093","51.67785235","93.33333333","15","16.07142857","17.11111111","18.33333333","16","17.14285714","33.11111111","35.47619048"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00002","","","","30","6","7","23","20","12","47","2","1.9","20.3","2","2","2","1","2","3.9","24.2","59","0.166666667","0.040425532","0.066101695","2.565217391","1.966666667","0.52173913","0.4","0.169565217","0.13","0.882608696","0.676666667","20.33898305","16.11570248","76.66666667","2.222222222","2.898550725","4.333333333","5.652173913","22.55555556","29.42028986","26.88888889","35.07246377"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00003","","","","30","5","8","23","22","91","65","21.5","5.4","20.5","4","4","2","1","3","26.9","47.4","156","0.236263736","0.083076923","0.172435897","6.782608696","5.2","3.956521739","3.033333333","1.169565217","0.896666667","0.891304348","0.683333333","58.33333333","56.75105485","76.66666667","23.88888889","31.15942029","29.88888889","38.98550725","22.77777778","29.71014493","52.66666667","68.69565217"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00004","","","","30","6","8","25","20","9","48","1.4","1.7","30.6","2","2","1","1","2","3.1","33.7","57","0.155555556","0.035416667","0.054385965","2.28","1.9","0.36","0.3","0.124","0.103333333","1.224","1.02","15.78947368","9.198813056","83.33333333","1.555555556","1.866666667","3.444444444","4.133333333","34","40.8","37.44444444","44.93333333"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00005","","","","30","7","4","23","2","0","4","0","0.25","6","1","1","2","2","2","0.25","6.25","4","","0.0625","0.0625","0.173913043","0.133333333","0","0","0.010869565","0.008333333","0.260869565","0.2","0","4","76.66666667","0","0","0.277777778","0.362318841","6.666666667","8.695652174","6.944444444","9.057971014"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00006","","","","30","4","9","22","19","12","38","1.3","1.6","33.7","1","2","1","2","1","2.9","36.6","50","0.108333333","0.042105263","0.058","2.272727273","1.666666667","0.545454545","0.4","0.131818182","0.096666667","1.531818182","1.123333333","24","7.923497268","73.33333333","1.444444444","1.96969697","3.222222222","4.393939394","37.44444444","51.06060606","40.66666667","55.45454545"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00007","","","","30","6","7","21","21","18","10","2.4","4.1","19.5","2","4","1","1","1","6.5","26","28","0.133333333","0.41","0.232142857","1.333333333","0.933333333","0.857142857","0.6","0.30952381","0.216666667","0.928571429","0.65","64.28571429","25","70","2.666666667","3.80952381","7.222222222","10.31746032","21.66666667","30.95238095","28.88888889","41.26984127"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00008","","","","30","9","3","25","8","1","16","0.3","0.4","9.5","1","4","1","2","2","0.7","10.2","17","0.3","0.025","0.041176471","0.68","0.566666667","0.04","0.033333333","0.028","0.023333333","0.38","0.316666667","5.882352941","6.862745098","83.33333333","0.333333333","0.4","0.777777778","0.933333333","10.55555556","12.66666667","11.33333333","13.6"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00009","","","","30","7","7","27","26","27","58","4.3","3.1","15.1","3","4","1","2","2","7.4","22.5","85","0.159259259","0.053448276","0.087058824","3.148148148","2.833333333","1","0.9","0.274074074","0.246666667","0.559259259","0.503333333","31.76470588","32.88888889","90","4.777777778","5.308641975","8.222222222","9.135802469","16.77777778","18.64197531","25","27.77777778"
"","","GHP2010EJR-AT01","","","","","","","","","GHP2010EJR-AT01-00010","","","","30","8","6","24","24","38","30","9.5","1.5","9.4","4","4","1","2","2","11","20.4","68","0.25","0.05","0.161764706","2.833333333","2.266666667","1.583333333","1.266666667","0.458333333","0.366666667","0.391666667","0.313333333","55.88235294","53.92156863","80","10.55555556","13.19444444","12.22222222","15.27777778","10.44444444","13.05555556","22.66666667","28.33333333"
