"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00001","","","","45","7","3","10","10","10","30","1.5","1","2.3","3","4","1","3","2","200","62.2","2.5","4.8","40","0.15","0.033333333","0.0625","4","0.888888889","1","0.222222222","0.25","0.055555556","0.23","0.051111111","25","52.08333333","22.22222222","31.1","0.7775","1.111111111","5","1.851851852","8.333333333","1.703703704","7.666666667","0.575925926","2.591666667","3.555555556","16"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00002","","","","45","8","4","37","34","30","34","8.9","2.1","6.7","4","4","1","2","2","200","58.3","11","17.7","64","0.296666667","0.061764706","0.171875","1.72972973","1.422222222","0.810810811","0.666666667","0.297297297","0.244444444","0.181081081","0.148888889","46.875","62.14689266","82.22222222","29.15","3.2065","6.592592593","8.018018018","8.148148148","9.90990991","4.962962963","6.036036036","2.375185185","2.888738739","13.11111111","15.94594595"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00003","","","","45","8","4","44","32","16","59","1.5","2.2","6.4","2","4","2","2","2","200","59.4","3.7","10.1","75","0.09375","0.037288136","0.049333333","1.704545455","1.666666667","0.363636364","0.355555556","0.084090909","0.082222222","0.145454545","0.142222222","21.33333333","36.63366337","97.77777778","29.7","1.0989","1.111111111","1.136363636","2.740740741","2.803030303","4.740740741","4.848484848","0.814","0.8325","7.481481481","7.651515152"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00004","","","","45","9","2","14","13","4","23","0.6","0.9","1.4","3","4","1","3","4","200","42.6","1.5","2.9","27","0.15","0.039130435","0.055555556","1.928571429","0.6","0.285714286","0.088888889","0.107142857","0.033333333","0.1","0.031111111","14.81481481","51.72413793","31.11111111","21.3","0.3195","0.444444444","1.428571429","1.111111111","3.571428571","1.037037037","3.333333333","0.236666667","0.760714286","2.148148148","6.904761905"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00005","","","","45","7","6","39","31","13","57","1","1.7","12","2","4","2","1","2","200","58.1","2.7","14.7","70","0.076923077","0.029824561","0.038571429","1.794871795","1.555555556","0.333333333","0.288888889","0.069230769","0.06","0.307692308","0.266666667","18.57142857","18.36734694","86.66666667","29.05","0.78435","0.740740741","0.854700855","2","2.307692308","8.888888889","10.25641026","0.581","0.670384615","10.88888889","12.56410256"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00006","","","","45","8","6","39","39","63","70","19.5","5.3","11.5","5","5","2","2","2","200","60.3","24.8","36.3","133","0.30952381","0.075714286","0.186466165","3.41025641","2.955555556","1.615384615","1.4","0.635897436","0.551111111","0.294871795","0.255555556","47.36842105","68.31955923","86.66666667","30.15","7.4772","14.44444444","16.66666667","18.37037037","21.1965812","8.518518519","9.829059829","5.538666667","6.390769231","26.88888889","31.02564103"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00007","","","","45","6","8","41","37","26","58","5.1","3.4","19.9","3","4","1","2","2","200","61.6","8.5","28.4","84","0.196153846","0.05862069","0.101190476","2.048780488","1.866666667","0.634146341","0.577777778","0.207317073","0.188888889","0.485365854","0.442222222","30.95238095","29.92957746","91.11111111","30.8","2.618","3.777777778","4.146341463","6.296296296","6.910569106","14.74074074","16.17886179","1.939259259","2.128455285","21.03703704","23.08943089"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00008","","","","45","6","8","30","13","5","28","0.7","0.9","18.1","2","3","2","2","2","200","66.9","1.6","19.7","33","0.14","0.032142857","0.048484848","1.1","0.733333333","0.166666667","0.111111111","0.053333333","0.035555556","0.603333333","0.402222222","15.15151515","8.121827411","66.66666667","33.45","0.5352","0.518518519","0.777777778","1.185185185","1.777777778","13.40740741","20.11111111","0.396444444","0.594666667","14.59259259","21.88888889"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00009","","","","45","5","9","32","8","0","6","0","0.6","48.5","1","2","2","2","","200","70.7","0.6","49.1","6","","0.1","0.1","0.1875","0.133333333","0","0","0.01875","0.013333333","1.515625","1.077777778","0","1.221995927","71.11111111","35.35","0.2121","0","0","0.444444444","0.625","35.92592593","50.52083333","0.157111111","0.2209375","36.37037037","51.14583333"
"","","GHP2010EJR-AT02","","","","","","","","","GHP2010EJR-AT02-00010","","","","45","5","9","35","33","21","154","4.2","6.1","22","3","4","1","1","2","200","66.6","10.3","32.3","175","0.2","0.03961039","0.058857143","5","3.888888889","0.6","0.466666667","0.294285714","0.228888889","0.628571429","0.488888889","12","31.88854489","77.77777778","33.3","3.4299","3.111111111","4","7.62962963","9.80952381","16.2962963","20.95238095","2.540666667","3.266571429","23.92592593","30.76190476"
