"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00001","","","","5","27","53","36","45","33","4","3","3","4","3","3.7","1.5","3.2","5.2","8.4","80","0.137037037","0.028301887","0.065","2.222222222","1.777777778","0.75","0.6","0.144444444","0.115555556","0.088888889","0.071111111","33.75","61.9047619","80","2.740740741","3.425925926","3.851851852","4.814814815","2.37037037","2.962962963","6.222222222","7.777777778"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00010","","","","4","79","81","43","45","43","4","4","4","4","8","17.2","3.5","13.7","20.7","34.4","160","0.217721519","0.043209877","0.129375","3.720930233","3.555555556","1.837209302","1.755555556","0.481395349","0.46","0.318604651","0.304444444","49.375","60.1744186","95.55555556","12.74074074","13.33333333","15.33333333","16.04651163","10.14814815","10.62015504","25.48148148","26.66666667"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00011","","","","4","28","39","34","45","34","4","4","4","3","8","5","1.9","4.1","6.9","11","67","0.178571429","0.048717949","0.102985075","1.970588235","1.488888889","0.823529412","0.622222222","0.202941176","0.153333333","0.120588235","0.091111111","41.79104478","62.72727273","75.55555556","3.703703704","4.901960784","5.111111111","6.764705882","3.037037037","4.019607843","8.148148148","10.78431373"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00012","","","","4","21","28","29","45","23","4","3","3","9","2","4","1.7","44.8","5.7","50.5","49","0.19047619","0.060714286","0.116326531","1.689655172","1.088888889","0.724137931","0.466666667","0.196551724","0.126666667","1.544827586","0.995555556","42.85714286","11.28712871","64.44444444","2.962962963","4.597701149","4.222222222","6.551724138","33.18518519","51.49425287","37.40740741","58.04597701"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00013","","","","4","57","49","31","45","31","3","4","4","6","6","14.6","2.2","10.9","16.8","27.7","106","0.256140351","0.044897959","0.158490566","3.419354839","2.355555556","1.838709677","1.266666667","0.541935484","0.373333333","0.351612903","0.242222222","53.77358491","60.64981949","68.88888889","10.81481481","15.69892473","12.44444444","18.06451613","8.074074074","11.72043011","20.51851852","29.78494624"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00014","","","","","0","0","0","45","0","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00015","","","","4","51","22","35","45","35","4","4","4","4","8","16.5","1.5","14.8","18","32.8","73","0.323529412","0.068181818","0.246575342","2.085714286","1.622222222","1.457142857","1.133333333","0.514285714","0.4","0.422857143","0.328888889","69.8630137","54.87804878","77.77777778","12.22222222","15.71428571","13.33333333","17.14285714","10.96296296","14.0952381","24.2962963","31.23809524"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00016","","","","4","7","11","10","45","5","4","3","3","8","6","1.7","0.5","16.8","2.2","19","18","0.242857143","0.045454545","0.122222222","1.8","0.4","0.7","0.155555556","0.22","0.048888889","1.68","0.373333333","38.88888889","11.57894737","22.22222222","1.259259259","5.666666667","1.62962963","7.333333333","12.44444444","56","14.07407407","63.33333333"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00017","","","","5","62","40","38","45","38","5","4","4","3","8","15.2","2","13.5","17.2","30.7","102","0.24516129","0.05","0.168627451","2.684210526","2.266666667","1.631578947","1.377777778","0.452631579","0.382222222","0.355263158","0.3","60.78431373","56.02605863","84.44444444","11.25925926","13.33333333","12.74074074","15.0877193","10","11.84210526","22.74074074","26.92982456"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00018","","","","5","4","16","30","45","3","5","2","2","3","3","0.5","0.6","0.4","1.1","1.5","20","0.125","0.0375","0.055","0.666666667","0.444444444","0.133333333","0.088888889","0.036666667","0.024444444","0.013333333","0.008888889","20","73.33333333","66.66666667","0.37037037","0.555555556","0.814814815","1.222222222","0.296296296","0.444444444","1.111111111","1.666666667"
