"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013EJR-AT01","","","","","","","","","GHP2013EJR-AT01-00001","","","","1","3","29","62","29","34","26","1","5","6","7","4","5.7","2.2","16","7.9","23.9","91","0.196551724","0.035483871","0.086813187","3.137931034","2.676470588","1","0.852941176","0.272413793","0.232352941","0.551724138","0.470588235","31.86813187","33.05439331","85.29411765","5.588235294","6.551724138","7.745098039","9.08045977","15.68627451","18.3908046","23.43137255","27.47126437"
"","","GHP2013EJR-AT01","","","","","","","","","GHP2013EJR-AT01-00010","","","","2","1","63","14","29","34","29","1","5","8","8","5","27","0.9","16","27.9","43.9","77","0.428571429","0.064285714","0.362337662","2.655172414","2.264705882","2.172413793","1.852941176","0.962068966","0.820588235","0.551724138","0.470588235","81.81818182","63.55353075","85.29411765","26.47058824","31.03448276","27.35294118","32.06896552","15.68627451","18.3908046","43.03921569","50.45977011"
"","","GHP2013EJR-AT01","","","","","","","","","GHP2013EJR-AT01-00011","","","","1","1","38","58","30","34","29","1","6","7","8","4","10.1","2.1","27.5","12.2","39.7","96","0.265789474","0.036206897","0.127083333","3.2","2.823529412","1.266666667","1.117647059","0.406666667","0.358823529","0.916666667","0.808823529","39.58333333","30.73047859","88.23529412","9.901960784","11.22222222","11.96078431","13.55555556","26.96078431","30.55555556","38.92156863","44.11111111"
"","","GHP2013EJR-AT01","","","","","","","","","GHP2013EJR-AT01-00012","","","","2","2","69","42","27","34","27","3","6","7","8","5","22","2.4","15","24.4","39.4","111","0.31884058","0.057142857","0.21981982","4.111111111","3.264705882","2.555555556","2.029411765","0.903703704","0.717647059","0.555555556","0.441176471","62.16216216","61.92893401","79.41176471","21.56862745","27.16049383","23.92156863","30.12345679","14.70588235","18.51851852","38.62745098","48.64197531"
"","","GHP2013EJR-AT01","","","","","","","","","GHP2013EJR-AT01-00013","","","","2","2","40","56","30","34","20","2","5","7","8","3","7","3","19","10","29","96","0.175","0.053571429","0.104166667","3.2","2.823529412","1.333333333","1.176470588","0.333333333","0.294117647","0.633333333","0.558823529","41.66666667","34.48275862","88.23529412","6.862745098","7.777777778","9.803921569","11.11111111","18.62745098","21.11111111","28.43137255","32.22222222"
"","","GHP2013EJR-AT01","","","","","","","","","GHP2013EJR-AT01-00014","","","","2","2","56","40","28","34","28","1","5","6","6","4","8.7","2.3","7.5","11","18.5","96","0.155357143","0.0575","0.114583333","3.428571429","2.823529412","2","1.647058824","0.392857143","0.323529412","0.267857143","0.220588235","58.33333333","59.45945946","82.35294118","8.529411765","10.35714286","10.78431373","13.0952381","7.352941176","8.928571429","18.1372549","22.02380952"
"","","GHP2013EJR-AT01","","","","","","","","","GHP2013EJR-AT01-00015","","","","2","1","57","23","28","34","27","1","5","7","6","4","16","1.6","10","17.6","27.6","80","0.280701754","0.069565217","0.22","2.857142857","2.352941176","2.035714286","1.676470588","0.628571429","0.517647059","0.357142857","0.294117647","71.25","63.76811594","82.35294118","15.68627451","19.04761905","17.25490196","20.95238095","9.803921569","11.9047619","27.05882353","32.85714286"
"","","GHP2013EJR-AT01","","","","","","","","","GHP2013EJR-AT01-00016","","","","2","2","34","59","30","34","29","2","4","6","8","3","6.7","3","24.5","9.7","34.2","93","0.197058824","0.050847458","0.104301075","3.1","2.735294118","1.133333333","1","0.323333333","0.285294118","0.816666667","0.720588235","36.55913978","28.3625731","88.23529412","6.568627451","7.444444444","9.509803922","10.77777778","24.01960784","27.22222222","33.52941176","38"
"","","GHP2013EJR-AT01","","","","","","","","","GHP2013EJR-AT01-00017","","","","2","3","58","87","29","34","29","3","6","6","8","5","14.5","4.8","14","19.3","33.3","145","0.25","0.055172414","0.133103448","5","4.264705882","2","1.705882353","0.665517241","0.567647059","0.482758621","0.411764706","40","57.95795796","85.29411765","14.21568627","16.66666667","18.92156863","22.18390805","13.7254902","16.09195402","32.64705882","38.27586207"
"","","GHP2013EJR-AT01","","","","","","","","","GHP2013EJR-AT01-00018","","","","2","2","85","67","30","34","30","1","5","6","8","4","17.1","4.5","14","21.6","35.6","152","0.201176471","0.067164179","0.142105263","5.066666667","4.470588235","2.833333333","2.5","0.72","0.635294118","0.466666667","0.411764706","55.92105263","60.6741573","88.23529412","16.76470588","19","21.17647059","24","13.7254902","15.55555556","34.90196078","39.55555556"
