"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013FMS-PT03","","","","","","","","","GHP2013FMS-PT03-00001","","","","1","21.82","1.95013","0.856864","13.1","50.5","10.48","8.71","1","6","13","14","10","14","7","2.79","1","60.41","25.94059406","5","5","10.48","8","1","3","1.4","0.4","7.5","1.8","9.3","19","0.233333333","0.030769231","0.094736842","1.9","1.357142857","0.6","0.428571429","0.18","0.128571429","0.75","0.535714286","31.57894737","19.35483871","71.42857143","0.466930693","3.333333333","4.666666667","4.285714286","6","17.85714286","25","1.111739745","1.556435644","22.14285714","31"
"","","GHP2013FMS-PT03","","","","","","","","","GHP2013FMS-PT03-00010","","","","2","25.75","2.5098","1.353516","13.6","50.5","13.18","5.72","1","3","8","12","6","14","5","4.52","2","60.28","26.93069307","4","5","13.18","4","6","7","0.6","0.3","2.5","0.9","3.4","11","0.2","0.0375","0.081818182","1.833333333","0.785714286","0.5","0.214285714","0.15","0.064285714","0.416666667","0.178571429","27.27272727","26.47058824","42.85714286","0.242376238","1.428571429","3.333333333","2.142857143","5","5.952380952","13.88888889","0.57708628","1.346534653","8.095238095","18.88888889"
"","","GHP2013FMS-PT03","","","","","","","","","GHP2013FMS-PT03-00011","","","","2","5.14","2.02862","1.209891","20.4","50.3","6.47","2.31","2","13","11","14","10","14","9","3.64","2","74.08","40.55666004","4","5","6.47","9","1","3","2.9","0.5","5.5","3.4","8.9","24","0.223076923","0.045454545","0.141666667","2.4","1.714285714","1.3","0.928571429","0.34","0.242857143","0.55","0.392857143","54.16666667","38.20224719","71.42857143","1.378926441","6.904761905","9.666666667","8.095238095","11.33333333","13.0952381","18.33333333","3.283158194","4.596421471","21.19047619","29.66666667"
"","","GHP2013FMS-PT03","","","","","","","","","GHP2013FMS-PT03-00012","","","","1","8.33","2.12937","1.1744469","18.9","50.2","7","2.88","2","10","6","14","8","14","7","5.12","1","71.57","37.64940239","5","6","7","6","4","5","2.9","0.8","5","3.7","8.7","16","0.29","0.133333333","0.23125","2","1.142857143","1.25","0.714285714","0.4625","0.264285714","0.625","0.357142857","62.5","42.52873563","57.14285714","1.393027888","6.904761905","12.08333333","8.80952381","15.41666667","11.9047619","20.83333333","3.316733068","5.804282869","20.71428571","36.25"
"","","GHP2013FMS-PT03","","","","","","","","","GHP2013FMS-PT03-00013","","","","2","3.45","1.8712831","1.059153","19.5","50.4","7.44","5.27","2","9","5","14","8","14","7","3.88","2","68.75","38.69047619","4","5","7.44","7","1","4","2.1","0.3","7","2.4","9.4","14","0.233333333","0.06","0.171428571","1.75","1","1.125","0.642857143","0.3","0.171428571","0.875","0.5","64.28571429","25.53191489","57.14285714","0.928571429","5","8.75","5.714285714","10","16.66666667","29.16666667","2.210884354","3.869047619","22.38095238","39.16666667"
"","","GHP2013FMS-PT03","","","","","","","","","GHP2013FMS-PT03-00014","","","","2","25.92","2.4254799","1.188125","14.4","50.1","8.84","8.9","2","5","9","14","8","14","7","4.47","2","60.03","28.74251497","4","4","8.84","5","4","6","0.6","0.6","3.5","1.2","4.7","14","0.12","0.066666667","0.085714286","1.75","1","0.625","0.357142857","0.15","0.085714286","0.4375","0.25","35.71428571","25.53191489","57.14285714","0.34491018","1.428571429","2.5","2.857142857","5","8.333333333","14.58333333","0.821214713","1.437125749","11.19047619","19.58333333"
"","","GHP2013FMS-PT03","","","","","","","","","GHP2013FMS-PT03-00015","","","","2","4.25","2.2199531","1.101899","16","50","8.16","5.03","3","19","17","14","10","14","10","5.15","3","67.45","32","5","5","8.16","6","1","4","3.2","1.3","4.5","4.5","9","36","0.168421053","0.076470588","0.125","3.6","2.571428571","1.9","1.357142857","0.45","0.321428571","0.45","0.321428571","52.77777778","50","71.42857143","1.44","7.619047619","10.66666667","10.71428571","15","10.71428571","15","3.428571429","4.8","21.42857143","30"
"","","GHP2013FMS-PT03","","","","","","","","","GHP2013FMS-PT03-00016","","","","1","3.74","1.517455","1.0448821","21","50.9","7.06","1.66","1","10","20","14","10","14","9","2.95","1","76.09","41.25736739","4","5","7.06","6","5","5","1.4","0.7","3","2.1","5.1","30","0.14","0.035","0.07","3","2.142857143","1","0.714285714","0.21","0.15","0.3","0.214285714","33.33333333","41.17647059","71.42857143","0.866404715","3.333333333","4.666666667","5","7","7.142857143","10","2.062868369","2.888015717","12.14285714","17"
"","","GHP2013FMS-PT03","","","","","","","","","GHP2013FMS-PT03-00017","","","","1","30.01","2.4662149","1.391332","12.9","50.8","20.58","4.9","1","8","9","14","10","14","9","4.04","1","54.58","25.39370079","6","5","20.58","4","6","7","1.2","0.4","2.5","1.6","4.1","17","0.15","0.044444444","0.094117647","1.7","1.214285714","0.8","0.571428571","0.16","0.114285714","0.25","0.178571429","47.05882353","39.02439024","71.42857143","0.406299213","2.857142857","4","3.80952381","5.333333333","5.952380952","8.333333333","0.967379078","1.354330709","9.761904762","13.66666667"
"","","GHP2013FMS-PT03","","","","","","","","","GHP2013FMS-PT03-00018","","","","1","17.51","2.3188219","1.0877","13.6","50.2","11.3","5.91","2","8","1","14","10","14","7","4.65","1","62.58","27.09163347","5","5","11.3","8","1","5","1.6","0.1","7.5","1.7","9.2","9","0.2","0.1","0.188888889","0.9","0.642857143","0.8","0.571428571","0.17","0.121428571","0.75","0.535714286","88.88888889","18.47826087","71.42857143","0.460557769","3.80952381","5.333333333","4.047619048","5.666666667","17.85714286","25","1.096566116","1.535192563","21.9047619","30.66666667"
