"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00001","","","","3","3","6","23","13","9","14","9","7","5","6","6","2","1.5","4","2.5","5.5","8","29","0.25","0.173913043","0.189655172","3.222222222","2.071428571","0.666666667","0.428571429","0.611111111","0.392857143","0.277777778","0.178571429","20.68965517","68.75","64.28571429","3.571428571","5.555555556","13.0952381","20.37037037","5.952380952","9.259259259","19.04761905","29.62962963"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00010","","","","1","1","9","11","13","7","14","5","3","6","5","7","4","1","0.5","3.1","1.5","4.6","20","0.111111111","0.045454545","0.075","2.857142857","1.428571429","1.285714286","0.642857143","0.214285714","0.107142857","0.442857143","0.221428571","45","32.60869565","50","2.380952381","4.761904762","3.571428571","7.142857143","7.380952381","14.76190476","10.95238095","21.9047619"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00011","","","","2","2","11","24","14","10","14","10","4","5","5","6","5","2","1","1.7","3","4.7","35","0.181818182","0.041666667","0.085714286","3.5","2.5","1.1","0.785714286","0.3","0.214285714","0.17","0.121428571","31.42857143","63.82978723","71.42857143","4.761904762","6.666666667","7.142857143","10","4.047619048","5.666666667","11.19047619","15.66666667"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00012","","","","3","2","8","4","14","10","14","8","4","4","5","6","3","2.5","0.1","1","2.6","3.6","12","0.3125","0.025","0.216666667","1.2","0.857142857","0.8","0.571428571","0.26","0.185714286","0.1","0.071428571","66.66666667","72.22222222","71.42857143","5.952380952","8.333333333","6.19047619","8.666666667","2.380952381","3.333333333","8.571428571","12"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00013","","","","2","1","16","23","14","10","14","10","6","6","4","4","6","1.5","0.1","0.5","1.6","2.1","39","0.09375","0.004347826","0.041025641","3.9","2.785714286","1.6","1.142857143","0.16","0.114285714","0.05","0.035714286","41.02564103","76.19047619","71.42857143","3.571428571","5","3.80952381","5.333333333","1.19047619","1.666666667","5","7"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00014","","","","2","2","30","15","14","10","14","10","4","5","6","7","3","4.5","0.5","1.1","5","6.1","45","0.15","0.033333333","0.111111111","4.5","3.214285714","3","2.142857143","0.5","0.357142857","0.11","0.078571429","66.66666667","81.96721311","71.42857143","10.71428571","15","11.9047619","16.66666667","2.619047619","3.666666667","14.52380952","20.33333333"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00015","","","","2","1","6","6","10","8","14","6","2","4","4","6","3","0.5","0.1","4.2","0.6","4.8","12","0.083333333","0.016666667","0.05","1.5","0.857142857","0.75","0.428571429","0.075","0.042857143","0.525","0.3","50","12.5","57.14285714","1.19047619","2.083333333","1.428571429","2.5","10","17.5","11.42857143","20"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00016","","","","2","3","24","19","14","10","14","10","3","5","6","6","3","3.5","0.5","1.3","4","5.3","43","0.145833333","0.026315789","0.093023256","4.3","3.071428571","2.4","1.714285714","0.4","0.285714286","0.13","0.092857143","55.81395349","75.47169811","71.42857143","8.333333333","11.66666667","9.523809524","13.33333333","3.095238095","4.333333333","12.61904762","17.66666667"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00017","","","","3","2","20","14","14","10","14","10","3","5","6","6","3","5.5","0.5","2.3","6","8.3","34","0.275","0.035714286","0.176470588","3.4","2.428571429","2","1.428571429","0.6","0.428571429","0.23","0.164285714","58.82352941","72.28915663","71.42857143","13.0952381","18.33333333","14.28571429","20","5.476190476","7.666666667","19.76190476","27.66666667"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00018","","","","3","1","11","30","14","10","14","10","3","5","5","7","3","2.5","1.5","3","4","7","41","0.227272727","0.05","0.097560976","4.1","2.928571429","1.1","0.785714286","0.4","0.285714286","0.3","0.214285714","26.82926829","57.14285714","71.42857143","5.952380952","8.333333333","9.523809524","13.33333333","7.142857143","10","16.66666667","23.33333333"
