"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013TON-PT02","","","","","","","","","GHP2013TON-PT02-00001","","","","3","3.53","1.58","1.02","17.95","50.71","0.8","2.43","1","10","13","10","14","7","2.67","1","71.17","35.39735752","6","6","9.75","9","2","2.3","0.5","2.1","2.8","4.9","23","0.23","0.038461538","0.12173913","2.3","1.642857143","1","0.714285714","0.28","0.2","0.21","0.15","43.47826087","57.14285714","71.42857143","0.991126011","5.476190476","7.666666667","6.666666667","9.333333333","5","7","2.359823835","3.303753369","11.66666667","16.33333333"
"","","GHP2013TON-PT02","","","","","","","","","GHP2013TON-PT02-00010","","","","4","","","","","","","","2","2","7","10","14","5","","6","","","3","5","","5","8","0.7","0.6","1.9","1.3","3.2","9","0.35","0.085714286","0.144444444","0.9","0.642857143","0.2","0.142857143","0.13","0.092857143","0.19","0.135714286","22.22222222","40.625","71.42857143","","1.666666667","2.333333333","3.095238095","4.333333333","4.523809524","6.333333333","","","7.619047619","10.66666667"
"","","GHP2013TON-PT02","","","","","","","","","GHP2013TON-PT02-00011","","","","2","0","1.42","1.12","19.2","50.32","0.57","2.21","1","16","7","10","14","10","2.83","2","71.46","38.15580286","4","6","9.35","7","4","3.1","0.5","2","3.6","5.6","23","0.19375","0.071428571","0.156521739","2.3","1.642857143","1.6","1.142857143","0.36","0.257142857","0.2","0.142857143","69.56521739","64.28571429","71.42857143","1.373608903","7.380952381","10.33333333","8.571428571","12","4.761904762","6.666666667","3.270497388","4.578696343","13.33333333","18.66666667"
"","","GHP2013TON-PT02","","","","","","","","","GHP2013TON-PT02-00012","","","","2","27.94","2.29","1.26","13.7","50.7","4.27","6.94","6","3","10","10","14","6","3.97","7","55.65","27.02169625","4","5","15.24","5","3","0.5","0.7","1","1.2","2.2","13","0.166666667","0.07","0.092307692","1.3","0.928571429","0.3","0.214285714","0.12","0.085714286","0.1","0.071428571","23.07692308","54.54545455","71.42857143","0.324260355","1.19047619","1.666666667","2.857142857","4","2.380952381","3.333333333","0.772048464","1.08086785","5.238095238","7.333333333"
"","","GHP2013TON-PT02","","","","","","","","","GHP2013TON-PT02-00013","","","","3","","","","","","","","5","10","14","10","14","9","","5","","","5","5","","5","5","1","1.4","1.3","2.4","3.7","24","0.1","0.1","0.1","2.4","1.714285714","1","0.714285714","0.24","0.171428571","0.13","0.092857143","41.66666667","64.86486486","71.42857143","","2.380952381","3.333333333","5.714285714","8","3.095238095","4.333333333","","","8.80952381","12.33333333"
"","","GHP2013TON-PT02","","","","","","","","","GHP2013TON-PT02-00014","","","","2","","","","","","","","3","3","8","8","14","5","","5","","","4","6","","5","4","0.7","0.5","2.3","1.2","3.5","11","0.233333333","0.0625","0.109090909","1.375","0.785714286","0.375","0.214285714","0.15","0.085714286","0.2875","0.164285714","27.27272727","34.28571429","57.14285714","","1.666666667","2.916666667","2.857142857","5","5.476190476","9.583333333","","","8.333333333","14.58333333"
"","","GHP2013TON-PT02","","","","","","","","","GHP2013TON-PT02-00015","","","","2","","","","","","","","3","3","30","10","14","10","","5","","","5","5","","6","3","0.7","3.6","1.7","4.3","6","33","0.233333333","0.12","0.13030303","3.3","2.357142857","0.3","0.214285714","0.43","0.307142857","0.17","0.121428571","9.090909091","71.66666667","71.42857143","","1.666666667","2.333333333","10.23809524","14.33333333","4.047619048","5.666666667","","","14.28571429","20"
"","","GHP2013TON-PT02","","","","","","","","","GHP2013TON-PT02-00016","","","","4","0","1.8","1.11","15.57","50.24","1.43","3.22","1","12","17","10","14","10","3.73","4","65.9","30.99124204","5","5","12.32","6","5","2.1","1.4","1.6","3.5","5.1","29","0.175","0.082352941","0.120689655","2.9","2.071428571","1.2","0.857142857","0.35","0.25","0.16","0.114285714","41.37931034","68.62745098","71.42857143","1.084693471","5","7","8.333333333","11.66666667","3.80952381","5.333333333","2.582603503","3.615644904","12.14285714","17"
"","","GHP2013TON-PT02","","","","","","","","","GHP2013TON-PT02-00017","","","","3","","","","","","","","2","11","20","9","14","9","","3","","","6","6","","6","6","1.5","1.5","2","3","5","31","0.136363636","0.075","0.096774194","3.444444444","2.214285714","1.222222222","0.785714286","0.333333333","0.214285714","0.222222222","0.142857143","35.48387097","60","64.28571429","","3.571428571","5.555555556","7.142857143","11.11111111","4.761904762","7.407407407","","","11.9047619","18.51851852"
"","","GHP2013TON-PT02","","","","","","","","","GHP2013TON-PT02-00018","","","","1","","","","","","","","1","18","23","10","14","9","","1","","","4","4","","9","2","2","1","3.5","3","6.5","41","0.111111111","0.043478261","0.073170732","4.1","2.928571429","1.8","1.285714286","0.3","0.214285714","0.35","0.25","43.90243902","46.15384615","71.42857143","","4.761904762","6.666666667","7.142857143","10","8.333333333","11.66666667","","","15.47619048","21.66666667"
