"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00001","","","","1","2","10","17","10","14","9","3","5","7","7","4","3","2.5","3.5","5.5","9","27","0.3","0.147058824","0.203703704","2.7","1.928571429","1","0.714285714","0.55","0.392857143","0.35","0.25","37.03703704","61.11111111","71.42857143","7.142857143","10","13.0952381","18.33333333","8.333333333","11.66666667","21.42857143","30"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00010","","","","1","1","6","15","10","14","7","1","3","7","7","4","1.5","3.1","5.9","4.6","10.5","21","0.25","0.206666667","0.219047619","2.1","1.5","0.6","0.428571429","0.46","0.328571429","0.59","0.421428571","28.57142857","43.80952381","71.42857143","3.571428571","5","10.95238095","15.33333333","14.04761905","19.66666667","25","35"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00011","","","","1","1","7","6","8","14","6","2","4","6","9","2","1.7","0.9","3.8","2.6","6.4","13","0.242857143","0.15","0.2","1.625","0.928571429","0.875","0.5","0.325","0.185714286","0.475","0.271428571","53.84615385","40.625","57.14285714","4.047619048","7.083333333","6.19047619","10.83333333","9.047619048","15.83333333","15.23809524","26.66666667"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00012","","","","4","5","12","56","10","14","10","8","3","7","7","2","2.5","6.7","2.6","9.2","11.8","68","0.208333333","0.119642857","0.135294118","6.8","4.857142857","1.2","0.857142857","0.92","0.657142857","0.26","0.185714286","17.64705882","77.96610169","71.42857143","5.952380952","8.333333333","21.9047619","30.66666667","6.19047619","8.666666667","28.0952381","39.33333333"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00013","","","","3","1","11","32","10","14","10","3","4","5","6","4","2","2.2","2.7","4.2","6.9","43","0.181818182","0.06875","0.097674419","4.3","3.071428571","1.1","0.785714286","0.42","0.3","0.27","0.192857143","25.58139535","60.86956522","71.42857143","4.761904762","6.666666667","10","14","6.428571429","9","16.42857143","23"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00014","","","","4","1","6","25","10","14","10","6","4","6","8","2","1.9","2.6","4.1","4.5","8.6","31","0.316666667","0.104","0.14516129","3.1","2.214285714","0.6","0.428571429","0.45","0.321428571","0.41","0.292857143","19.35483871","52.3255814","71.42857143","4.523809524","6.333333333","10.71428571","15","9.761904762","13.66666667","20.47619048","28.66666667"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00015","","","","1","1","8","29","10","14","10","1","4","5","6","3","1.8","1","3.9","2.8","6.7","37","0.225","0.034482759","0.075675676","3.7","2.642857143","0.8","0.571428571","0.28","0.2","0.39","0.278571429","21.62162162","41.79104478","71.42857143","4.285714286","6","6.666666667","9.333333333","9.285714286","13","15.95238095","22.33333333"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00016","","","","4","3","19","21","10","14","9","4","5","8","6","4","5.4","1.7","3","7.1","10.1","40","0.284210526","0.080952381","0.1775","4","2.857142857","1.9","1.357142857","0.71","0.507142857","0.3","0.214285714","47.5","70.2970297","71.42857143","12.85714286","18","16.9047619","23.66666667","7.142857143","10","24.04761905","33.66666667"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00017","","","","1","1","15","44","10","14","10","4","4","5","6","3","2.2","2.5","2.8","4.7","7.5","59","0.146666667","0.056818182","0.079661017","5.9","4.214285714","1.5","1.071428571","0.47","0.335714286","0.28","0.2","25.42372881","62.66666667","71.42857143","5.238095238","7.333333333","11.19047619","15.66666667","6.666666667","9.333333333","17.85714286","25"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00018","","","","1","1","7","22","10","14","10","3","4","5","9","2","1.2","1.2","7.6","2.4","10","29","0.171428571","0.054545455","0.082758621","2.9","2.071428571","0.7","0.5","0.24","0.171428571","0.76","0.542857143","24.13793103","24","71.42857143","2.857142857","4","5.714285714","8","18.0952381","25.33333333","23.80952381","33.33333333"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00019","","","","1","1","19","28","10","14","10","6","6","7","5","4","6.3","2.4","2.2","8.7","10.9","47","0.331578947","0.085714286","0.185106383","4.7","3.357142857","1.9","1.357142857","0.87","0.621428571","0.22","0.157142857","40.42553191","79.81651376","71.42857143","15","21","20.71428571","29","5.238095238","7.333333333","25.95238095","36.33333333"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00002","","","","2","1","10","13","10","14","10","3","5","7","8","3","3.2","1.3","3","4.5","7.5","23","0.32","0.1","0.195652174","2.3","1.642857143","1","0.714285714","0.45","0.321428571","0.3","0.214285714","43.47826087","60","71.42857143","7.619047619","10.66666667","10.71428571","15","7.142857143","10","17.85714286","25"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00020","","","","1","1","11","74","10","14","10","4","5","6","6","3","2.9","3.6","2.8","6.5","9.3","85","0.263636364","0.048648649","0.076470588","8.5","6.071428571","1.1","0.785714286","0.65","0.464285714","0.28","0.2","12.94117647","69.89247312","71.42857143","6.904761905","9.666666667","15.47619048","21.66666667","6.666666667","9.333333333","22.14285714","31"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00021","","","","6","2","4","33","10","14","10","7","4","6","5","5","0.9","3.3","1.9","4.2","6.1","37","0.225","0.1","0.113513514","3.7","2.642857143","0.4","0.285714286","0.42","0.3","0.19","0.135714286","10.81081081","68.85245902","71.42857143","2.142857143","3","10","14","4.523809524","6.333333333","14.52380952","20.33333333"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00022","","","","1","1","7","12","9","14","7","1","3","5","7","3","1","0.6","3.3","1.6","4.9","19","0.142857143","0.05","0.084210526","2.111111111","1.357142857","0.777777778","0.5","0.177777778","0.114285714","0.366666667","0.235714286","36.84210526","32.65306122","64.28571429","2.380952381","3.703703704","3.80952381","5.925925926","7.857142857","12.22222222","11.66666667","18.14814815"
