"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014FMS-AT03","","","","","","","","","GHP2014FMS-AT03-00001","","","","3","32.58","2.67","1.28","10.7","4","50.62","5.84","8.18","3","36","80","29","29","30","29","8","6","4.89","4","44.2","3","21.13789016","6","7","21.46","6","3","14.4","6","6.4","20.4","26.8","116","0.4","0.075","0.175862069","4","3.866666667","1.24137931","1.2","0.703448276","0.68","0.220689655","0.213333333","31.03448276","76.11940299","96.66666667","4.312129593","16","16.55172414","22.66666667","23.44827586","7.111111111","7.356321839","4.791255103","4.956470797","29.77777778","30.8045977"
"","","GHP2014FMS-AT03","","","","","","","","","GHP2014FMS-AT03-00010","","","","3","0","2.12","0.89","18.78","3","50.05","2.17","3.4","2","12","20","13","13","30","12","9","9","4.68","3","65.61","3","37.52247752","5","7","8.2","8","3","3.1","1.7","5.2","4.8","10","32","0.258333333","0.085","0.15","2.461538462","1.066666667","0.923076923","0.4","0.369230769","0.16","0.4","0.173333333","37.5","48","43.33333333","1.801078921","3.444444444","7.948717949","5.333333333","12.30769231","5.777777778","13.33333333","2.001198801","4.61815108","11.11111111","25.64102564"
"","","GHP2014FMS-AT03","","","","","","","","","GHP2014FMS-AT03-00011","","","","4","0.16","2.07","1.05","18.69","2","50.14","0.96","1.83","3","60","40","23","23","30","21","5","3","4.71","4","68.98","8","37.27562824","5","5","6.45","8","5","6.5","4.2","6.8","10.7","17.5","100","0.108333333","0.105","0.107","4.347826087","3.333333333","2.608695652","2","0.465217391","0.356666667","0.295652174","0.226666667","60","61.14285714","76.66666667","3.988492222","7.222222222","9.420289855","11.88888889","15.50724638","7.555555556","9.855072464","4.431658024","5.78042351","19.44444444","25.36231884"
"","","GHP2014FMS-AT03","","","","","","","","","GHP2014FMS-AT03-00012","","","","3","13.05","2.61","1.08","13.92","2","50.65","4.49","6.4","2","25","49","22","22","30","22","7","3","5.81","2","59.83","1","27.48272458","4","6","6.15","8","5","6.1","2.8","10","8.9","18.9","74","0.244","0.057142857","0.12027027","3.363636364","2.466666667","1.136363636","0.833333333","0.404545455","0.296666667","0.454545455","0.333333333","33.78378378","47.08994709","73.33333333","2.445962488","6.777777778","9.242424242","9.888888889","13.48484848","11.11111111","15.15151515","2.717736097","3.706003769","21","28.63636364"
"","","GHP2014FMS-AT03","","","","","","","","","GHP2014FMS-AT03-00013","","","","2","18.63","2.17","1","15.46","2","50.9","1.55","2.33","3","38","180","28","28","30","28","8","6","4.99","4","61.97","6","30.37328094","4","8","10.34","7","3","8.1","10.2","9.8","18.3","28.1","218","0.213157895","0.056666667","0.083944954","7.785714286","7.266666667","1.357142857","1.266666667","0.653571429","0.61","0.35","0.326666667","17.43119266","65.12455516","93.33333333","5.558310413","9","9.642857143","20.33333333","21.78571429","10.88888889","11.66666667","6.175900458","6.617036205","31.22222222","33.45238095"
"","","GHP2014FMS-AT03","","","","","","","","","GHP2014FMS-AT03-00014","","","","2","36.36","2.63","1.37","10.1","3","50.62","4.46","6.48","3","26","60","28","28","30","28","8","6","4.41","3","45.97","3","19.95258791","5","4","22.38","7","3","13.4","4.2","6.8","17.6","24.4","86","0.515384615","0.07","0.204651163","3.071428571","2.866666667","0.928571429","0.866666667","0.628571429","0.586666667","0.242857143","0.226666667","30.23255814","72.13114754","93.33333333","3.511655472","14.88888889","15.95238095","19.55555556","20.95238095","7.555555556","8.095238095","3.901839413","4.180542229","27.11111111","29.04761905"
"","","GHP2014FMS-AT03","","","","","","","","","GHP2014FMS-AT03-00015","","","","2","0.36","1.73","0.96","19.76","2","50","0.96","1.94","2","12","46","27","27","30","26","1","8","3.84","2","74.07","3","39.52","5","8","2.33","8","3","2","3.2","25.2","5.2","30.4","58","0.166666667","0.069565217","0.089655172","2.148148148","1.933333333","0.444444444","0.4","0.192592593","0.173333333","0.933333333","0.84","20.68965517","17.10526316","90","2.05504","2.222222222","2.469135802","5.777777778","6.419753086","28","31.11111111","2.283377778","2.53708642","33.77777778","37.5308642"
"","","GHP2014FMS-AT03","","","","","","","","","GHP2014FMS-AT03-00016","","","","3","0","1.66","0.89","18.95","2","50.66","1.49","2.65","2","38","73","29","29","30","28","4","6","2.74","3","74.61","5","37.40623766","5","8","1.35","7","3","12.1","3.6","7.2","15.7","22.9","111","0.318421053","0.049315068","0.141441441","3.827586207","3.7","1.310344828","1.266666667","0.54137931","0.523333333","0.248275862","0.24","34.23423423","68.55895197","96.66666667","5.872779313","13.44444444","13.90804598","17.44444444","18.04597701","8","8.275862069","6.525310348","6.75032105","25.44444444","26.32183908"
"","","GHP2014FMS-AT03","","","","","","","","","GHP2014FMS-AT03-00017","","","","2","14.92","2.16","1.06","16.19","2","50.49","1.84","2.7","2","58","98","27","27","30","27","8","6","5.08","3","62.92","5","32.0657556","6","5","9.16","7","3","14.2","6.4","9","20.6","29.6","156","0.244827586","0.065306122","0.132051282","5.777777778","5.2","2.148148148","1.933333333","0.762962963","0.686666667","0.333333333","0.3","37.17948718","69.59459459","90","6.605545653","15.77777778","17.5308642","22.88888889","25.43209877","10","11.11111111","7.33949517","8.154994633","32.88888889","36.54320988"
"","","GHP2014FMS-AT03","","","","","","","","","GHP2014FMS-AT03-00018","","","","2","0","2.19","0.93","18.57","3","50.23","1.85","3.03","2","30","58","20","20","30","20","9","9","4.71","2","65.91","3","36.96993828","5","8","9.55","7","4","6.7","5.1","7","11.8","18.8","88","0.223333333","0.087931034","0.134090909","4.4","2.933333333","1.5","1","0.59","0.393333333","0.35","0.233333333","34.09090909","62.76595745","66.66666667","4.362452717","7.444444444","11.16666667","13.11111111","19.66666667","7.777777778","11.66666667","4.847169686","7.270754529","20.88888889","31.33333333"
"","","GHP2014FMS-AT03","","","","","","","","","GHP2014FMS-AT03-00019","","","","1","0","1.65","0.95","17.69","2","50.68","2.16","3.49","2","36","48","27","27","30","27","4","6","3.33","2","72.06","5","34.90528808","5","8","1.44","7","4","13.1","13.4","10.9","26.5","37.4","84","0.363888889","0.279166667","0.31547619","3.111111111","2.8","1.333333333","1.2","0.981481481","0.883333333","0.403703704","0.363333333","42.85714286","70.85561497","90","9.249901342","14.55555556","16.17283951","29.44444444","32.71604938","12.11111111","13.45679012","10.27766816","11.41963129","41.55555556","46.17283951"
"","","GHP2014FMS-AT03","","","","","","","","","GHP2014FMS-AT03-00002","","","","4","13.67","2.59","1.13","15.2","2","50.19","3.79","5.41","2","13","48","23","23","30","23","7","3","6.36","3","62.23","1","30.28491731","5","6","4.9","7","4","3","2.7","7","5.7","12.7","61","0.230769231","0.05625","0.093442623","2.652173913","2.033333333","0.565217391","0.433333333","0.247826087","0.19","0.304347826","0.233333333","21.31147541","44.88188976","76.66666667","1.726240287","3.333333333","4.347826087","6.333333333","8.260869565","7.777777778","10.14492754","1.918044763","2.501797517","14.11111111","18.4057971"
"","","GHP2014FMS-AT03","","","","","","","","","GHP2014FMS-AT03-00020","","","","2","0","1.95","1","19.03","3","50.05","1.3","2.43","3","41","27","20","20","30","20","5","3","4.4","4","68.53","8","38.02197802","6","8","5.53","7","4","13.1","2.5","9.2","15.6","24.8","68","0.319512195","0.092592593","0.229411765","3.4","2.266666667","2.05","1.366666667","0.78","0.52","0.46","0.306666667","60.29411765","62.90322581","66.66666667","5.931428571","14.55555556","21.83333333","17.33333333","26","10.22222222","15.33333333","6.59047619","9.885714286","27.55555556","41.33333333"
"","","GHP2014FMS-AT03","","","","","","","","","GHP2014FMS-AT03-00021","","","","5","16.27","2.49","1.06","13.26","2","50.28","5.22","7.29","2","32","76","24","24","30","23","7","3","5.37","2","58.53","1","26.37231504","6","8","3.78","8","4","7.4","5","11.8","12.4","24.2","108","0.23125","0.065789474","0.114814815","4.5","3.6","1.333333333","1.066666667","0.516666667","0.413333333","0.491666667","0.393333333","29.62962963","51.23966942","80","3.270167064","8.222222222","10.27777778","13.77777778","17.22222222","13.11111111","16.38888889","3.63351896","4.541898701","26.88888889","33.61111111"
"","","GHP2014FMS-AT03","","","","","","","","","GHP2014FMS-AT03-00022","","","","4","0","1.9","1.02","19.28","3","50.95","1.44","2.64","2","8","8","12","12","30","10","5","3","4.88","4","68.19","2","37.84102061","6","8","4.48","8","5","3.4","1","5","4.4","9.4","16","0.425","0.125","0.275","1.333333333","0.533333333","0.666666667","0.266666667","0.366666667","0.146666667","0.416666667","0.166666667","50","46.80851064","40","1.665004907","3.777777778","9.444444444","4.888888889","12.22222222","5.555555556","13.88888889","1.850005452","4.62501363","10.44444444","26.11111111"
"","","GHP2014FMS-AT03","","","","","","","","","GHP2014FMS-AT03-00023","","","","3","3.09","1.72","0.8","19.27","2","50.36","1.6","2.37","2","30","65","30","30","30","30","1","8","2.97","4","72.26","3","38.26449563","5","4","3.73","7","3","4.8","4","17","8.8","25.8","95","0.16","0.061538462","0.092631579","3.166666667","3.166666667","1","1","0.293333333","0.293333333","0.566666667","0.566666667","31.57894737","34.10852713","100","3.367275616","5.333333333","5.333333333","9.777777778","9.777777778","18.88888889","18.88888889","3.741417351","3.741417351","28.66666667","28.66666667"
"","","GHP2014FMS-AT03","","","","","","","","","GHP2014FMS-AT03-00024","","","","4","34.98","2.34","1.13","10.67","3","50.68","8.68","11.86","3","42","75","29","29","30","28","8","6","2.92","3","45.97","3","21.05367009","5","8","11.27","7","4","13.4","6.2","6.4","19.6","26","117","0.319047619","0.082666667","0.167521368","4.034482759","3.9","1.448275862","1.4","0.675862069","0.653333333","0.220689655","0.213333333","35.8974359","75.38461538","96.66666667","4.126519337","14.88888889","15.40229885","21.77777778","22.52873563","7.111111111","7.356321839","4.585021486","4.743125675","28.88888889","29.88505747"
