"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014KMD-AT02","","","","","","","","","GHP2014KMD-AT02-00001","","","","5","0","1.59","0.59","20.5","4","50.17","1.61","2.11","1","24","30","3","34","30","45","22","1","9","4.75","1","75.95","3","40.86107235","5","5","1.08","6","4","4","3.4","1.4","11.4","4.8","16.2","54","0.141666667","0.046666667","0.088888889","1.8","1.2","0.8","0.533333333","0.16","0.106666667","0.38","0.253333333","44.44444444","29.62962963","66.66666667","1.961331473","2.518518519","3.777777778","3.555555556","5.333333333","8.444444444","12.66666667","1.452838128","2.179257192","12","18"
"","","GHP2014KMD-AT02","","","","","","","","","GHP2014KMD-AT02-00010","","","","3","0","","","","","","","","1","0","30","3","34","30","45","13","5","9","","1","","2","","4","2","","4","4","4","0","1.6","6","1.6","7.6","30","","0.053333333","0.053333333","1","0.666666667","0","0","0.053333333","0.035555556","0.2","0.133333333","0","21.05263158","66.66666667","","0","0","1.185185185","1.777777778","4.444444444","6.666666667","","","5.62962963","8.444444444"
"","","GHP2014KMD-AT02","","","","","","","","","GHP2014KMD-AT02-00011","","","","2","6.76","1.67","1.43","18.93","2","50.35","2.32","3.29","1","6","10","3","14","14","45","6","5","3","4.79","3","70.56","5","37.59682224","5","7","1.02","4","6","7","1.8","0.6","2.4","2.4","4.8","16","0.3","0.06","0.15","1.142857143","0.355555556","0.428571429","0.133333333","0.171428571","0.053333333","0.171428571","0.053333333","37.5","50","31.11111111","0.902323734","1.333333333","4.285714286","1.777777778","5.714285714","1.777777778","5.714285714","0.668387951","2.148389843","3.555555556","11.42857143"
"","","GHP2014KMD-AT02","","","","","","","","","GHP2014KMD-AT02-00012","","","","2","6.47","1.7","1.24","18.17","2","50.16","2.2","4.69","1","84","57","3","34","30","45","37","5","8","5.03","2","68.54","5","36.22408293","4","6","0.96","7","3","4","18.1","2.8","15","20.9","35.9","141","0.21547619","0.049122807","0.14822695","4.7","3.133333333","2.8","1.866666667","0.696666667","0.464444444","0.5","0.333333333","59.57446809","58.21727019","66.66666667","7.570833333","13.40740741","20.11111111","15.48148148","23.22222222","11.11111111","16.66666667","5.608024691","8.412037037","26.59259259","39.88888889"
"","","GHP2014KMD-AT02","","","","","","","","","GHP2014KMD-AT02-00013","","","","3","0","1.44","1.44","20.55","2","50.08","2.37","3.04","1","9","29","4","26","26","45","20","5","3","4.34","3","71.29","3","41.03434505","5","5","0.88","5","5","5","1.8","1.8","12","3.6","15.6","38","0.2","0.062068966","0.094736842","1.461538462","0.844444444","0.346153846","0.2","0.138461538","0.08","0.461538462","0.266666667","23.68421053","23.07692308","57.77777778","1.477236422","1.333333333","2.307692308","2.666666667","4.615384615","8.888888889","15.38461538","1.094249201","1.893892848","11.55555556","20"
"","","GHP2014KMD-AT02","","","","","","","","","GHP2014KMD-AT02-00014","","","","5","0","1.27","1.2","20.36","2","50.94","2.12","4.24","1","21","47","3","34","30","45","35","5","9","3.58","2","72.83","2","39.9685905","4","5","0.73","5","4","4","3.2","2.2","8.2","5.4","13.6","68","0.152380952","0.046808511","0.079411765","2.266666667","1.511111111","0.7","0.466666667","0.18","0.12","0.273333333","0.182222222","30.88235294","39.70588235","66.66666667","2.158303887","2.37037037","3.555555556","4","6","6.074074074","9.111111111","1.59874362","2.39811543","10.07407407","15.11111111"
"","","GHP2014KMD-AT02","","","","","","","","","GHP2014KMD-AT02-00015","","","","3","3.86","1.37","2.02","16.16","4","50.24","2.94","6.22","1","30","67","2","34","30","45","41","6","2","2.62","3","69.7","5","32.1656051","5","5","0.82","6","3","3","5.1","3.9","8.6","9","17.6","97","0.17","0.058208955","0.092783505","3.233333333","2.155555556","1","0.666666667","0.3","0.2","0.286666667","0.191111111","30.92783505","51.13636364","66.66666667","2.894904459","3.777777778","5.666666667","6.666666667","10","6.37037037","9.555555556","2.144373673","3.21656051","13.03703704","19.55555556"
"","","GHP2014KMD-AT02","","","","","","","","","GHP2014KMD-AT02-00016","","","","3","35.09","2.03","5.11","10.48","3","50.18","7.76","19.57","1","26","24","3","22","22","45","22","8","6","3.65","5","48.62","2","20.88481467","5","8","1.2","5","4","4","11.2","3.1","5.2","14.3","19.5","50","0.430769231","0.129166667","0.286","2.272727273","1.111111111","1.181818182","0.577777778","0.65","0.317777778","0.236363636","0.115555556","52","73.33333333","48.88888889","2.986528497","8.296296296","16.96969697","10.59259259","21.66666667","3.851851852","7.878787879","2.212243331","4.525043178","14.44444444","29.54545455"
"","","GHP2014KMD-AT02","","","","","","","","","GHP2014KMD-AT02-00017","","","","4","0","1.61","2.87","17.79","3","50.25","3.99","3.53","1","16","29","3","30","30","45","23","1","6","4.05","1","69.36","3","35.40298507","5","7","0.8","6","3","4","5","2.2","9","7.2","16.2","45","0.3125","0.075862069","0.16","1.5","1","0.533333333","0.355555556","0.24","0.16","0.3","0.2","35.55555556","44.44444444","66.66666667","2.549014925","3.703703704","5.555555556","5.333333333","8","6.666666667","10","1.888159204","2.832238806","12","18"
"","","GHP2014KMD-AT02","","","","","","","","","GHP2014KMD-AT02-00018","","","","3","0","1.17","1.18","20.55","4","50.76","1.87","2.75","1","18","20","2","34","30","45","23","4","6","2.88","2","73.57","9","40.48463357","5","5","0.87","7","4","4","3.4","1.4","10.8","4.8","15.6","38","0.188888889","0.07","0.126315789","1.266666667","0.844444444","0.6","0.4","0.16","0.106666667","0.36","0.24","47.36842105","30.76923077","66.66666667","1.943262411","2.518518519","3.777777778","3.555555556","5.333333333","8","12","1.439453638","2.159180457","11.55555556","17.33333333"
