"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00001","","","","1","","","","","2","","","","1","0","18","30","26","30","8","","","","2","","","","3","2","4","","6","4","4","0","0.5","12","0.5","12.5","18","","0.027777778","0.027777778","0.692307692","0.6","0","0","0.019230769","0.016666667","0.461538462","0.4","0","4","86.66666667","","0","0","0.555555556","0.641025641","13.33333333","15.38461538","","","13.88888889","16.02564103"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00010","","","","2","0","1.8","0.9","20.42","3","50.08","1.26","1.91","1","38","32","30","23","30","22","7","6","4.19","2","68.42","3","40.77476038","7","6","4","6.2","6","4","5","7.3","1.7","9.2","9","18.2","70","0.192105263","0.053125","0.128571429","3.043478261","2.333333333","1.652173913","1.266666667","0.391304348","0.3","0.4","0.306666667","54.28571429","49.45054945","76.66666667","3.669728435","8.111111111","10.57971014","10","13.04347826","10.22222222","13.33333333","4.077476038","5.318447007","20.22222222","26.37681159"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00011","","","","2","0","1.53","0.82","17.05","4","50.16","2.66","3.64","1","18","30","30","28","30","19","5","3","2.64","2","66.47","2","33.99122807","5","5","3","5.3","6","5","6","3","1.5","4.8","4.5","9.3","48","0.166666667","0.05","0.09375","1.714285714","1.6","0.642857143","0.6","0.160714286","0.15","0.171428571","0.16","37.5","48.38709677","93.33333333","1.529605263","3.333333333","3.571428571","5","5.357142857","5.333333333","5.714285714","1.699561404","1.820958647","10.33333333","11.07142857"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00012","","","","2","0","1.74","0.99","18.64","2","50.09","2.32","3.4","1","24","21","30","29","30","21","4","8","2.91","2","63.55","3","37.21301657","4","5","3","7.52","6","5","6","3.6","0.7","12","4.3","16.3","45","0.15","0.033333333","0.095555556","1.551724138","1.5","0.827586207","0.8","0.148275862","0.143333333","0.413793103","0.4","53.33333333","26.3803681","96.66666667","1.600159713","4","4.137931034","4.777777778","4.942528736","13.33333333","13.79310345","1.777955236","1.839264037","18.11111111","18.73563218"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00013","","","","","","","","","","","","","","0","0","0","0","30","0","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","0","","0","","0","","","","0",""
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00014","","","","2","17.84","1.88","0.74","12.31","3","50.52","7.17","9.44","1","18","10","30","26","30","17","7","7","2.88","1","50.09","2","24.36658749","4","6","4","13.78","5","4","7","2.7","0.1","13.2","2.8","16","28","0.15","0.01","0.1","1.076923077","0.933333333","0.692307692","0.6","0.107692308","0.093333333","0.507692308","0.44","64.28571429","17.5","86.66666667","0.68226445","3","3.461538462","3.111111111","3.58974359","14.66666667","16.92307692","0.758071611","0.874698012","17.77777778","20.51282051"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00015","","","","1","5.54","1.79","0.96","18.04","2","50.5","2.52","3.5","1","8","23","30","25","30","12","3","8","2.88","1","62.7","3","35.72277228","5","5","3","10.6","6","5","6","0.6","0.4","9.4","1","10.4","31","0.075","0.017391304","0.032258065","1.24","1.033333333","0.32","0.266666667","0.04","0.033333333","0.376","0.313333333","25.80645161","9.615384615","83.33333333","0.357227723","0.666666667","0.8","1.111111111","1.333333333","10.44444444","12.53333333","0.396919692","0.47630363","11.55555556","13.86666667"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00016","","","","2","0","1.64","0.94","19.13","3","50.22","2.03","2.89","1","45","47","30","26","30","26","7","6","3.78","1","65.79","3","38.09239347","7","6","4","6.41","6","5","5","7.4","2.7","9.8","10.1","19.9","92","0.164444444","0.057446809","0.109782609","3.538461538","3.066666667","1.730769231","1.5","0.388461538","0.336666667","0.376923077","0.326666667","48.91304348","50.75376884","86.66666667","3.84733174","8.222222222","9.487179487","11.22222222","12.94871795","10.88888889","12.56410256","4.274813045","4.93247659","22.11111111","25.51282051"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00017","","","","2","26.2","2.22","1.14","13.09","3","50.35","5.17","7.58","2","33","99","30","30","30","30","8","6","3.01","3","50.11","3","25.9980139","5","5","3","15.81","6","5","5","3.5","3.4","5.6","6.9","12.5","132","0.106060606","0.034343434","0.052272727","4.4","4.4","1.1","1.1","0.23","0.23","0.186666667","0.186666667","25","55.2","100","1.793862959","3.888888889","3.888888889","7.666666667","7.666666667","6.222222222","6.222222222","1.993181066","1.993181066","13.88888889","13.88888889"
"","","GHP2014TON-AT01","","","","","","","","","GHP2014TON-AT01-00018","","","","2","","","","19.1","4","50.2","","","1","6","39","30","27","30","21","4","3","","1","","","38.04780876","4","5","3","","5","6","6","0.7","1.6","9.8","2.3","12.1","45","0.116666667","0.041025641","0.051111111","1.666666667","1.5","0.222222222","0.2","0.085185185","0.076666667","0.362962963","0.326666667","13.33333333","19.00826446","90","0.875099602","0.777777778","0.864197531","2.555555556","2.839506173","10.88888889","12.09876543","0.972332891","1.080369879","13.44444444","14.9382716"
