"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00001","","","","1","","","","18.3","50.2","","","1","69","30","43","43","45","41","1","8","","2","","36.45418327","5","9","","9","3","3","22.8","1.8","45","24.6","69.6","99","0.330434783","0.06","0.248484848","2.302325581","2.2","1.604651163","1.533333333","0.572093023","0.546666667","1.046511628","1","69.6969697","35.34482759","95.55555556","8.967729084","16.88888889","17.6744186","18.22222222","19.06976744","33.33333333","34.88372093","6.642762284","6.951727972","51.55555556","53.95348837"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00010","","","","1","0","1.39","0.86","18.46","50.88","2.03","2.93","2","54","24","43","43","45","39","5","9","2.99","2","69.26","36.28144654","4","6","6.59","8","3","3","13.5","2","24.5","15.5","40","78","0.25","0.083333333","0.198717949","1.813953488","1.733333333","1.255813953","1.2","0.360465116","0.344444444","0.569767442","0.544444444","69.23076923","38.75","95.55555556","5.623624214","10","10.46511628","11.48148148","12.01550388","18.14814815","18.99224806","4.165647566","4.359398615","29.62962963","31.00775194"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00011","","","","1","0","1.47","0.94","17.3","50.91","2.25","3.56","1","33","17","22","22","45","20","5","3","3.01","2","66.5","33.98153604","6","9","8.65","7","6","6","11.5","1","14","12.5","26.5","50","0.348484848","0.058823529","0.25","2.272727273","1.111111111","1.5","0.733333333","0.568181818","0.277777778","0.636363636","0.311111111","66","47.16981132","48.88888889","4.247692005","8.518518519","17.42424242","9.259259259","18.93939394","10.37037037","21.21212121","3.146438523","6.435896978","19.62962963","40.15151515"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00012","","","","1","","","","17.8","50.9","","","1","150","60","45","45","45","45","5","8","","1","","34.97053045","6","8","","7","3","3","54.4","3.3","22","57.7","79.7","210","0.362666667","0.055","0.274761905","4.666666667","4.666666667","3.333333333","3.333333333","1.282222222","1.282222222","0.488888889","0.488888889","71.42857143","72.39648683","100","20.17799607","40.2962963","40.2962963","42.74074074","42.74074074","16.2962963","16.2962963","14.94666376","14.94666376","59.03703704","59.03703704"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00013","","","","1","0","1.56","1.02","19.61","50.4","1.21","2.12","1","80","53","38","38","45","38","5","3","4.11","3","68.02","38.90873016","6","8","6.7","9","3","3","19.7","3.8","42","23.5","65.5","133","0.24625","0.071698113","0.176691729","3.5","2.955555556","2.105263158","1.777777778","0.618421053","0.522222222","1.105263158","0.933333333","60.15037594","35.8778626","84.44444444","9.143551587","14.59259259","17.28070175","17.40740741","20.61403509","31.11111111","36.84210526","6.773001176","8.020659287","48.51851852","57.45614035"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00014","","","","1","","","","18.9","50.1","","","1","55","32","43","43","45","43","5","9","","1","","37.7245509","4","7","","9","3","3","15.3","1.9","23","17.2","40.2","87","0.278181818","0.059375","0.197701149","2.023255814","1.933333333","1.279069767","1.222222222","0.4","0.382222222","0.534883721","0.511111111","63.2183908","42.78606965","95.55555556","6.488622754","11.33333333","11.86046512","12.74074074","13.33333333","17.03703704","17.82945736","4.806387226","5.02994012","29.77777778","31.1627907"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00015","","","","1","","","","16.8","50.1","","","1","120","62","44","44","45","44","6","3","","2","","33.53293413","7","8","","9","1","1","33.4","3.2","23","36.6","59.6","182","0.278333333","0.051612903","0.201098901","4.136363636","4.044444444","2.727272727","2.666666667","0.831818182","0.813333333","0.522727273","0.511111111","65.93406593","61.40939597","97.77777778","12.27305389","24.74074074","25.3030303","27.11111111","27.72727273","17.03703704","17.42424242","9.091151031","9.2977681","44.14814815","45.15151515"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00016","","","","2","0","1.61","1.05","18.77","50.28","1.05","1.77","2","100","75","38","38","45","38","8","6","3.73","4","68.78","37.3309467","4","9","6.21","7","3","5","43.4","4.8","18","48.2","66.2","175","0.434","0.064","0.275428571","4.605263158","3.888888889","2.631578947","2.222222222","1.268421053","1.071111111","0.473684211","0.4","57.14285714","72.80966767","84.44444444","17.99351631","32.14814815","38.07017544","35.7037037","42.28070175","13.33333333","15.78947368","13.3285306","15.78378624","49.03703704","58.07017544"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00017","","","","1","0","1.91","1.03","17.84","50.49","2.16","3.22","1","82","9","44","44","45","44","1","7","4.22","2","62.24","35.33372945","5","9","8.88","8","3","3","43.4","0.5","14.5","43.9","58.4","91","0.529268293","0.055555556","0.482417582","2.068181818","2.022222222","1.863636364","1.822222222","0.997727273","0.975555556","0.329545455","0.322222222","90.10989011","75.17123288","97.77777778","15.51150723","32.14814815","32.87878788","32.51851852","33.25757576","10.74074074","10.98484848","11.49000535","11.75114184","43.25925926","44.24242424"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00018","","","","1","2.21","1.82","1.13","15.99","50.21","1.9","3.06","1","58","56","38","38","45","37","3","7","3.46","1","61.36","31.84624577","5","7","10.68","9","6","6","19.5","3","29.5","22.5","52","114","0.336206897","0.053571429","0.197368421","3","2.533333333","1.526315789","1.288888889","0.592105263","0.5","0.776315789","0.655555556","50.87719298","43.26923077","84.44444444","7.165405298","14.44444444","17.10526316","16.66666667","19.73684211","21.85185185","25.87719298","5.307707628","6.285443244","38.51851852","45.61403509"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00019","","","","1","","2.4","1.36","11","50.7","4.46","6.88","1","75","56","41","41","45","41","6","7","3.35","1","45.12","21.69625247","7","8","22.47","9","4","4","23.6","3.6","37","27.2","64.2","131","0.314666667","0.064285714","0.207633588","3.195121951","2.911111111","1.829268293","1.666666667","0.663414634","0.604444444","0.902439024","0.822222222","57.2519084","42.36760125","91.11111111","5.901380671","17.48148148","19.18699187","20.14814815","22.11382114","27.40740741","30.08130081","4.371393089","4.797870464","47.55555556","52.19512195"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00002","","","","1","0","1.66","1.08","17.46","50.01","1.73","3.17","1","75","33","43","43","45","43","6","7","3.95","2","64.6","34.9130174","6","7","9.96","9","1","1","26.8","3.3","28","30.1","58.1","108","0.357333333","0.1","0.278703704","2.511627907","2.4","1.744186047","1.666666667","0.7","0.668888889","0.651162791","0.622222222","69.44444444","51.80722892","95.55555556","10.50881824","19.85185185","20.7751938","22.2962963","23.33333333","20.74074074","21.70542636","7.784309805","8.146370726","43.03703704","45.03875969"
