"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00001","","","","2","","","","1","10","10","10","7","0","18","1","","4","3","6","3","5","0","0.7","10.4","0.7","11.1","18","","0.038888889","0.038888889","1.8","1.8","0","0","0.07","0.07","1.04","1.04","0","6.306306306","100","0","0","2.333333333","2.333333333","34.66666667","34.66666667","37","37"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00010","","","","1","2","0.945550025","2.196325064","3","10","9","9","9","13","9","2","75.86775208","5","4","7","1","5","2.5","0.4","4.6","2.9","7.5","22","0.192307692","0.044444444","0.131818182","2.444444444","2.2","1.444444444","1.3","0.322222222","0.29","0.511111111","0.46","59.09090909","38.66666667","90","8.333333333","9.259259259","9.666666667","10.74074074","15.33333333","17.03703704","25","27.77777778"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00100","","","","1","","1.426434994","2.632040024","3","10","10","10","4","0","9","3","72.41609192","3","3","6","1","6","0","0.4","11.2","0.4","11.6","9","","0.044444444","0.044444444","0.9","0.9","0","0","0.04","0.04","1.12","1.12","0","3.448275862","100","0","0","1.333333333","1.333333333","37.33333333","37.33333333","38.66666667","38.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00101","","","","1","2","","","4","10","10","10","8","13","4","4","","7","7","7","1","4","2.6","0.2","4.9","2.8","7.7","17","0.2","0.05","0.164705882","1.7","1.7","1.3","1.3","0.28","0.28","0.49","0.49","76.47058824","36.36363636","100","8.666666667","8.666666667","9.333333333","9.333333333","16.33333333","16.33333333","25.66666667","25.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00102","","","","2","2","1.114174008","1.916617036","4","10","10","10","9","14","8","3","73.98080444","7","7","7","3","4","2.5","0.3","7.5","2.8","10.3","22","0.178571429","0.0375","0.127272727","2.2","2.2","1.4","1.4","0.28","0.28","0.75","0.75","63.63636364","27.18446602","100","8.333333333","8.333333333","9.333333333","9.333333333","25","25","34.33333333","34.33333333"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00103","","","","2","2","1.232964993","2.514064074","3","10","10","6","5","13","0","4","71.02441406","6","7","7","3","4","4.4","0","5.4","4.4","9.8","13","0.338461538","","0.338461538","2.166666667","1.3","2.166666667","1.3","0.733333333","0.44","0.9","0.54","100","44.89795918","60","14.66666667","24.44444444","14.66666667","24.44444444","18","30","32.66666667","54.44444444"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00104","","","","1","","0.779469013","1.898020029","3","10","10","10","3","7","5","3","71.87710571","5","5","6","1","6","1.2","0.3","5.6","1.5","7.1","12","0.171428571","0.06","0.125","1.2","1.2","0.7","0.7","0.15","0.15","0.56","0.56","58.33333333","21.12676056","100","4","4","5","5","18.66666667","18.66666667","23.66666667","23.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00105","","","","1","2","","","3","10","10","10","10","20","20","3","","5","5","6","1","5","2.9","0.8","5.3","3.7","9","40","0.145","0.04","0.0925","4","4","2","2","0.37","0.37","0.53","0.53","50","41.11111111","100","9.666666667","9.666666667","12.33333333","12.33333333","17.66666667","17.66666667","30","30"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00106","","","","2","3","1.377828956","2.088229895","4","10","10","10","10","15","3","4","72.4708252","6","7","4","6","6","3.2","0.2","2.5","3.4","5.9","18","0.213333333","0.066666667","0.188888889","1.8","1.8","1.5","1.5","0.34","0.34","0.25","0.25","83.33333333","57.62711864","100","10.66666667","10.66666667","11.33333333","11.33333333","8.333333333","8.333333333","19.66666667","19.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00107","","","","1","","0.777940989","1.921452045","3","10","10","10","5","2","5","3","72.34812164","3","3","8","1","3","0.5","0.2","17.4","0.7","18.1","7","0.25","0.04","0.1","0.7","0.7","0.2","0.2","0.07","0.07","1.74","1.74","28.57142857","3.867403315","100","1.666666667","1.666666667","2.333333333","2.333333333","58","58","60.33333333","60.33333333"
