"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015NYK-OT01","","","","","","","","","GHP2015NYK-OT01-00001","","","","1","20.8","50.6","1","3","3","3","3","7","4","","","2","7","8","6","1","2","2.6","0.5","1.6","3.1","4.7","11","0.371428571","0.125","0.281818182","3.666666667","3.666666667","2.333333333","2.333333333","1.033333333","1.033333333","0.533333333","0.533333333","63.63636364","65.95744681","100","41.10671937","1.2743083","28.88888889","28.88888889","34.44444444","34.44444444","17.77777778","17.77777778","14.15898112","14.15898112","52.22222222","52.22222222"
"","","GHP2015NYK-OT01","","","","","","","","","GHP2015NYK-OT01-00010","","","","","","","","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2015NYK-OT01","","","","","","","","","GHP2015NYK-OT01-00100","","","","","","","","3","3","","","","","","","","","","8","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2015NYK-OT01","","","","","","","","","GHP2015NYK-OT01-00101","","","","","","","","3","3","","","","","","","","","","8","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2015NYK-OT01","","","","","","","","","GHP2015NYK-OT01-00102","","","","1","20.83","50.59","1","3","3","3","3","4","10","4","6","1","7","7","8","1","1","1.3","1","2.2","2.3","4.5","14","0.325","0.1","0.164285714","4.666666667","4.666666667","1.333333333","1.333333333","0.766666667","0.766666667","0.733333333","0.733333333","28.57142857","51.11111111","100","41.17414509","0.947005337","14.44444444","14.44444444","25.55555556","25.55555556","24.44444444","24.44444444","10.52228152","10.52228152","50","50"
"","","GHP2015NYK-OT01","","","","","","","","","GHP2015NYK-OT01-00103","","","","","","","","3","3","","","","","","","","","","8","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2015NYK-OT01","","","","","","","","","GHP2015NYK-OT01-00104","","","","","","","","3","3","","","","","","","","","","9","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2015NYK-OT01","","","","","","","","","GHP2015NYK-OT01-00105","","","","","","","","3","3","","","","","","","","","","8","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2015NYK-OT01","","","","","","","","","GHP2015NYK-OT01-00106","","","","","","","","3","3","","","","","","","","","","8","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2015NYK-OT01","","","","","","","","","GHP2015NYK-OT01-00107","","","","","","","","3","3","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
