"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2016KMD-AT02","","","","","","","","","GHP2016KMD-AT02-00001","","","","3","0","2.329483986","1.025661945","19.64","48.82","1.91879797","2.648333073","1","5","19","30","20","30","14","4.549448013","2","67.84429169","3","40.22941417","5","5","12.23944759","5","4","6","0.8","0.9","3.2","1.7","4.9","24","0.16","0.047368421","0.070833333","1.2","0.8","0.25","0.166666667","0.085","0.056666667","0.16","0.106666667","20.83333333","34.69387755","66.66666667","0.683900041","0.888888889","1.333333333","1.888888889","2.833333333","3.555555556","5.333333333","0.759888934","1.139833402","5.444444444","8.166666667"
"","","GHP2016KMD-AT02","","","","","","","","","GHP2016KMD-AT02-00010","","","","4","11.3558922","1.965909958","1.019891977","15.73","48.57","1.719169021","2.960896015","2","9","16","30","14","30","10","5.090557098","3","62.24381638","2","32.38624665","3","3","14.16285419","4","5","7","2.2","0.6","2","2.8","4.8","25","0.244444444","0.0375","0.112","1.785714286","0.833333333","0.642857143","0.3","0.2","0.093333333","0.142857143","0.066666667","36","58.33333333","46.66666667","0.906814906","2.444444444","5.238095238","3.111111111","6.666666667","2.222222222","4.761904762","1.007572118","2.15908311","5.333333333","11.42857143"
"","","GHP2016KMD-AT02","","","","","","","","","GHP2016KMD-AT02-00011","","","","3","10.1098309","1.826599002","0.786683977","15.47","48.98","6.077682972","8.610434532","1","21","16","26","22","30","18","2.9216609","2","62.92153168","3","31.58432013","3","3","9.26910305","6","4","5","4.8","0.7","10.2","5.5","15.7","37","0.228571429","0.04375","0.148648649","1.681818182","1.233333333","0.954545455","0.7","0.25","0.183333333","0.463636364","0.34","56.75675676","35.03184713","73.33333333","1.737137607","5.333333333","7.272727273","6.111111111","8.333333333","11.33333333","15.45454545","1.930152897","2.632026678","17.44444444","23.78787879"
"","","GHP2016KMD-AT02","","","","","","","","","GHP2016KMD-AT02-00012","","","","3","0","2.08595109","0.975392997","17.87","48.85","1.302551985","2.236946106","2","19","48","30","21","30","19","4.085875034","2","67.75235748","3","36.58137155","3","3","14.46101284","6","3","4","2.9","1.3","10.6","4.2","14.8","67","0.152631579","0.027083333","0.062686567","3.19047619","2.233333333","0.904761905","0.633333333","0.2","0.14","0.504761905","0.353333333","28.35820896","28.37837838","70","1.536417605","3.222222222","4.603174603","4.666666667","6.666666667","11.77777778","16.82539683","1.707130672","2.438758103","16.44444444","23.49206349"
"","","GHP2016KMD-AT02","","","","","","","","","GHP2016KMD-AT02-00013","","","","4","34.5980721","2.256494045","1.328781009","11.56","49.05","5.51286602","8.673413277","3","34","29","20","17","30","15","3.605133057","3","47.47338486","5","23.56778797","3","2","21.78761101","6","4","4","9.8","1.2","6.8","11","17.8","63","0.288235294","0.04137931","0.174603175","3.705882353","2.1","2","1.133333333","0.647058824","0.366666667","0.4","0.226666667","53.96825397","61.79775281","56.66666667","2.592456677","10.88888889","19.21568627","12.22222222","21.56862745","7.555555556","13.33333333","2.880507419","5.083248386","19.77777778","34.90196078"
"","","GHP2016KMD-AT02","","","","","","","","","GHP2016KMD-AT02-00014","","","","3","1.3323174","1.959059","0.932132006","17.51","48.58","2.021460056","3.106307983","1","17","12","30","23","30","11","4.414450169","2","69.53977966","2","36.04363936","3","5","9.880689621","6","4","3","2.6","0.6","11.6","3.2","14.8","29","0.152941176","0.05","0.110344828","1.260869565","0.966666667","0.739130435","0.566666667","0.139130435","0.106666667","0.504347826","0.386666667","58.62068966","21.62162162","76.66666667","1.153396459","2.888888889","3.768115942","3.555555556","4.637681159","12.88888889","16.8115942","1.281551622","1.671589072","16.44444444","21.44927536"
"","","GHP2016KMD-AT02","","","","","","","","","GHP2016KMD-AT02-00015","","","","3","0","1.867434025","0.909096003","20.03","49.06","1.489755034","2.485616922","1","22","22","30","30","30","25","3.975518942","2","71.23681641","3","40.82755809","3","5","9.794716835","5","4","6","3.3","1.1","15.6","4.4","20","44","0.15","0.05","0.1","1.466666667","1.466666667","0.733333333","0.733333333","0.146666667","0.146666667","0.52","0.52","50","22","100","1.796412556","3.666666667","3.666666667","4.888888889","4.888888889","17.33333333","17.33333333","1.996013951","1.996013951","22.22222222","22.22222222"
"","","GHP2016KMD-AT02","","","","","","","","","GHP2016KMD-AT02-00016","","","","3","0","1.530148983","0.696784019","20.38","49.06","1.284309983","2.197824001","1","32","59","30","22","30","21","3.290302038","2","73.73239899","2","41.54097024","3","5","12.61419201","5","4","5","3.9","2.1","9.2","6","15.2","91","0.121875","0.03559322","0.065934066","4.136363636","3.033333333","1.454545455","1.066666667","0.272727273","0.2","0.418181818","0.306666667","35.16483516","39.47368421","73.33333333","2.492458214","4.333333333","5.909090909","6.666666667","9.090909091","10.22222222","13.93939394","2.769398016","3.77645184","16.88888889","23.03030303"
"","","GHP2016KMD-AT02","","","","","","","","","GHP2016KMD-AT02-00017","","","","4","4.4599533","2.043844938","1.08860302","16.62","48.69","2.52697897","4.23200798","2","26","20","17","14","30","13","3.247113943","3","66.19962311","3","34.13431916","3","3","13.63859081","5","3","6","3.9","0.9","6.4","4.8","11.2","46","0.15","0.045","0.104347826","3.285714286","1.533333333","1.857142857","0.866666667","0.342857143","0.16","0.457142857","0.213333333","56.52173913","42.85714286","46.66666667","1.63844732","4.333333333","9.285714286","5.333333333","11.42857143","7.111111111","15.23809524","1.820497022","3.901065047","12.44444444","26.66666667"
"","","GHP2016KMD-AT02","","","","","","","","","GHP2016KMD-AT02-00018","","","","3","0","1.683372974","0.880746007","19.32","48.82","0.894465983","2.008846045","1","16","25","30","24","30","23","3.846093893","2","73.31829071","2","39.5739451","3","3","11.4557066","5","4","5","2.5","0.8","15.2","3.3","18.5","41","0.15625","0.032","0.080487805","1.708333333","1.366666667","0.666666667","0.533333333","0.1375","0.11","0.633333333","0.506666667","39.02439024","17.83783784","80","1.305940188","2.777777778","3.472222222","3.666666667","4.583333333","16.88888889","21.11111111","1.451044654","1.813805817","20.55555556","25.69444444"
