"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00001","","","","3","3.357933","1.966858029","0.885268986","19.94","48.86","1.148846984","2.400475979","2.718475103","70.2820282","1","7","9","10","8","10","8","1","2","40.81047892","3","5","13.07103634","5","3","6","1.1","0.2","1","1.3","2.3","16","0.157142857","0.022222222","0.08125","2","1.6","0.875","0.7","0.1625","0.13","0.125","0.1","43.75","56.52173913","80","0.530536226","3.666666667","4.583333333","4.333333333","5.416666667","3.333333333","4.166666667","1.768454087","2.210567608","7.666666667","9.583333333"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00010","","","","3","0","2.004008055","0.950285971","21.28","48.76","2.524902105","4.360349178","4.301476955","71.69063568","3","5","3","7","5","10","3","5","3","43.64232978","5","5","9.616700172","4","3","3","0.7","0.3","4.1","1","5.1","8","0.14","0.1","0.125","1.6","0.8","1","0.5","0.2","0.1","0.82","0.41","62.5","19.60784314","50","0.436423298","2.333333333","4.666666667","3.333333333","6.666666667","13.66666667","27.33333333","1.454744326","2.909488652","17","34"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00100","","","","","","","","","","","","","","","","","0","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00101","","","","1","11.8203259","1.902814031","0.714031994","17.01","49.09","6.014552116","8.40615654","2.518033981","58.93172836","1","5","4","2","2","10","2","1","2","34.65064168","3","1","12.91805172","1","1","1","1.4","0.1","8.6","1.5","10.1","9","0.28","0.025","0.166666667","4.5","0.9","2.5","0.5","0.75","0.15","4.3","0.86","55.55555556","14.85148515","20","0.519759625","4.666666667","23.33333333","5","25","28.66666667","143.3333333","1.732532084","8.66266042","33.66666667","168.3333333"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00102","","","","3","4.9662323","1.986286998","0.833882987","21.49","48.67","2.155785084","3.662062883","3.132919073","68.47614288","1","12","11","10","9","10","9","1","3","44.15450997","3","5","10.86139202","9","1","2","1.8","0.3","11.4","2.1","13.5","23","0.15","0.027272727","0.091304348","2.555555556","2.3","1.333333333","1.2","0.233333333","0.21","1.266666667","1.14","52.17391304","15.55555556","90","0.927244709","6","6.666666667","7","7.777777778","38","42.22222222","3.090815698","3.434239664","45","50"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00103","","","","3","8.4204865","2.127844095","0.885073006","19.7","48.87","1.870226979","3.476883888","2.278430939","66.75669098","1","15","6","10","9","10","9","3","3","40.31102926","3","1","18.95968819","9","1","1","4.1","0.3","7.2","4.4","11.6","21","0.273333333","0.05","0.20952381","2.333333333","2.1","1.666666667","1.5","0.488888889","0.44","0.8","0.72","71.42857143","37.93103448","90","1.773685287","13.66666667","15.18518519","14.66666667","16.2962963","24","26.66666667","5.912284292","6.569204769","38.66666667","42.96296296"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00104","","","","","3.9471302","1.979828","0.815222979","18.11","48.48","1.681998014","3.115017891","3.233273983","68.69996643","","","","3","","10","","","5","37.35561056","","","12.03240776","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00011","","","","3","0","1.709149003","0.690315008","20.44","48.99","1.317554951","2.313307047","2.727282047","69.84263611","1","16","6","7","7","10","7","1","2","41.72280057","3","3","11.16767406","8","1","1","3.5","0.5","5.4","4","9.4","22","0.21875","0.083333333","0.181818182","3.142857143","2.2","2.285714286","1.6","0.571428571","0.4","0.771428571","0.54","72.72727273","42.55319149","70","1.668912023","11.66666667","16.66666667","13.33333333","19.04761905","18","25.71428571","5.563040076","7.947200109","31.33333333","44.76190476"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00012","","","","","","","","","","","","","","","","","0","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00013","","","","3","16.9681778","2.295600891","1.063402057","14.71","49.15","2.051548004","4.25378418","2.872761011","63.09123611","1","25","21","10","10","10","10","1","2","29.92878942","3","3","18.13823891","5","1","1","5.8","1.2","4.8","7","11.8","46","0.232","0.057142857","0.152173913","4.6","4.6","2.5","2.5","0.7","0.7","0.48","0.48","54.34782609","59.3220339","100","2.095015259","19.33333333","19.33333333","23.33333333","23.33333333","16","16","6.983384198","6.983384198","39.33333333","39.33333333"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00014","","","","3","0","1.862715006","0.938013017","19.48","48.59","0.36727801","1.339759946","3.570671082","71.79403687","1","12","10","10","8","10","7","1","6","40.09055361","3","1","12.79548454","8","1","1","4.7","0.8","7.2","5.5","12.7","22","0.391666667","0.08","0.25","2.75","2.2","1.5","1.2","0.6875","0.55","0.9","0.72","54.54545455","43.30708661","80","2.204980449","15.66666667","19.58333333","18.33333333","22.91666667","24","30","7.349934829","9.187418536","42.33333333","52.91666667"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00015","","","","3","0","1.73101902","0.780651987","18.3","49.15","1.98231101","3.483913898","3.21844101","70.61857605","1","6","7","8","8","10","8","1","1","37.23296033","5","7","8.220094681","7","5","8","0.8","0.4","1.8","1.2","3","13","0.133333333","0.057142857","0.092307692","1.625","1.3","0.75","0.6","0.15","0.12","0.225","0.18","46.15384615","40","80","0.446795524","2.666666667","3.333333333","4","5","6","7.5","1.489318413","1.861648016","10","12.5"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00016","","","","3","0","1.852004051","0.851736009","20.95","48.81","0.293994993","1.23329401","3.481976986","72.9256134","1","12","8","8","10","10","8","1","3","42.92153247","5","5","13.24542522","9","2","2","2.2","0.5","5.4","2.7","8.1","20","0.183333333","0.0625","0.135","2","2","1.2","1.2","0.27","0.27","0.54","0.54","60","33.33333333","100","1.158881377","7.333333333","7.333333333","9","9","18","18","3.862937923","3.862937923","27","27"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00017","","","","1","1.1185036","1.921007991","0.86539501","19.35","48.55","0.992300987","2.66978693","3.055886984","71.64151001","1","14","19","10","10","10","10","1","3","39.85581874","3","1","13.11785793","7","2","2","3.4","1","4.4","4.4","8.8","33","0.242857143","0.052631579","0.133333333","3.3","3.3","1.4","1.4","0.44","0.44","0.44","0.44","42.42424242","50","100","1.753656025","11.33333333","11.33333333","14.66666667","14.66666667","14.66666667","14.66666667","5.845520082","5.845520082","29.33333333","29.33333333"
