"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2016NYK-PT02","","","","","","","","","GHP2016NYK-PT02-00001","","","","3","2","9","9","9","7","10","6","3","2","5","7","2","1","0.8","0.3","5","1.1","6.1","18","0.088888889","0.033333333","0.061111111","2.571428571","1.8","1.285714286","0.9","0.157142857","0.11","0.714285714","0.5","50","18.03278689","70","2.666666667","3.80952381","3.666666667","5.238095238","16.66666667","23.80952381","20.33333333","29.04761905"
"","","GHP2016NYK-PT02","","","","","","","","","GHP2016NYK-PT02-00010","","","","2","3","20","11","10","10","10","10","1","3","2","6","2","1","5.2","0.5","4","5.7","9.7","31","0.26","0.045454545","0.183870968","3.1","3.1","2","2","0.57","0.57","0.4","0.4","64.51612903","58.7628866","100","17.33333333","17.33333333","19","19","13.33333333","13.33333333","32.33333333","32.33333333"
"","","GHP2016NYK-PT02","","","","","","","","","GHP2016NYK-PT02-00100","","","","1","1","11","6","10","10","10","10","3","3","3","6","2","2","3.1","0.5","4.7","3.6","8.3","17","0.281818182","0.083333333","0.211764706","1.7","1.7","1.1","1.1","0.36","0.36","0.47","0.47","64.70588235","43.37349398","100","10.33333333","10.33333333","12","12","15.66666667","15.66666667","27.66666667","27.66666667"
"","","GHP2016NYK-PT02","","","","","","","","","GHP2016NYK-PT02-00101","","","","1","3","19","5","10","10","10","10","1","1","3","6","2","2","4","0.6","3.5","4.6","8.1","24","0.210526316","0.12","0.191666667","2.4","2.4","1.9","1.9","0.46","0.46","0.35","0.35","79.16666667","56.79012346","100","13.33333333","13.33333333","15.33333333","15.33333333","11.66666667","11.66666667","27","27"
"","","GHP2016NYK-PT02","","","","","","","","","GHP2016NYK-PT02-00102","","","","1","2","15","16","9","9","10","9","2","3","3","7","1","1","2","0.7","4.6","2.7","7.3","31","0.133333333","0.04375","0.087096774","3.444444444","3.1","1.666666667","1.5","0.3","0.27","0.511111111","0.46","48.38709677","36.98630137","90","6.666666667","7.407407407","9","10","15.33333333","17.03703704","24.33333333","27.03703704"
"","","GHP2016NYK-PT02","","","","","","","","","GHP2016NYK-PT02-00103","","","","2","2","14","20","10","10","10","10","1","4","3","6","2","1","2.6","1","1","3.6","4.6","34","0.185714286","0.05","0.105882353","3.4","3.4","1.4","1.4","0.36","0.36","0.1","0.1","41.17647059","78.26086957","100","8.666666667","8.666666667","12","12","3.333333333","3.333333333","15.33333333","15.33333333"
"","","GHP2016NYK-PT02","","","","","","","","","GHP2016NYK-PT02-00104","","","","1","2","19","26","10","10","10","10","3","3","3","6","2","2","3.3","0.9","2.2","4.2","6.4","45","0.173684211","0.034615385","0.093333333","4.5","4.5","1.9","1.9","0.42","0.42","0.22","0.22","42.22222222","65.625","100","11","11","14","14","7.333333333","7.333333333","21.33333333","21.33333333"
"","","GHP2016NYK-PT02","","","","","","","","","GHP2016NYK-PT02-00105","","","","1","1","18","13","9","9","10","9","1","2","3","6","1","1","3.1","0.6","1.3","3.7","5","31","0.172222222","0.046153846","0.119354839","3.444444444","3.1","2","1.8","0.411111111","0.37","0.144444444","0.13","58.06451613","74","90","10.33333333","11.48148148","12.33333333","13.7037037","4.333333333","4.814814815","16.66666667","18.51851852"
"","","GHP2016NYK-PT02","","","","","","","","","GHP2016NYK-PT02-00106","","","","2","1","18","20","10","9","10","9","2","2","4","7","2","1","2.7","1","3.4","3.7","7.1","38","0.15","0.05","0.097368421","4.222222222","3.8","2","1.8","0.411111111","0.37","0.377777778","0.34","47.36842105","52.11267606","90","9","10","12.33333333","13.7037037","11.33333333","12.59259259","23.66666667","26.2962963"
"","","GHP2016NYK-PT02","","","","","","","","","GHP2016NYK-PT02-00107","","","","2","1","17","9","10","9","10","9","2","2","4","7","2","1","2.1","0.5","2.2","2.6","4.8","26","0.123529412","0.055555556","0.1","2.888888889","2.6","1.888888889","1.7","0.288888889","0.26","0.244444444","0.22","65.38461538","54.16666667","90","7","7.777777778","8.666666667","9.62962963","7.333333333","8.148148148","16","17.77777778"
