"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00001","","","","7","3","25","15","29","24","30","23","5","3","5","6","4","5","4","0.5","4.7","4.5","9.2","40","0.16","0.033333333","0.1125","1.666666667","1.333333333","1.041666667","0.833333333","0.1875","0.15","0.195833333","0.156666667","62.5","48.91304348","80","4.444444444","5.555555556","5","6.25","5.222222222","6.527777778","10.22222222","12.77777778"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00010","","","","7","1","2","11","21","18","30","12","1","5","7","7","3","4","0.3","0.4","9.4","0.7","10.1","13","0.15","0.036363636","0.053846154","0.722222222","0.433333333","0.111111111","0.066666667","0.038888889","0.023333333","0.522222222","0.313333333","15.38461538","6.930693069","60","0.333333333","0.555555556","0.777777778","1.296296296","10.44444444","17.40740741","11.22222222","18.7037037"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00011","","","","5","1","5","5","27","17","30","10","5","5","3","8","3","4","0.8","0.2","10.2","1","11.2","10","0.16","0.04","0.1","0.588235294","0.333333333","0.294117647","0.166666667","0.058823529","0.033333333","0.6","0.34","50","8.928571429","56.66666667","0.888888889","1.568627451","1.111111111","1.960784314","11.33333333","20","12.44444444","21.96078431"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00012","","","","3","1","3","2","12","7","30","3","1","7","3","5","5","6","1.6","0.1","1.3","1.7","3","5","0.533333333","0.05","0.34","0.714285714","0.166666667","0.428571429","0.1","0.242857143","0.056666667","0.185714286","0.043333333","60","56.66666667","23.33333333","1.777777778","7.619047619","1.888888889","8.095238095","1.444444444","6.19047619","3.333333333","14.28571429"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00013","","","","3","1","6","0","5","3","30","2","1","3","5","4","5","6","0.5","0","0.5","0.5","1","6","0.083333333","","0.083333333","2","0.2","2","0.2","0.166666667","0.016666667","0.166666667","0.016666667","100","50","10","0.555555556","5.555555556","0.555555556","5.555555556","0.555555556","5.555555556","1.111111111","11.11111111"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00014","","","","3","1","5","16","30","24","30","14","1","7","7","4","4","6","0.3","0.3","2.2","0.6","2.8","21","0.06","0.01875","0.028571429","0.875","0.7","0.208333333","0.166666667","0.025","0.02","0.091666667","0.073333333","23.80952381","21.42857143","80","0.333333333","0.416666667","0.666666667","0.833333333","2.444444444","3.055555556","3.111111111","3.888888889"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00015","","","","5","1","9","7","17","11","30","9","3","3","5","4","3","6","1.2","0.2","1.4","1.4","2.8","16","0.133333333","0.028571429","0.0875","1.454545455","0.533333333","0.818181818","0.3","0.127272727","0.046666667","0.127272727","0.046666667","56.25","50","36.66666667","1.333333333","3.636363636","1.555555556","4.242424242","1.555555556","4.242424242","3.111111111","8.484848485"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00016","","","","3","1","7","10","30","21","30","13","1","3","5","5","3","5","0.8","0.4","3.1","1.2","4.3","17","0.114285714","0.04","0.070588235","0.80952381","0.566666667","0.333333333","0.233333333","0.057142857","0.04","0.147619048","0.103333333","41.17647059","27.90697674","70","0.888888889","1.26984127","1.333333333","1.904761905","3.444444444","4.920634921","4.777777778","6.825396825"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00017","","","","7","1","1","1","18","10","30","2","1","3","5","6","4","4","0.2","0.1","4.8","0.3","5.1","2","0.2","0.1","0.15","0.2","0.066666667","0.1","0.033333333","0.03","0.01","0.48","0.16","50","5.882352941","33.33333333","0.222222222","0.666666667","0.333333333","1","5.333333333","16","5.666666667","17"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00018","","","","7","1","7","3","14","11","30","9","1","3","5","6","3","4","1.3","0.2","4.1","1.5","5.6","10","0.185714286","0.066666667","0.15","0.909090909","0.333333333","0.636363636","0.233333333","0.136363636","0.05","0.372727273","0.136666667","70","26.78571429","36.66666667","1.444444444","3.939393939","1.666666667","4.545454545","4.555555556","12.42424242","6.222222222","16.96969697"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00019","","","","","","0","0","8","8","30","0","","","","5","3","5","0","0","2.2","0","2.2","0","","","","0","0","0","0","0","0","0.275","0.073333333","","0","26.66666667","0","0","0","0","2.444444444","9.166666667","2.444444444","9.166666667"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00002","","","","3","1","10","11","17","12","30","11","1","3","7","6","5","4","1.7","0.3","4.6","2","6.6","21","0.17","0.027272727","0.095238095","1.75","0.7","0.833333333","0.333333333","0.166666667","0.066666667","0.383333333","0.153333333","47.61904762","30.3030303","40","1.888888889","4.722222222","2.222222222","5.555555556","5.111111111","12.77777778","7.333333333","18.33333333"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00020","","","","5","1","7","7","25","10","30","9","5","3","3","5","5","6","1","0.2","2.1","1.2","3.3","14","0.142857143","0.028571429","0.085714286","1.4","0.466666667","0.7","0.233333333","0.12","0.04","0.21","0.07","50","36.36363636","33.33333333","1.111111111","3.333333333","1.333333333","4","2.333333333","7","3.666666667","11"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00021","","","","5","1","8","4","11","7","30","6","1","3","3","6","4","4","1.1","0.2","3.9","1.3","5.2","12","0.1375","0.05","0.108333333","1.714285714","0.4","1.142857143","0.266666667","0.185714286","0.043333333","0.557142857","0.13","66.66666667","25","23.33333333","1.222222222","5.238095238","1.444444444","6.19047619","4.333333333","18.57142857","5.777777778","24.76190476"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00022","","","","3","1","20","7","17","13","30","13","1","3","5","6","4","4","2.2","0.3","1.6","2.5","4.1","27","0.11","0.042857143","0.092592593","2.076923077","0.9","1.538461538","0.666666667","0.192307692","0.083333333","0.123076923","0.053333333","74.07407407","60.97560976","43.33333333","2.444444444","5.641025641","2.777777778","6.41025641","1.777777778","4.102564103","4.555555556","10.51282051"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00023","","","","5","1","0","3","3","2","30","2","1","7","7","4","5","6","0","0.1","0.1","0.1","0.2","3","","0.033333333","0.033333333","1.5","0.1","0","0","0.05","0.003333333","0.05","0.003333333","0","50","6.666666667","0","0","0.111111111","1.666666667","0.111111111","1.666666667","0.222222222","3.333333333"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00024","","","","3","1","7","0","8","7","30","5","1","1","5","5","3","5","0.8","0","4.4","0.8","5.2","7","0.114285714","","0.114285714","1","0.233333333","1","0.233333333","0.114285714","0.026666667","0.628571429","0.146666667","100","15.38461538","23.33333333","0.888888889","3.80952381","0.888888889","3.80952381","4.888888889","20.95238095","5.777777778","24.76190476"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00025","","","","3","1","10","10","26","22","30","17","1","5","3","8","3","4","1.1","0.3","14.6","1.4","16","20","0.11","0.03","0.07","0.909090909","0.666666667","0.454545455","0.333333333","0.063636364","0.046666667","0.663636364","0.486666667","50","8.75","73.33333333","1.222222222","1.666666667","1.555555556","2.121212121","16.22222222","22.12121212","17.77777778","24.24242424"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00026","","","","3","1","19","8","28","21","30","15","1","7","3","6","3","5","3.5","0.4","2.5","3.9","6.4","27","0.184210526","0.05","0.144444444","1.285714286","0.9","0.904761905","0.633333333","0.185714286","0.13","0.119047619","0.083333333","70.37037037","60.9375","70","3.888888889","5.555555556","4.333333333","6.19047619","2.777777778","3.968253968","7.111111111","10.15873016"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00003","","","","3","1","4","10","28","19","30","13","1","3","5","5","4","4","0.7","0.5","4.5","1.2","5.7","14","0.175","0.05","0.085714286","0.736842105","0.466666667","0.210526316","0.133333333","0.063157895","0.04","0.236842105","0.15","28.57142857","21.05263158","63.33333333","0.777777778","1.228070175","1.333333333","2.105263158","5","7.894736842","6.333333333","10"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00004","","","","5","1","8","8","26","25","30","19","1","7","7","6","3","5","0.9","0.3","7.7","1.2","8.9","16","0.1125","0.0375","0.075","0.64","0.533333333","0.32","0.266666667","0.048","0.04","0.308","0.256666667","50","13.48314607","83.33333333","1","1.2","1.333333333","1.6","8.555555556","10.26666667","9.888888889","11.86666667"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00005","","","","7","1","10","9","13","13","30","11","5","5","7","5","3","5","1.1","0.4","4.7","1.5","6.2","19","0.11","0.044444444","0.078947368","1.461538462","0.633333333","0.769230769","0.333333333","0.115384615","0.05","0.361538462","0.156666667","52.63157895","24.19354839","43.33333333","1.222222222","2.820512821","1.666666667","3.846153846","5.222222222","12.05128205","6.888888889","15.8974359"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00006","","","","5","1","18","8","30","21","30","19","1","5","3","6","3","5","3.8","0.4","4.3","4.2","8.5","26","0.211111111","0.05","0.161538462","1.238095238","0.866666667","0.857142857","0.6","0.2","0.14","0.204761905","0.143333333","69.23076923","49.41176471","70","4.222222222","6.031746032","4.666666667","6.666666667","4.777777778","6.825396825","9.444444444","13.49206349"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00007","","","","7","1","1","0","13","9","30","2","3","7","7","6","4","4","0.1","0","5","0.1","5.1","1","0.1","","0.1","0.111111111","0.033333333","0.111111111","0.033333333","0.011111111","0.003333333","0.555555556","0.166666667","100","1.960784314","30","0.111111111","0.37037037","0.111111111","0.37037037","5.555555556","18.51851852","5.666666667","18.88888889"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00008","","","","5","1","7","6","7","6","30","5","3","3","3","6","4","3","1.1","0.2","5.2","1.3","6.5","13","0.157142857","0.033333333","0.1","2.166666667","0.433333333","1.166666667","0.233333333","0.216666667","0.043333333","0.866666667","0.173333333","53.84615385","20","20","1.222222222","6.111111111","1.444444444","7.222222222","5.777777778","28.88888889","7.222222222","36.11111111"
"","","GHP2016OHW-ST01","","","","","","","","","GHP2016OHW-ST01-00009","","","","5","1","18","14","26","18","30","18","3","3","3","7","3","5","3","0.7","2.7","3.7","6.4","32","0.166666667","0.05","0.115625","1.777777778","1.066666667","1","0.6","0.205555556","0.123333333","0.15","0.09","56.25","57.8125","60","3.333333333","5.555555556","4.111111111","6.851851852","3","5","7.111111111","11.85185185"
