"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root secondary defects estimating 1-18| CO_331:0000810","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00001","","","","","","","","","","","3","3","10","10","5","5","","","","","4","","6","","3","3","","8","3","1","","","16.5","","","","","","","","","","3.3","","","","","","110","","","","","","1.65","50","","","55","",""
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00010","","","","0","2.3458154","0.6704068","50.62","19.38","2.5759277","0","5","5","10","10","10","10","18","3","2","8","5","56.9057922","7","38.28526274","3","3","5.0789871","5","1","1","7","0.2","10","7.2","17.2","21","0.388888889","0.066666667","0.342857143","2.1","1.8","0.72","1","85.71428571","41.86046512","2.756538917","23.33333333","24","33.33333333","9.188463058","57.33333333","2.1","1.8","0.72","1","100","23.33333333","24","33.33333333","9.188463058","57.33333333"
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00011","","","","0","2.0056186","0.4480371","50.34","22.59","1.90627","0","5","5","10","10","10","10","19","3","5","3","5","62.783905","5","44.87485101","3","3","4.3751431","7","3","1","5.8","0.2","13.5","6","19.5","22","0.305263158","0.066666667","0.272727273","2.2","1.9","0.6","1.35","86.36363636","30.76923077","2.692491061","19.33333333","20","45","8.974970203","65","2.2","1.9","0.6","1.35","100","19.33333333","20","45","8.974970203","65"
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00012","","","","","","","","","","","5","3","10","10","4","2","","","","","5","","7","","3","7","","6","5","3","","","1","","","","","","","","","","0.25","","","","","","8.333333333","","","","","","0.1","40","","","3.333333333","",""
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00013","","","","0","2.6971135","0.7954054","49.74","20.16","2.0755024","0","5","5","10","10","9","9","20","23","3","3","5","55.1676865","8","40.53075995","3","5","3.7951193","6","1","3","3.3","1.2","45","4.5","49.5","43","0.165","0.052173913","0.104651163","4.777777778","2.222222222","0.5","5","46.51162791","9.090909091","1.823884198","12.22222222","16.66666667","166.6666667","6.755126659","183.3333333","4.3","2","0.45","4.5","90","11","15","150","6.079613993","165"
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00014","","","","0","2.4458077","0.631959","50.32","17.15","3.2421646","0","5","5","10","10","10","10","31","6","3","3","5","54.8501358","7","34.08187599","3","3","6.8320255","7","1","1","13.7","0.5","16.5","14.2","30.7","37","0.441935484","0.083333333","0.383783784","3.7","3.1","1.42","1.65","83.78378378","46.25407166","4.839626391","45.66666667","47.33333333","55","16.13208797","102.3333333","3.7","3.1","1.42","1.65","100","45.66666667","47.33333333","55","16.13208797","102.3333333"
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00015","","","","0","2.2306721","0.6346607","50.42","21.14","2.7820826","0","5","3","10","10","10","10","37","11","3","5","5","59.9842339","7","41.92780643","3","5","4.618576","6","1","4","8.3","0.5","14.5","8.8","23.3","48","0.224324324","0.045454545","0.183333333","4.8","3.7","0.88","1.45","77.08333333","37.76824034","3.689646965","27.66666667","29.33333333","48.33333333","12.29882322","77.66666667","4.8","3.7","0.88","1.45","100","27.66666667","29.33333333","48.33333333","12.29882322","77.66666667"
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00016","","","","0","2.2686074","0.5209665","50.61","21.02","2.5864382","0","3","1","10","10","8","8","26","13","4","3","5","58.3080482","6","41.53329382","3","5","2.3852963","6","1","4","3.2","0.5","17.5","3.7","21.2","39","0.123076923","0.038461538","0.094871795","4.875","3.25","0.4625","2.1875","66.66666667","17.45283019","1.536731871","13.33333333","15.41666667","72.91666667","6.403049463","88.33333333","3.9","2.6","0.37","1.75","80","10.66666667","12.33333333","58.33333333","5.122439571","70.66666667"
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00017","","","","0","1.8933144","0.4079218","50.26","20.8","3.8537302","0","3","5","10","10","10","10","16","","3","7","6","59.3277855","7","41.38479904","3","3","2.0622458","9","3","1","7","","4.5","","","","0.4375","","","","1.6","","0.45","","","","23.33333333","","15","","","","1.6","","0.45","100","23.33333333","","15","",""
"","","GHP2017FMS-PT01","","","","","","","","","GHP2017FMS-PT01-00018","","","","4.3415279","2.2455268","0.28371","50.31","19.49","3.7489405","0","5","5","10","10","9","9","18","5","6","7","6","56.5466003","5","38.73981316","3","3","3.2997246","6","3","1","6.1","0.5","14.5","6.6","21.1","23","0.338888889","0.1","0.286956522","2.555555556","2","0.733333333","1.611111111","78.26086957","31.27962085","2.556827668","22.59259259","24.44444444","53.7037037","9.469732105","78.14814815","2.3","1.8","0.66","1.45","90","20.33333333","22","48.33333333","8.522758895","70.33333333"
