"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root secondary defects estimating 1-18| CO_331:0000810","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2017KMD-ST01","","","","","","","","","GHP2017KMD-ST01-00001","","","","0.8721256","2.294112","1.543225","1.565722","3.960139","3","1","30","30","21","13","12","29","3","7","6.01438","4","66.6118469","7","30.51317614","3","5","11.3456621","6","3","4","1.8","0.8","30.5","2.6","33.1","41","0.15","0.027586207","0.063414634","1.952380952","0.571428571","0.123809524","1.452380952","29.26829268","7.854984894","0.79334258","2.857142857","4.126984127","48.41269841","1.259273936","52.53968254","1.366666667","0.4","0.086666667","1.016666667","70","2","2.888888889","33.88888889","0.881491755","36.77777778"
"","","GHP2017KMD-ST01","","","","","","","","","GHP2017KMD-ST01-00010","","","","20.4266701","2.590039","1.517184","3.1786649","5.8392282","5","1","30","29","12","12","13","15","7","5","5.7142372","5","57.7035103","6","25.66600398","4","5","15.0982599","4","6","7","1.8","0.5","13.5","2.3","15.8","28","0.138461538","0.033333333","0.082142857","2.333333333","1.083333333","0.191666667","1.125","46.42857143","14.55696203","0.590318092","5","6.388888889","37.5","1.639772477","43.88888889","0.933333333","0.433333333","0.076666667","0.45","40","2","2.555555556","15","0.655908991","17.55555556"
"","","GHP2017KMD-ST01","","","","","","","","","GHP2017KMD-ST01-00011","","","","0","1.496188","0.793532","1.6525919","3.6027839","3","1","30","29","20","20","41","18","3","5","2.963341","4","73.7263184","7","34.27331887","4","5","12.741888","5","4","5","7.8","0.8","10","8.6","18.6","59","0.190243902","0.044444444","0.145762712","2.95","2.05","0.43","0.5","69.49152542","46.23655914","2.947505423","13","14.33333333","16.66666667","4.912509038","31","1.966666667","1.366666667","0.286666667","0.333333333","66.66666667","8.666666667","9.555555556","11.11111111","3.275006025","20.66666667"
"","","GHP2017KMD-ST01","","","","","","","","","GHP2017KMD-ST01-00012","","","","3.0027428","1.638152","0.880144","1.095624","2.6650889","3","1","30","25","12","10","13","5","6","5","2.992672","4","70.6452332","5","27.9245283","3","5","15.6706467","6","5","4","2","0.2","12.5","2.2","14.7","18","0.153846154","0.04","0.122222222","1.5","1.083333333","0.183333333","1.041666667","72.22222222","14.96598639","0.614339623","5.555555556","6.111111111","34.72222222","1.706498952","40.83333333","0.6","0.433333333","0.073333333","0.416666667","40","2.222222222","2.444444444","13.88888889","0.682599581","16.33333333"
"","","GHP2017KMD-ST01","","","","","","","","","GHP2017KMD-ST01-00013","","","","38.7876053","2.56669","1.795187","3.8964679","6.8438282","5","5","30","30","26","26","86","60","7","6","5.088583","5","46.4171143","7","17.01285856","4","3","25.5706863","5","3","5","22.5","2.7","27.5","25.2","52.7","146","0.261627907","0.045","0.17260274","5.615384615","3.307692308","0.969230769","1.057692308","58.90410959","47.81783681","4.287240357","28.84615385","32.30769231","35.25641026","5.496461996","67.56410256","4.866666667","2.866666667","0.84","0.916666667","86.66666667","25","28","30.55555556","4.763600397","58.55555556"
"","","GHP2017KMD-ST01","","","","","","","","","GHP2017KMD-ST01-00014","","","","33.0028839","2.926939","2.1459579","4.0945621","6.4491372","5","1","30","28","12","12","13","17","8","4","7.6192169","5","52.6577606","6","21.77610759","4","5","12.4448853","6","5","4","1.5","0.6","16","2.1","18.1","30","0.115384615","0.035294118","0.07","2.5","1.083333333","0.175","1.333333333","43.33333333","11.60220994","0.457298259","4.166666667","5.833333333","44.44444444","1.270272943","50.27777778","1","0.433333333","0.07","0.533333333","40","1.666666667","2.333333333","17.77777778","0.508109177","20.11111111"
"","","GHP2017KMD-ST01","","","","","","","","","GHP2017KMD-ST01-00015","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017KMD-ST01","","","","","","","","","GHP2017KMD-ST01-00016","","","","0","1.531534","0.759996","0.168375","1.784274","3","1","30","30","17","17","51","16","5","3","3.845381","4","72.7550201","5","36.37452585","4","3","17.2527637","7","3","3","21","1","31.5","22","53.5","67","0.411764706","0.0625","0.328358209","3.941176471","3","1.294117647","1.852941176","76.11940299","41.12149533","8.002395687","41.17647059","43.1372549","61.76470588","15.69097194","104.9019608","2.233333333","1.7","0.733333333","1.05","56.66666667","23.33333333","24.44444444","35","8.891550763","59.44444444"
"","","GHP2017KMD-ST01","","","","","","","","","GHP2017KMD-ST01-00017","","","","0","1.770014","1.221315","1.094241","3.2156129","3","1","30","24","15","15","18","16","4","5","4.0196719","4","68.4064102","7","29.53367876","4","3","16.1878014","5","5","3","4","0.6","12.5","4.6","17.1","34","0.222222222","0.0375","0.135294118","2.266666667","1.2","0.306666667","0.833333333","52.94117647","26.9005848","1.358549223","8.888888889","10.22222222","27.77777778","3.018998273","38","1.133333333","0.6","0.153333333","0.416666667","50","4.444444444","5.111111111","13.88888889","1.509499137","19"
"","","GHP2017KMD-ST01","","","","","","","","","GHP2017KMD-ST01-00018","","","","0","1.706351","0.897663","0.598625","2.1576841","3","1","30","30","17","17","25","20","6","5","3.1519761","4","71.0310745","5","29.87477639","4","3","14.5096836","6","3","4","4.8","0.9","16","5.7","21.7","45","0.192","0.045","0.126666667","2.647058824","1.470588235","0.335294118","0.941176471","55.55555556","26.26728111","1.702862254","9.411764706","11.17647059","31.37254902","3.338945597","42.54901961","1.5","0.833333333","0.19","0.533333333","56.66666667","5.333333333","6.333333333","17.77777778","1.892069171","24.11111111"
