"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00001","","","","5","18.19","1.5","2.13","0","5","61","52","29","28","30","28","1","61.69","1","3","15.05","3","7","1","13.5","2.54","5.84","16.04","21.88","113","0.221311475","0.048846154","0.141946903","4.035714286","3.766666667","2.178571429","2.033333333","0.572857143","0.534666667","0.208571429","0.194666667","53.98230088","73.30895795","93.33333333","15","16.07142857","17.82222222","19.0952381","6.488888889","6.952380952","24.31111111","26.04761905"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00010","","","","3","22.41","0.88","1.63","9.97","3","65","60","30","25","30","25","1","63.43","5","1","13.95","1","8","1","16.8","1.3","11.52","18.1","29.62","125","0.258461538","0.021666667","0.1448","5","4.166666667","2.6","2.166666667","0.724","0.603333333","0.4608","0.384","52","61.10735989","83.33333333","18.66666667","22.4","20.11111111","24.13333333","12.8","15.36","32.91111111","39.49333333"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00011","","","","3","18.64","1.89","3.24","24.81","5","45","30","29","24","30","23","1","53.04","4","1","16.45","1","8","1","18.88","1.94","11.87","20.82","32.69","75","0.419555556","0.064666667","0.2776","3.125","2.5","1.875","1.5","0.8675","0.694","0.494583333","0.395666667","60","63.68920159","80","20.97777778","26.22222222","23.13333333","28.91666667","13.18888889","16.48611111","36.32222222","45.40277778"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00012","","","","1","16.31","2.82","5.44","18.04","5","56","37","27","18","30","18","1","45.07","6","1","18.59","1","7","1","15.82","1.76","8.76","17.58","26.34","93","0.2825","0.047567568","0.189032258","5.166666667","3.1","3.111111111","1.866666667","0.976666667","0.586","0.486666667","0.292","60.21505376","66.74259681","60","17.57777778","29.2962963","19.53333333","32.55555556","9.733333333","16.22222222","29.26666667","48.77777778"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00013","","","","1","17.11","0.6","1.9","18.21","3","33","29","30","30","30","17","3","60.73","2","3","15.11","5","6","1","3.76","1.26","12.48","5.02","17.5","62","0.113939394","0.043448276","0.080967742","2.066666667","2.066666667","1.1","1.1","0.167333333","0.167333333","0.416","0.416","53.22580645","28.68571429","100","4.177777778","4.177777778","5.577777778","5.577777778","13.86666667","13.86666667","19.44444444","19.44444444"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00014","","","","1","14.28","2.65","6.3","14.54","5","96","31","30","28","30","26","1","40.8","6","5","23.69","1","8","1","30.2","1.88","24.86","32.08","56.94","127","0.314583333","0.060645161","0.252598425","4.535714286","4.233333333","3.428571429","3.2","1.145714286","1.069333333","0.887857143","0.828666667","75.59055118","56.34000702","93.33333333","33.55555556","35.95238095","35.64444444","38.19047619","27.62222222","29.5952381","63.26666667","67.78571429"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00015","","","","3","21.22","0.52","1.39","3.72","3","59","31","23","23","30","20","2","61.44","5","1","15.62","1","7","2","20.02","1.66","16.33","21.68","38.01","90","0.339322034","0.053548387","0.240888889","3.913043478","3","2.565217391","1.966666667","0.942608696","0.722666667","0.71","0.544333333","65.55555556","57.03762168","76.66666667","22.24444444","29.01449275","24.08888889","31.42028986","18.14444444","23.66666667","42.23333333","55.08695652"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00016","","","","3","16.86","2.91","5.64","18.53","5","80","32","30","25","30","25","1","45.49","5","3","19.3","1","8","1","24.73","1.78","14.9","26.51","41.41","112","0.309125","0.055625","0.236696429","4.48","3.733333333","3.2","2.666666667","1.0604","0.883666667","0.596","0.496666667","71.42857143","64.01835305","83.33333333","27.47777778","32.97333333","29.45555556","35.34666667","16.55555556","19.86666667","46.01111111","55.21333333"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00017","","","","1","21.96","1.2","2.81","14.63","5","52","31","24","22","30","22","1","54.65","1","3","16.69","1","8","1","17.08","1.72","24.02","18.8","42.82","83","0.328461538","0.055483871","0.226506024","3.772727273","2.766666667","2.363636364","1.733333333","0.854545455","0.626666667","1.091818182","0.800666667","62.65060241","43.90471742","73.33333333","18.97777778","25.87878788","20.88888889","28.48484848","26.68888889","36.39393939","47.57777778","64.87878788"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00018","","","","1","18.31","1.59","3.34","9.46","3","38","17","29","19","30","17","1","50.66","1","1","19.99","1","8","1","15.82","1.1","12.78","16.92","29.7","55","0.416315789","0.064705882","0.307636364","2.894736842","1.833333333","2","1.266666667","0.890526316","0.564","0.672631579","0.426","69.09090909","56.96969697","63.33333333","17.57777778","27.75438596","18.8","29.68421053","14.2","22.42105263","33","52.10526316"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00019","","","","1","19","1.57","2.47","0","3","41","44","26","21","30","20","1","61.1","5","1","15.53","1","8","1","15.24","2.76","14.86","18","32.86","85","0.371707317","0.062727273","0.211764706","4.047619048","2.833333333","1.952380952","1.366666667","0.857142857","0.6","0.707619048","0.495333333","48.23529412","54.7778454","70","16.93333333","24.19047619","20","28.57142857","16.51111111","23.58730159","36.51111111","52.15873016"
