"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00001","","","","1","2.5028877","1.94","0.95","14.33","50.34","0.19","3.4","1.48","5.07","14.08","1","0","12","30","24","30","6","5","5","2.59","1","1","60.69","62.77","3","28.46642829","3","7","15.51","11.96","5","1","2","0","0.78","19.4","0.78","20.18","12","","0.065","0.065","0.5","0.4","0","0","0.0325","0.026","0.808333333","0.646666667","0","3.865213082","80","0.222038141","0","0","0.866666667","1.083333333","21.55555556","26.94444444","0.246709045","0.308386306","22.42222222","28.02777778"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00010","","","","3","13.4083595","2.01","0.93","14.1","50.39","1.56","4.87","4.86","7.03","21.18","3","22","46","30","25","30","25","5","6","3.05","3","3","47.08","61.86","2","27.98174241","3","1","20.5","8.68","9","1","1","14.94","7.54","43.06","22.48","65.54","68","0.679090909","0.163913043","0.330588235","2.72","2.266666667","0.88","0.733333333","0.8992","0.749333333","1.7224","1.435333333","32.35294118","34.29966433","83.33333333","6.290295694","16.6","19.92","24.97777778","29.97333333","47.84444444","57.41333333","6.989217437","8.387060925","72.82222222","87.38666667"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00011","","","","3","0","1.63","0.85","15.34","50.21","1.71","2.76","1.58","4.55","3.19","2","20","24","30","20","30","20","5","5","2.24","3","3","63.21","69.04","2","30.55168293","3","3","13.89","10.87","9","1","2","6.89","2.66","23.64","9.55","33.19","44","0.3445","0.110833333","0.217045455","2.2","1.466666667","1","0.666666667","0.4775","0.318333333","1.182","0.788","45.45454545","28.77372703","66.66666667","2.91768572","7.655555556","11.48333333","10.61111111","15.91666667","26.26666667","39.4","3.241873022","4.862809533","36.87777778","55.31666667"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00012","","","","2","0","1.6","0.8","15.96","50.15","1.18","1.57","2.27","2.71","23.66","2","10","24","30","20","30","20","3","6","2.46","2","2","56.58","72.98","2","31.82452642","3","2","16.4","7.85","8","1","1","4.48","2.34","20.62","6.82","27.44","34","0.448","0.0975","0.200588235","1.7","1.133333333","0.5","0.333333333","0.341","0.227333333","1.031","0.687333333","29.41176471","24.85422741","66.66666667","2.170432702","4.977777778","7.466666667","7.577777778","11.36666667","22.91111111","34.36666667","2.411591891","3.617387836","30.48888889","45.73333333"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00013","","","","2","0","1.67","0.88","17.14","50.79","0.66","1.35","1.55","2.57","16.53","2","25","17","30","27","30","27","5","5","3.1","3","3","63.73","71.92","2","33.74680055","3","2","14.49","9.67","9","2","2","13.34","7.4","17.06","20.74","37.8","42","0.5336","0.435294118","0.493809524","1.555555556","1.4","0.925925926","0.833333333","0.768148148","0.691333333","0.631851852","0.568666667","59.52380952","54.86772487","90","6.999086434","14.82222222","16.4691358","23.04444444","25.60493827","18.95555556","21.0617284","7.776762705","8.64084745","42","46.66666667"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00014","","","","1","13.4486008","2.64","1.39","12.48","50.38","1.69","1.44","4.65","3.09","21.52","1","25","49","30","30","30","30","6","7","6.41","1","1","45.01","62.73","2","24.77173482","3","3","20.62","13.74","9","2","2","8.43","4.56","15.6","12.99","28.59","74","0.3372","0.093061224","0.175540541","2.466666667","2.466666667","0.833333333","0.833333333","0.433","0.433","0.52","0.52","33.78378378","45.43546695","100","3.217848353","9.366666667","9.366666667","14.43333333","14.43333333","17.33333333","17.33333333","3.575387058","3.575387058","31.76666667","31.76666667"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00015","","","","2","0","1.64","0.81","15.03","50.53","0.92","4.68","2.3","6.79","8.46","2","37","43","30","26","30","26","5","7","1.72","3","3","57","67.06","2","29.74470612","4","3","15.18","10.22","6","1","1","11.74","3.02","14.2","14.76","28.96","80","0.317297297","0.070232558","0.1845","3.076923077","2.666666667","1.423076923","1.233333333","0.567692308","0.492","0.546153846","0.473333333","46.25","50.96685083","86.66666667","4.390318623","13.04444444","15.05128205","16.4","18.92307692","15.77777778","18.20512821","4.878131803","5.628613619","32.17777778","37.12820513"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00016","","","","1","2.8318405","1.99","0.97","14.97","50.43","1.03","2.01","2.08","3.32","12.44","1","0","43","30","30","30","25","5","5","3.44","1","1","57.76","65.58","3","29.68471148","2","5","15.61","11.94","6","2","3","0","3.06","14.87","3.06","17.93","43","","0.071162791","0.071162791","1.433333333","1.433333333","0","0","0.102","0.102","0.495666667","0.495666667","0","17.06636921","100","0.908352171","0","0","3.4","3.4","16.52222222","16.52222222","1.00928019","1.00928019","19.92222222","19.92222222"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00017","","","","2","32.3241806","2.54","1.44","12.28","50.38","1.87","3.65","5.85","6.37","15.78","2","22","29","30","21","30","21","7","6","3.65","1","1","44.01","54.03","3","24.37475189","4","3","24.06","19.16","7","1","2","6.92","2.68","8.04","9.6","17.64","51","0.314545455","0.092413793","0.188235294","2.428571429","1.7","1.047619048","0.733333333","0.457142857","0.32","0.382857143","0.268","43.1372549","54.42176871","70","2.339976181","7.688888889","10.98412698","10.66666667","15.23809524","8.933333333","12.76190476","2.599973534","3.714247906","19.6","28"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00018","","","","2","0","1.75","0.97","15.92","50.35","0.88","1.66","1.98","3.16","21.92","2","28","24","30","30","30","30","5","6","3.2","1","1","55.12","71.12","2","31.61866931","3","3","17.29","9.62","9","1","2","8.19","2.62","14.76","10.81","25.57","52","0.2925","0.109166667","0.207884615","1.733333333","1.733333333","0.933333333","0.933333333","0.360333333","0.360333333","0.492","0.492","53.84615385","42.27610481","100","3.417978153","9.1","9.1","12.01111111","12.01111111","16.4","16.4","3.797753503","3.797753503","28.41111111","28.41111111"
