"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017NYK-PT01","","","","","","","","","GHP2017NYK-PT01-00001","","","","13.7837658","1.843622","0.910246","0.232867","1.2907701","9","1","10","10","10","10","29","14","8","8","3.1316991","7","64.0776596","32.28628231","1","5","19.5012474","7","1","1","6.4","0.7","0.92","7.1","8.02","43","0.220689655","0.05","0.165116279","4.3","4.3","2.9","2.9","0.71","0.71","0.092","0.092","67.44186047","88.5286783","100","2.292326044","21.33333333","21.33333333","23.66666667","23.66666667","3.066666667","3.066666667","7.641086813","7.641086813","26.73333333","26.73333333"
"","","GHP2017NYK-PT01","","","","","","","","","GHP2017NYK-PT01-00010","","","","","","","","","3","1","10","10","9","9","0","16","","","","3","","","5","7","","5","1","3","0","0.62","0.8","0.62","1.42","16","","0.03875","0.03875","1.777777778","1.6","0","0","0.068888889","0.062","0.088888889","0.08","0","43.66197183","90","","0","0","2.066666667","2.296296296","2.666666667","2.962962963","","","4.733333333","5.259259259"
"","","GHP2017NYK-PT01","","","","","","","","","GHP2017NYK-PT01-00011","","","","28.8731003","2.00372","1.119411","5.6475062","7.5395312","1","1","10","9","8","8","4","4","8","5","3.4514811","1","52.7627563","23.04950495","1","7","14.8002577","6","3","3","0.82","0.18","0.9","1","1.9","8","0.205","0.045","0.125","1","0.8","0.5","0.4","0.125","0.1","0.1125","0.09","50","52.63157895","80","0.23049505","2.733333333","3.416666667","3.333333333","4.166666667","3","3.75","0.768316832","0.96039604","6.333333333","7.916666667"
"","","GHP2017NYK-PT01","","","","","","","","","GHP2017NYK-PT01-00012","","","","9.9173908","2.280827","0.935973","0.820914","1.7517689","3","3","10","10","10","9","19","6","6","8","3.1316171","5","58.4353828","32.60610869","3","5","20.2093449","8","1","2","3.94","0.46","0.88","4.4","5.28","25","0.207368421","0.076666667","0.176","2.5","2.5","1.9","1.9","0.44","0.44","0.088","0.088","76","83.33333333","100","1.434668782","13.13333333","13.13333333","14.66666667","14.66666667","2.933333333","2.933333333","4.782229275","4.782229275","17.6","17.6"
"","","GHP2017NYK-PT01","","","","","","","","","GHP2017NYK-PT01-00013","","","","15.8769722","1.634064","0.803145","0.88639","1.937917","3","1","10","10","10","10","31","19","6","9","3.5257239","5","68.3446503","36.91208573","1","3","16.3974762","9","1","1","9.1","1.06","3.48","10.16","13.64","50","0.293548387","0.055789474","0.2032","5","5","3.1","3.1","1.016","1.016","0.348","0.348","62","74.48680352","100","3.75026791","30.33333333","30.33333333","33.86666667","33.86666667","11.6","11.6","12.50089303","12.50089303","45.46666667","45.46666667"
"","","GHP2017NYK-PT01","","","","","","","","","GHP2017NYK-PT01-00014","","","","1.8290291","1.762529","0.790368","0.963867","1.866557","5","1","10","9","8","8","30","20","5","7","2.613014","3","66.0877228","36.77841698","3","3","17.4001389","8","1","1","5.48","0.68","1.08","6.16","7.24","50","0.182666667","0.034","0.1232","6.25","5","3.75","3","0.77","0.616","0.135","0.108","60","85.08287293","80","2.265550486","18.26666667","22.83333333","20.53333333","25.66666667","3.6","4.5","7.551834953","9.439793692","24.13333333","30.16666667"
"","","GHP2017NYK-PT01","","","","","","","","","GHP2017NYK-PT01-00015","","","","0","1.883055","1.0307879","0.459105","1.452973","3","1","10","10","10","10","36","20","4","4","3.6354101","7","71.2425461","37.89473684","3","1","12.9023857","8","1","1","9.6","1.12","2.8","10.72","13.52","56","0.266666667","0.056","0.191428571","5.6","5.6","3.6","3.6","1.072","1.072","0.28","0.28","64.28571429","79.28994083","100","4.062315789","32","32","35.73333333","35.73333333","9.333333333","9.333333333","13.54105263","13.54105263","45.06666667","45.06666667"
"","","GHP2017NYK-PT01","","","","","","","","","GHP2017NYK-PT01-00016","","","","8.4423542","1.8021491","0.918661","0.10772","0.610146","3","1","10","10","10","10","21","21","7","7","3.2829859","3","63.8225937","33.97828233","1","3","19.8699932","7","2","2","3.28","1.5","0.46","4.78","5.24","42","0.156190476","0.071428571","0.113809524","4.2","4.2","2.1","2.1","0.478","0.478","0.046","0.046","50","91.22137405","100","1.624161895","10.93333333","10.93333333","15.93333333","15.93333333","1.533333333","1.533333333","5.413872985","5.413872985","17.46666667","17.46666667"
"","","GHP2017NYK-PT01","","","","","","","","","GHP2017NYK-PT01-00017","","","","41.4107018","1.866251","0.785461","0.209033","1.069401","3","1","10","10","9","9","21","9","9","9","3.6026211","3","69.2310638","37.91732909","3","3","14.1934614","8","1","1","5.32","0.26","0.3","5.58","5.88","30","0.253333333","0.028888889","0.186","3.333333333","3","2.333333333","2.1","0.62","0.558","0.033333333","0.03","70","94.89795918","90","2.115786963","17.73333333","19.7037037","18.6","20.66666667","1","1.111111111","7.052623211","7.836248012","19.6","21.77777778"
"","","GHP2017NYK-PT01","","","","","","","","","GHP2017NYK-PT01-00018","","","","","","","","","3","1","10","8","7","6","9","7","","","","5","","","1","3","","7","1","1","3.22","0.58","1.38","3.8","5.18","16","0.357777778","0.082857143","0.2375","2.285714286","1.6","1.285714286","0.9","0.542857143","0.38","0.197142857","0.138","56.25","73.35907336","70","","10.73333333","15.33333333","12.66666667","18.0952381","4.6","6.571428571","","","17.26666667","24.66666667"
