"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00101","","","","","","","","","","","","","","","","12","10","7","","","","2","","","","","4","","","2.75","","","","","","","","","","","","","0.392857143","0.229166667","","","58.33333333","","","","","","7.638888889","13.0952381","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00102","","","","","","","","","","","","","","","","12","12","10","2","1","5","1","1","1","3","4","1","0.1","0.1","5.6","0.2","5.8","6","0.1","0.02","0.033333333","0.6","0.5","0.1","0.083333333","0.02","0.016666667","0.56","0.466666667","16.66666667","3.448275862","83.33333333","","0.277777778","0.333333333","0.555555556","0.666666667","15.55555556","18.66666667","","","16.11111111","19.33333333"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00103","","","","2.82","71.06","0","1.48","0.82","17.33","48.84","1.85","3.29","8.04","3","35.48321048","12","12","10","5","4","5","1","1","1","2","3","2","0.55","0.1","5.9","0.65","6.55","9","0.1375","0.02","0.072222222","0.9","0.75","0.4","0.333333333","0.065","0.054166667","0.59","0.491666667","44.44444444","9.923664122","83.33333333","0.230640868","1.527777778","1.833333333","1.805555556","2.166666667","16.38888889","19.66666667","0.640669078","0.768802894","18.19444444","21.83333333"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00104","","","","4.07","67.57","0","1.72","0.9","18.05","48.42","2","3.23","11.22","3","37.2779843","12","12","8","4","5","6","1","1","1","3","2","2","0.85","0.26","3.55","1.11","4.66","11","0.17","0.043333333","0.100909091","1.375","0.916666667","0.625","0.416666667","0.13875","0.0925","0.44375","0.295833333","45.45454545","23.81974249","66.66666667","0.413785626","2.361111111","3.541666667","3.083333333","4.625","9.861111111","14.79166667","1.149404516","1.724106774","12.94444444","19.41666667"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00105","","","","","","","","","","","","","","","","12","12","8","0","0","0","","","","","","4","0","0","1.15","0","1.15","0","","","","0","0","0","0","0","0","0.14375","0.095833333","","0","66.66666667","","0","0","0","0","3.194444444","4.791666667","","","3.194444444","4.791666667"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00106","","","","","","","","","","","","","","","","12","12","10","2","0","5","2","1","1","6","9","5","0","0.08","3.1","0.08","3.18","5","","0.016","0.016","0.5","0.416666667","0","0","0.008","0.006666667","0.31","0.258333333","0","2.51572327","83.33333333","","0","0","0.222222222","0.266666667","8.611111111","10.33333333","","","8.833333333","10.6"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00107","","","","5.3","59.14","6.96171","2.35","1.32","14.28","48.7","2.23","3.48","15.16","2","29.32238193","12","12","10","10","20","25","1","2","1","3","2","1","4.02","1.01","8.4","5.03","13.43","45","0.201","0.0404","0.111777778","4.5","3.75","2","1.666666667","0.503","0.419166667","0.84","0.7","44.44444444","37.4534624","83.33333333","1.474915811","11.16666667","13.4","13.97222222","16.76666667","23.33333333","28","4.096988364","4.916386037","37.30555556","44.76666667"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00108","","","","3.83","64.13","0","1.9","1.03","15.65","48.98","2.36","4.12","13.99","3","31.95181707","12","12","11","9","10","49","1","1","1","4","4","2","1.2","1.35","4.55","2.55","7.1","59","0.12","0.02755102","0.043220339","5.363636364","4.916666667","0.909090909","0.833333333","0.231818182","0.2125","0.413636364","0.379166667","16.94915254","35.91549296","91.66666667","0.814771335","3.333333333","3.636363636","7.083333333","7.727272727","12.63888889","13.78787879","2.263253709","2.469004046","19.72222222","21.51515152"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00109","","","","4.67","65.76","8.0106735","1.82","1.13","15.69","48.69","1.98","3.88","13.87","2","32.22427603","12","12","7","4","7","16","1","1","1","3","6","2","0.68","0.45","5.05","1.13","6.18","23","0.097142857","0.028125","0.049130435","3.285714286","1.916666667","1","0.583333333","0.161428571","0.094166667","0.721428571","0.420833333","30.43478261","18.28478964","58.33333333","0.364134319","1.888888889","3.238095238","3.138888889","5.380952381","14.02777778","24.04761905","1.01148422","1.733972948","17.16666667","29.42857143"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00110","","","","3.66","64.85","0","1.66","1.06","14.56","48.54","3.21","5.14","11.52","3","29.99587969","12","11","6","4","3","4","1","1","1","4","2","1","0.9","0.2","6.55","1.1","7.65","7","0.3","0.05","0.157142857","1.166666667","0.583333333","0.5","0.25","0.183333333","0.091666667","1.091666667","0.545833333","42.85714286","14.37908497","50","0.329954677","2.5","5","3.055555556","6.111111111","18.19444444","36.38888889","0.916540768","1.833081536","21.25","42.5"
