"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Harvest index computing percent|CO_331:0000302","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield tons per ha|CO_331:0000809","Storage root size estimating 1-9|CO_331:0000184","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018BWK-AT02","","","","","","","","","GHP2018BWK-AT02-00001","","","","3","33.84444444","20.11111111","40.57780696","1","52","85","27","30","27","3","5","37.95620438","10.84444444","3","137","5.074074074","12.36","9","1","9.76","2.6","18.1","13.73333333","30.46","0.187692308","0.030588235","0.090218978","4.566666667","1.925925926","1.733333333","0.457777778","0.412","0.67037037","0.603333333","90","12.04938272","15.25925926","22.34567901","37.60493827"
"","","GHP2018BWK-AT02","","","","","","","","","GHP2018BWK-AT02-00010","","","","5","24.73333333","9.044444444","63.43216532","1","70","48","28","30","28","3","1","59.3220339","13.88888889","3","118","4.214285714","14.12","7","1","12.5","1.62","8.14","15.68888889","22.26","0.178571429","0.03375","0.119661017","3.933333333","2.5","2.333333333","0.504285714","0.470666667","0.290714286","0.271333333","93.33333333","14.88095238","16.80952381","9.69047619","26.5"
"","","GHP2018BWK-AT02","","","","","","","","","GHP2018BWK-AT02-00011","","","","3","19.66666667","12.22222222","37.85310734","1","36","22","20","30","20","1","5","62.06896552","6.355555556","3","58","2.9","6.7","7","1","5.72","0.98","11","7.444444444","17.7","0.158888889","0.044545455","0.115517241","1.933333333","1.8","1.2","0.335","0.223333333","0.55","0.366666667","66.66666667","9.533333333","11.16666667","18.33333333","29.5"
"","","GHP2018BWK-AT02","","","","","","","","","GHP2018BWK-AT02-00012","","","","3","10.6","7.688888889","27.46331237","1","19","29","15","30","15","1","1","39.58333333","1.844444444","7","48","3.2","2.62","6","1","1.66","0.96","6.92","2.911111111","9.54","0.087368421","0.033103448","0.054583333","1.6","1.266666667","0.633333333","0.174666667","0.087333333","0.461333333","0.230666667","50","3.688888889","5.822222222","15.37777778","21.2"
"","","GHP2018BWK-AT02","","","","","","","","","GHP2018BWK-AT02-00013","","","","5","28.31111111","11.35555556","59.89010989","1","66","30","19","30","19","3","5","68.75","15.84444444","3","96","5.052631579","15.26","6","1","14.26","1","10.22","16.95555556","25.48","0.216060606","0.033333333","0.158958333","3.2","3.473684211","2.2","0.803157895","0.508666667","0.537894737","0.340666667","63.33333333","25.01754386","26.77192982","17.92982456","44.70175439"
"","","GHP2018BWK-AT02","","","","","","","","","GHP2018BWK-AT02-00014","","","","1","21.97777778","9.911111111","54.90394338","3","43","14","17","30","17","1","5","75.43859649","11.33333333","3","57","3.352941176","10.86","7","1","10.2","0.66","8.92","12.06666667","19.78","0.237209302","0.047142857","0.190526316","1.9","2.529411765","1.433333333","0.638823529","0.362","0.524705882","0.297333333","56.66666667","20","21.29411765","17.49019608","38.78431373"
"","","GHP2018BWK-AT02","","","","","","","","","GHP2018BWK-AT02-00015","","","","7","22.64444444","8.377777778","63.00294406","3","71","55","22","30","22","5","1","56.34920635","12.06666667","3","126","5.727272727","12.84","7","1","10.86","1.98","7.54","14.26666667","20.38","0.152957746","0.036","0.101904762","4.2","3.227272727","2.366666667","0.583636364","0.428","0.342727273","0.251333333","73.33333333","16.45454545","19.45454545","11.42424242","30.87878788"
"","","GHP2018BWK-AT02","","","","","","","","","GHP2018BWK-AT02-00016","","","","3","21.11111111","4.666666667","77.89473684","2","45","58","23","30","23","3","3","43.68932039","13.66666667","3","103","4.47826087","14.8","7","3","12.3","2.5","4.2","16.44444444","19","0.273333333","0.043103448","0.14368932","3.433333333","1.956521739","1.5","0.643478261","0.493333333","0.182608696","0.14","76.66666667","17.82608696","21.44927536","6.086956522","27.53623188"
"","","GHP2018BWK-AT02","","","","","","","","","GHP2018BWK-AT02-00017","","","","5","32.33333333","13.11111111","59.45017182","1","34","75","23","30","23","3","1","31.19266055","17.82222222","3","109","4.739130435","17.3","8","1","16.04","1.26","11.8","19.22222222","29.1","0.471764706","0.0168","0.158715596","3.633333333","1.47826087","1.133333333","0.752173913","0.576666667","0.513043478","0.393333333","76.66666667","23.24637681","25.07246377","17.10144928","42.17391304"
"","","GHP2018BWK-AT02","","","","","","","","","GHP2018BWK-AT02-00018","","","","3","26.66666667","16.8","37","1","40","50","17","30","17","3","5","44.44444444","8.377777778","3","90","5.294117647","8.88","7","1","7.54","1.34","15.12","9.866666667","24","0.1885","0.0268","0.098666667","3","2.352941176","1.333333333","0.522352941","0.296","0.889411765","0.504","56.66666667","14.78431373","17.41176471","29.64705882","47.05882353"
"","","GHP2018BWK-AT02","","","","","","","","","GHP2018BWK-AT02-00019","","","","5","20.8","11.6","44.23076923","1","37","23","18","30","18","1","5","61.66666667","8.244444444","3","60","3.333333333","8.28","6","2","7.42","0.86","10.44","9.2","18.72","0.200540541","0.037391304","0.138","2","2.055555556","1.233333333","0.46","0.276","0.58","0.348","60","13.74074074","15.33333333","19.33333333","34.66666667"
"","","GHP2018BWK-AT02","","","","","","","","","GHP2018BWK-AT02-00002","","","","3","30.35555556","14.11111111","53.51390922","1","47","23","24","30","24","1","3","67.14285714","14.8","1","70","2.916666667","14.62","7","1","13.32","1.3","12.7","16.24444444","27.32","0.283404255","0.056521739","0.208857143","2.333333333","1.958333333","1.566666667","0.609166667","0.487333333","0.529166667","0.423333333","80","18.5","20.30555556","17.63888889","37.94444444"
"","","GHP2018BWK-AT02","","","","","","","","","GHP2018BWK-AT02-00020","","","","3","26.17777778","15.33333333","41.42614601","3","49","58","19","30","19","1","1","45.79439252","8.844444444","3","107","5.631578947","9.76","7","1","7.96","1.8","13.8","10.84444444","23.56","0.16244898","0.031034483","0.091214953","3.566666667","2.578947368","1.633333333","0.513684211","0.325333333","0.726315789","0.46","63.33333333","13.96491228","17.12280702","24.21052632","41.33333333"
"","","GHP2018BWK-AT02","","","","","","","","","GHP2018BWK-AT02-00021","","","","3","18.11111111","11.24444444","37.91411043","1","26","17","12","30","12","1","1","60.46511628","6.022222222","3","43","3.583333333","6.18","7","1","5.42","0.76","10.12","6.866666667","16.3","0.208461538","0.044705882","0.14372093","1.433333333","2.166666667","0.866666667","0.515","0.206","0.843333333","0.337333333","40","15.05555556","17.16666667","28.11111111","45.27777778"
"","","GHP2018BWK-AT02","","","","","","","","","GHP2018BWK-AT02-00022","","","","3","29.24444444","15.33333333","47.56838906","1","47","27","22","30","22","1","3","63.51351351","12.26666667","3","74","3.363636364","12.52","7","1","11.04","1.48","13.8","13.91111111","26.32","0.234893617","0.054814815","0.169189189","2.466666667","2.136363636","1.566666667","0.569090909","0.417333333","0.627272727","0.46","73.33333333","16.72727273","18.96969697","20.90909091","39.87878788"
"","","GHP2018BWK-AT02","","","","","","","","","GHP2018BWK-AT02-00023","","","","3","18.17777778","9.866666667","45.72127139","1","31","28","21","30","21","1","3","52.54237288","7","3","59","2.80952381","7.48","7","1","6.3","1.18","8.88","8.311111111","16.36","0.203225806","0.042142857","0.126779661","1.966666667","1.476190476","1.033333333","0.356190476","0.249333333","0.422857143","0.296","70","10","11.87301587","14.0952381","25.96825397"
"","","GHP2018BWK-AT02","","","","","","","","","GHP2018BWK-AT02-00024","","","","3","19.84444444","14.15555556","28.66741321","1","28","46","25","30","25","1","1","37.83783784","4.266666667","5","74","2.96","5.12","6","1","3.84","1.28","12.74","5.688888889","17.86","0.137142857","0.027826087","0.069189189","2.466666667","1.12","0.933333333","0.2048","0.170666667","0.5096","0.424666667","83.33333333","5.12","6.826666667","16.98666667","23.81333333"
"","","GHP2018BWK-AT02","","","","","","","","","GHP2018BWK-AT02-00025","","","","1","34.6","16.33333333","52.7938343","1","68","47","20","30","20","1","1","59.13043478","16.13333333","1","115","5.75","16.44","6","3","14.52","1.92","14.7","18.26666667","31.14","0.213529412","0.040851064","0.142956522","3.833333333","3.4","2.266666667","0.822","0.548","0.735","0.49","66.66666667","24.2","27.4","24.5","51.9"
"","","GHP2018BWK-AT02","","","","","","","","","GHP2018BWK-AT02-00026","","","","1","27.66666667","11.86666667","57.10843373","3","59","27","27","30","27","1","3","68.60465116","14.4","3","86","3.185185185","14.22","7","1","12.96","1.26","10.68","15.8","24.9","0.219661017","0.046666667","0.165348837","2.866666667","2.185185185","1.966666667","0.526666667","0.474","0.395555556","0.356","90","16","17.55555556","13.18518519","30.74074074"
"","","GHP2018BWK-AT02","","","","","","","","","GHP2018BWK-AT02-00027","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018BWK-AT02","","","","","","","","","GHP2018BWK-AT02-00028","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018BWK-AT02","","","","","","","","","GHP2018BWK-AT02-00029","","","","3","15.17777778","9.244444444","39.09224012","1","25","20","15","30","15","1","1","55.55555556","5.244444444","3","45","3","5.34","7","1","4.72","0.62","8.32","5.933333333","13.66","0.1888","0.031","0.118666667","1.5","1.666666667","0.833333333","0.356","0.178","0.554666667","0.277333333","50","10.48888889","11.86666667","18.48888889","30.35555556"
