"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Harvest index computing percent|CO_331:0000302","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield tons per ha|CO_331:0000809","Storage root size estimating 1-9|CO_331:0000184","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018BWK-FT02","","","","","","","","","GHP2018BWK-FT02-00001","","","","5","32.43333333","15.26666667","52.9290853","1","30","22","16","15","20","15","3","3","57.69230769","16","1","52","3.466666667","10.3","8","1","1","9.6","0.7","9.16","17.16666667","19.46","0.32","0.031818182","0.198076923","2.6","2","1.5","0.686666667","0.515","0.610666667","0.458","75","21.33333333","22.88888889","20.35555556","43.24444444"
"","","GHP2018BWK-FT02","","","","","","","","","GHP2018BWK-FT02-00010","","","","3","19.03333333","7.033333333","63.04728546","3","29","18","14","10","20","10","1","1","61.70212766","10.93333333","3","47","4.7","7.2","7","1","1","6.56","0.64","4.22","12","11.42","0.226206897","0.035555556","0.153191489","2.35","2.9","1.45","0.72","0.36","0.422","0.211","50","21.86666667","24","14.06666667","38.06666667"
"","","GHP2018BWK-FT02","","","","","","","","","GHP2018BWK-FT02-00011","","","","3","27.56666667","12.06666667","56.22732769","1","26","16","13","10","20","10","3","3","61.9047619","13.66666667","1","42","4.2","9.3","7","1","1","8.2","1.1","7.24","15.5","16.54","0.315384615","0.06875","0.221428571","2.1","2.6","1.3","0.93","0.465","0.724","0.362","50","27.33333333","31","24.13333333","55.13333333"
"","","GHP2018BWK-FT02","","","","","","","","","GHP2018BWK-FT02-00012","","","","1","15.36666667","7.166666667","53.36225597","1","26","11","9","8","20","8","1","1","70.27027027","7.666666667","3","37","4.625","4.92","7","1","1","4.6","0.32","4.3","8.2","9.22","0.176923077","0.029090909","0.132972973","1.85","3.25","1.3","0.615","0.246","0.5375","0.215","40","19.16666667","20.5","17.91666667","38.41666667"
"","","GHP2018BWK-FT02","","","","","","","","","GHP2018BWK-FT02-00013","","","","3","32.46666667","13.93333333","57.08418891","1","33","9","15","15","20","15","1","1","78.57142857","16.46666667","1","42","2.8","11.12","8","1","1","9.88","1.24","8.36","18.53333333","19.48","0.299393939","0.137777778","0.264761905","2.1","2.2","1.65","0.741333333","0.556","0.557333333","0.418","75","21.95555556","24.71111111","18.57777778","43.28888889"
"","","GHP2018BWK-FT02","","","","","","","","","GHP2018BWK-FT02-00014","","","","5","39.16666667","22.9","41.53191489","1","34","50","19","14","20","14","1","1","40.47619048","13.5","3","84","6","9.76","7","1","1","8.1","1.66","13.74","16.26666667","23.5","0.238235294","0.0332","0.116190476","4.2","2.428571429","1.7","0.697142857","0.488","0.981428571","0.687","70","19.28571429","23.23809524","32.71428571","55.95238095"
"","","GHP2018BWK-FT02","","","","","","","","","GHP2018BWK-FT02-00015","","","","3","40.06666667","26.4","34.10981697","1","20","22","17","9","20","9","1","5","47.61904762","12.1","3","42","4.666666667","8.2","7","1","2","7.26","0.94","15.84","13.66666667","24.04","0.363","0.042727273","0.195238095","2.1","2.222222222","1","0.911111111","0.41","1.76","0.792","45","26.88888889","30.37037037","58.66666667","89.03703704"
"","","GHP2018BWK-FT02","","","","","","","","","GHP2018BWK-FT02-00016","","","","3","23.83333333","12.06666667","49.37062937","1","20","20","16","11","20","11","1","5","50","10.7","1","40","3.636363636","7.06","7","1","1","6.42","0.64","7.24","11.76666667","14.3","0.321","0.032","0.1765","2","1.818181818","1","0.641818182","0.353","0.658181818","0.362","55","19.45454545","21.39393939","21.93939394","43.33333333"
"","","GHP2018BWK-FT02","","","","","","","","","GHP2018BWK-FT02-00017","","","","5","31.6","18.2","42.40506329","3","21","31","16","14","20","14","5","1","40.38461538","11.23333333","3","52","3.714285714","8.04","8","1","1","6.74","1.3","10.92","13.4","18.96","0.320952381","0.041935484","0.154615385","2.6","1.5","1.05","0.574285714","0.402","0.78","0.546","70","16.04761905","19.14285714","26","45.14285714"
"","","GHP2018BWK-FT02","","","","","","","","","GHP2018BWK-FT02-00018","","","","5","41.83333333","19.1","54.34262948","1","56","54","18","18","20","18","1","3","50.90909091","18.9","3","110","6.111111111","13.64","7","1","2","11.34","2.3","11.46","22.73333333","25.1","0.2025","0.042592593","0.124","5.5","3.111111111","2.8","0.757777778","0.682","0.636666667","0.573","90","21","25.25925926","21.22222222","46.48148148"
