"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Harvest index computing percent|CO_331:0000302","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Storage root size estimating 1-9|CO_331:0000184","Commercial storage root yield tons per ha|CO_331:0000809","Survival index computing percent|CO_331:0000301","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00001","","","","3","7.4","2.266666667","69.36936937","5","22","13","8","8","10","8","3","3","62.85714286","5","4.666666667","80","35","4.375","1.54","6","1","1","1.4","0.14","0.68","5.133333333","2.22","0.063636364","0.010769231","0.044","3.5","2.75","2.2","0.1925","0.154","0.085","0.068","5.833333333","6.416666667","2.833333333","9.25"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00010","","","","5","29.06666667","15.73333333","45.87155963","1","","0","7","3","10","3","1","1","","7","13.33333333","30","","","4","7","2","2","4","0","4.72","13.33333333","8.72","","","","","","","1.333333333","0.4","1.573333333","0.472","44.44444444","44.44444444","52.44444444","96.88888889"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00011","","","","3","55.66666667","28","49.7005988","1","25","10","10","10","10","10","3","5","71.42857143","1","25.93333333","100","35","3.5","8.3","6","1","1","7.78","0.52","8.4","27.66666667","16.7","0.3112","0.052","0.237142857","3.5","2.5","2.5","0.83","0.83","0.84","0.84","25.93333333","27.66666667","28","55.66666667"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00012","","","","5","30.33333333","18.26666667","39.78021978","3","14","4","7","6","10","6","","3","77.77777778","3","11.46666667","60","18","3","3.62","6","2","1","3.44","0.18","5.48","12.06666667","9.1","0.245714286","0.045","0.201111111","1.8","2.333333333","1.4","0.603333333","0.362","0.913333333","0.548","19.11111111","20.11111111","30.44444444","50.55555556"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00013","","","","1","29.93333333","11.06666667","63.02895323","5","24","7","10","10","10","10","5","1","77.41935484","3","16.8","100","31","3.1","5.66","6","1","1","5.04","0.62","3.32","18.86666667","8.98","0.21","0.088571429","0.182580645","3.1","2.4","2.4","0.566","0.566","0.332","0.332","16.8","18.86666667","11.06666667","29.93333333"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00014","","","","3","19","12.86666667","32.28070175","3","12","4","5","5","10","5","7","3","75","3","5.6","50","16","3.2","1.84","6","2","1","1.68","0.16","3.86","6.133333333","5.7","0.14","0.04","0.115","1.6","2.4","1.2","0.368","0.184","0.772","0.386","11.2","12.26666667","25.73333333","38"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00015","","","","1","37.13333333","9.8","73.60861759","3","46","21","8","8","10","8","7","3","68.65671642","3","24.86666667","80","67","8.375","8.2","6","1","1","7.46","0.74","2.94","27.33333333","11.14","0.162173913","0.035238095","0.12238806","6.7","5.75","4.6","1.025","0.82","0.3675","0.294","31.08333333","34.16666667","12.25","46.41666667"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00016","","","","3","27.06666667","10.4","61.57635468","1","32","17","7","7","10","7","1","1","65.30612245","3","14.4","70","49","7","5","6","2","1","4.32","0.68","3.12","16.66666667","8.12","0.135","0.04","0.102040816","4.9","4.571428571","3.2","0.714285714","0.5","0.445714286","0.312","20.57142857","23.80952381","14.85714286","38.66666667"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00017","","","","1","44.2","14.06666667","68.17496229","","42","19","9","9","10","9","1","3","68.85245902","3","28.46666667","90","61","6.777777778","9.04","7","2","1","8.54","0.5","4.22","30.13333333","13.26","0.203333333","0.026315789","0.148196721","6.1","4.666666667","4.2","1.004444444","0.904","0.468888889","0.422","31.62962963","33.48148148","15.62962963","49.11111111"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00018","","","","7","20.73333333","8.266666667","60.12861736","5","27","16","10","10","10","10","7","3","62.79069767","3","10.6","100","43","4.3","3.74","6","2","1","3.18","0.56","2.48","12.46666667","6.22","0.117777778","0.035","0.086976744","4.3","2.7","2.7","0.374","0.374","0.248","0.248","10.6","12.46666667","8.266666667","20.73333333"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00019","","","","5","37.8","16.73333333","55.7319224","1","21","10","5","5","10","5","5","3","67.74193548","1","19.33333333","50","31","6.2","6.32","8","2","1","5.8","0.52","5.02","21.06666667","11.34","0.276190476","0.052","0.203870968","3.1","4.2","2.1","1.264","0.632","1.004","0.502","38.66666667","42.13333333","33.46666667","75.6"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00002","","","","3","19.73333333","11.2","43.24324324","1","14","3","8","7","10","7","1","3","82.35294118","3","8.066666667","70","17","2.428571429","2.56","6","2","1","2.42","0.14","3.36","8.533333333","5.92","0.172857143","0.046666667","0.150588235","1.7","2","1.4","0.365714286","0.256","0.48","0.336","11.52380952","12.19047619","16","28.19047619"
