"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050"
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00001","","","","3","0","4.293869","23.8063068","51.9687462","11.3802948"
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00010","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00011","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00012","","","","3","0.927191","3.284229","14.0188751","51.4843636","18.1427536"
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00013","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00014","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00015","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00016","","","","3","0.884998","4.931921","22.7404251","38.0927162","30.3726196"
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00017","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00018","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00019","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00002","","","","3","1.525684","6.041935","18.7472363","41.4682846","25.8308411"
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00020","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00021","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00022","","","","3","","","","",""
"","","GHP2018FMS-OT01","","","","","","","","","GHP2018FMS-OT01-00023","","","","3","","","","",""
