"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00101","","","","3","3","2","0","4","0","0.14","2","4","0.14","2.14","4","","0.035","0.035","1.333333333","0","0.046666667","0.666666667","0","6.542056075","0","1.555555556","22.22222222","23.77777778","1.333333333","0","0.046666667","0.666666667","100","0","1.555555556","22.22222222","23.77777778"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00102","","","","3","3","1","0","1","0","0.06","1","","0.06","1.06","1","","0.06","0.06","0.333333333","0","0.02","0.333333333","0","5.660377358","0","0.666666667","11.11111111","11.77777778","0.333333333","0","0.02","0.333333333","100","0","0.666666667","11.11111111","11.77777778"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00103","","","","3","2","1","2","2","0.38","0.16","5","3","0.54","5.54","4","0.19","0.08","0.135","2","1","0.27","2.5","50","9.747292419","6.333333333","9","83.33333333","92.33333333","1.333333333","0.666666667","0.18","1.666666667","66.66666667","4.222222222","6","55.55555556","61.55555556"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00104","","","","3","2","1","0","1","0","0.06","2","6","0.06","2.06","1","","0.06","0.06","0.5","0","0.03","1","0","2.912621359","0","1","33.33333333","34.33333333","0.333333333","0","0.02","0.666666667","66.66666667","0","0.666666667","22.22222222","22.88888889"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00105","","","","3","3","2","2","0","0.2","0","2.5","4","0.2","2.7","2","0.1","","0.1","0.666666667","0.666666667","0.066666667","0.833333333","100","7.407407407","2.222222222","2.222222222","27.77777778","30","0.666666667","0.666666667","0.066666667","0.833333333","100","2.222222222","2.222222222","27.77777778","30"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00106","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00107","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00108","","","","3","1","1","0","2","0","0.06","2","6","0.06","2.06","2","","0.03","0.03","2","0","0.06","2","0","2.912621359","0","2","66.66666667","68.66666667","0.666666667","0","0.02","0.666666667","33.33333333","0","0.666666667","22.22222222","22.88888889"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00109","","","","3","3","3","6","4","1.72","0.18","7","3","1.9","8.9","10","0.286666667","0.045","0.19","3.333333333","2","0.633333333","2.333333333","60","21.34831461","19.11111111","21.11111111","77.77777778","98.88888889","3.333333333","2","0.633333333","2.333333333","100","19.11111111","21.11111111","77.77777778","98.88888889"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00110","","","","3","2","2","6","3","0.84","0.12","2.5","4","0.96","3.46","9","0.14","0.04","0.106666667","4.5","3","0.48","1.25","66.66666667","27.74566474","14","16","41.66666667","57.66666667","3","2","0.32","0.833333333","66.66666667","9.333333333","10.66666667","27.77777778","38.44444444"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00111","","","","3","2","2","3","0","1.62","0","3","3","1.62","4.62","3","0.54","","0.54","1.5","1.5","0.81","1.5","100","35.06493506","27","27","50","77","1","1","0.54","1","66.66666667","18","18","33.33333333","51.33333333"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00112","","","","3","1","1","2","0","0.26","0","2","4","0.26","2.26","2","0.13","","0.13","2","2","0.26","2","100","11.50442478","8.666666667","8.666666667","66.66666667","75.33333333","0.666666667","0.666666667","0.086666667","0.666666667","33.33333333","2.888888889","2.888888889","22.22222222","25.11111111"
