"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00001","","","","5","3","30","12","9","10","8","3","3","5","1.3","0.2","1.5","1.5","3","18","0.13","0.025","0.083333333","1.5","0.6","0.833333333","0.333333333","0.125","0.05","0.125","0.05","55.55555556","50","40","1.444444444","3.611111111","1.666666667","4.166666667","1.666666667","4.166666667","3.333333333","8.333333333"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00010","","","","3","1","30","30","28","33","26","1","3","1","7.2","1","1","8.2","9.2","59","0.218181818","0.038461538","0.138983051","1.966666667","1.966666667","1.1","1.1","0.273333333","0.273333333","0.033333333","0.033333333","55.93220339","89.13043478","100","8","8","9.111111111","9.111111111","1.111111111","1.111111111","10.22222222","10.22222222"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00011","","","","1","1","30","30","28","27","35","1","3","1","4.5","1.5","17","6","23","62","0.166666667","0.042857143","0.096774194","2.066666667","2.066666667","0.9","0.9","0.2","0.2","0.566666667","0.566666667","43.5483871","26.08695652","100","5","5","6.666666667","6.666666667","18.88888889","18.88888889","25.55555556","25.55555556"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00012","","","","3","1","30","24","24","17","7","1","3","3","2.7","0.3","2","3","5","24","0.158823529","0.042857143","0.125","1","0.8","0.708333333","0.566666667","0.125","0.1","0.083333333","0.066666667","70.83333333","60","80","3","3.75","3.333333333","4.166666667","2.222222222","2.777777778","5.555555556","6.944444444"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00013","","","","3","1","30","14","14","39","10","3","3","3","18.6","0.8","21","19.4","40.4","49","0.476923077","0.08","0.395918367","3.5","1.633333333","2.785714286","1.3","1.385714286","0.646666667","1.5","0.7","79.59183673","48.01980198","46.66666667","20.66666667","44.28571429","21.55555556","46.19047619","23.33333333","50","44.88888889","96.19047619"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00014","","","","3","1","30","26","26","6","2","1","3","1","0.7","0.1","1","0.8","1.8","8","0.116666667","0.05","0.1","0.307692308","0.266666667","0.230769231","0.2","0.030769231","0.026666667","0.038461538","0.033333333","75","44.44444444","86.66666667","0.777777778","0.897435897","0.888888889","1.025641026","1.111111111","1.282051282","2","2.307692308"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00015","","","","3","1","30","5","5","10","14","3","4","3","3.3","1.3","21","4.6","25.6","24","0.33","0.092857143","0.191666667","4.8","0.8","2","0.333333333","0.92","0.153333333","4.2","0.7","41.66666667","17.96875","16.66666667","3.666666667","22","5.111111111","30.66666667","23.33333333","140","28.44444444","170.6666667"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00016","","","","3","1","30","20","15","26","34","1","4","3","4.7","1.8","5","6.5","11.5","60","0.180769231","0.052941176","0.108333333","3","2","1.3","0.866666667","0.325","0.216666667","0.25","0.166666667","43.33333333","56.52173913","66.66666667","5.222222222","7.833333333","7.222222222","10.83333333","5.555555556","8.333333333","12.77777778","19.16666667"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00017","","","","3","3","30","21","21","23","64","1","3","3","3.2","2.4","16.5","5.6","22.1","87","0.139130435","0.0375","0.064367816","4.142857143","2.9","1.095238095","0.766666667","0.266666667","0.186666667","0.785714286","0.55","26.43678161","25.33936652","70","3.555555556","5.079365079","6.222222222","8.888888889","18.33333333","26.19047619","24.55555556","35.07936508"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00018","","","","1","1","30","24","24","67","44","1","2","1","16.6","1.4","12","18","30","111","0.247761194","0.031818182","0.162162162","4.625","3.7","2.791666667","2.233333333","0.75","0.6","0.5","0.4","60.36036036","60","80","18.44444444","23.05555556","20","25","13.33333333","16.66666667","33.33333333","41.66666667"
