"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield tons per ha|CO_331:0000809","Storage root size estimating 1-9|CO_331:0000184","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00001","","","","1","25.24444444","9.955555556","1","41","26","23","30","23","1","1","61.19402985","13.66666667","1","67","2.913043478","13.76","5","2","12.3","1.46","8.96","15.28888889","22.72","0.3","0.056153846","0.205373134","2.233333333","1.782608696","1.366666667","0.59826087","0.458666667","0.389565217","0.298666667","60.56338028","76.66666667","17.82608696","19.94202899","12.98550725","32.92753623"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00010","","","","1","24.55555556","19.2","1","19","38","24","30","22","1","5","33.33333333","3.533333333","5","57","2.375","4.82","5","2","3.18","1.64","17.28","5.355555556","22.1","0.167368421","0.043157895","0.084561404","1.9","0.791666667","0.633333333","0.200833333","0.160666667","0.72","0.576","21.80995475","80","4.416666667","6.694444444","24","30.69444444"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00011","","","","1","9.755555556","8.422222222","1","7","1","21","30","21","1","3","87.5","1.266666667","3","8","0.380952381","1.2","4","2","1.14","0.06","7.58","1.333333333","8.78","0.162857143","0.06","0.15","0.266666667","0.333333333","0.233333333","0.057142857","0.04","0.360952381","0.252666667","13.66742597","70","1.80952381","1.904761905","12.03174603","13.93650794"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00012","","","","3","21.11111111","16.55555556","1","21","22","27","30","27","3","5","48.8372093","3.533333333","5","43","1.592592593","4.1","4","2","3.18","0.92","14.9","4.555555556","19","0.151428571","0.041818182","0.095348837","1.433333333","0.777777778","0.7","0.151851852","0.136666667","0.551851852","0.496666667","21.57894737","90","3.925925926","5.061728395","18.39506173","23.45679012"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00013","","","","1","6.088888889","5.444444444","1","1","","14","30","14","1","7","","0.244444444","9","","","0.58","3","3","0.22","0.36","4.9","0.644444444","5.48","0.22","","","","0.071428571","0.033333333","0.041428571","0.019333333","0.35","0.163333333","10.58394161","46.66666667","0.523809524","1.380952381","11.66666667","13.04761905"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00014","","","","1","26.62222222","8.088888889","1","64","24","26","30","25","3","1","72.72727273","16.91111111","1","88","3.384615385","16.68","3","1","15.22","1.46","7.28","18.53333333","23.96","0.2378125","0.060833333","0.189545455","2.933333333","2.461538462","2.133333333","0.641538462","0.556","0.28","0.242666667","69.61602671","86.66666667","19.51282051","21.38461538","9.333333333","30.71794872"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00015","","","","1","20.86666667","7.022222222","1","48","37","27","30","25","1","3","56.47058824","11.64444444","1","85","3.148148148","12.46","7","1","10.48","1.98","6.32","13.84444444","18.78","0.218333333","0.053513514","0.146588235","2.833333333","1.777777778","1.6","0.461481481","0.415333333","0.234074074","0.210666667","66.34717785","90","12.9382716","15.38271605","7.802469136","23.18518519"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00016","","","","3","18","4.866666667","1","38","19","24","30","13","1","5","66.66666667","12.11111111","3","57","2.375","11.82","4","2","10.9","0.92","4.38","13.13333333","16.2","0.286842105","0.048421053","0.207368421","1.9","1.583333333","1.266666667","0.4925","0.394","0.1825","0.146","72.96296296","80","15.13888889","16.41666667","6.083333333","22.5"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00017","","","","1","25","12.2","1","34","14","18","30","16","1","1","70.83333333","12.15555556","3","48","2.666666667","11.52","7","1","10.94","0.58","10.98","12.8","22.5","0.321764706","0.041428571","0.24","1.6","1.888888889","1.133333333","0.64","0.384","0.61","0.366","51.2","60","20.25925926","21.33333333","20.33333333","41.66666667"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00018","","","","3","16.22222222","8.688888889","1","24","14","24","30","24","1","3","63.15789474","6.8","1","38","1.583333333","6.78","6","1","6.12","0.66","7.82","7.533333333","14.6","0.255","0.047142857","0.178421053","1.266666667","1","0.8","0.2825","0.226","0.325833333","0.260666667","46.43835616","80","8.5","9.416666667","10.86111111","20.27777778"
