"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01001","","","","4","3","3","3","3","8","0.44","0.18","0.92","0.62","1.54","11","0.146666667","0.0225","0.056363636","3.666666667","1","0.206666667","0.306666667","27.27272727","40.25974026","4.888888889","6.888888889","10.22222222","17.11111111","2.75","0.75","0.155","0.23","75","3.666666667","5.166666667","7.666666667","12.83333333"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01010","","","","4","4","4","4","1","7","0.12","0.2","0.52","0.32","0.84","8","0.12","0.028571429","0.04","2","0.25","0.08","0.13","12.5","38.0952381","1","2.666666667","4.333333333","7","2","0.25","0.08","0.13","100","1","2.666666667","4.333333333","7"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01011","","","","4","4","3","3","3","5","0.5","0.2","1.18","0.7","1.88","8","0.166666667","0.04","0.0875","2.666666667","1","0.233333333","0.393333333","37.5","37.23404255","5.555555556","7.777777778","13.11111111","20.88888889","2","0.75","0.175","0.295","75","4.166666667","5.833333333","9.833333333","15.66666667"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01012","","","","4","4","4","4","5","6","1.34","0.24","1.06","1.58","2.64","11","0.268","0.04","0.143636364","2.75","1.25","0.395","0.265","45.45454545","59.84848485","11.16666667","13.16666667","8.833333333","22","2.75","1.25","0.395","0.265","100","11.16666667","13.16666667","8.833333333","22"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01013","","","","4","4","3","3","2","5","1.02","0.2","1.16","1.22","2.38","7","0.51","0.04","0.174285714","2.333333333","0.666666667","0.406666667","0.386666667","28.57142857","51.2605042","11.33333333","13.55555556","12.88888889","26.44444444","1.75","0.5","0.305","0.29","75","8.5","10.16666667","9.666666667","19.83333333"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01014","","","","4","4","3","3","4","18","1.2","0.66","1.52","1.86","3.38","22","0.3","0.036666667","0.084545455","7.333333333","1.333333333","0.62","0.506666667","18.18181818","55.0295858","13.33333333","20.66666667","16.88888889","37.55555556","5.5","1","0.465","0.38","75","10","15.5","12.66666667","28.16666667"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01015","","","","4","4","3","3","3","4","0.56","0.16","1.44","0.72","2.16","7","0.186666667","0.04","0.102857143","2.333333333","1","0.24","0.48","42.85714286","33.33333333","6.222222222","8","16","24","1.75","0.75","0.18","0.36","75","4.666666667","6","12","18"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01016","","","","4","4","4","4","5","12","1.08","0.6","2.54","1.68","4.22","17","0.216","0.05","0.098823529","4.25","1.25","0.42","0.635","29.41176471","39.81042654","9","14","21.16666667","35.16666667","4.25","1.25","0.42","0.635","100","9","14","21.16666667","35.16666667"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01017","","","","4","4","3","3","3","12","1.18","0.42","1.08","1.6","2.68","15","0.393333333","0.035","0.106666667","5","1","0.533333333","0.36","20","59.70149254","13.11111111","17.77777778","12","29.77777778","3.75","0.75","0.4","0.27","75","9.833333333","13.33333333","9","22.33333333"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01018","","","","4","4","4","4","1","8","0.2","0.48","0.8","0.68","1.48","9","0.2","0.06","0.075555556","2.25","0.25","0.17","0.2","11.11111111","45.94594595","1.666666667","5.666666667","6.666666667","12.33333333","2.25","0.25","0.17","0.2","100","1.666666667","5.666666667","6.666666667","12.33333333"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01019","","","","4","4","2","2","4","4","1.32","0.06","0.7","1.38","2.08","8","0.33","0.015","0.1725","4","2","0.69","0.35","50","66.34615385","22","23","11.66666667","34.66666667","2","1","0.345","0.175","50","11","11.5","5.833333333","17.33333333"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01002","","","","4","4","2","2","2","6","0.28","0.14","0.12","0.42","0.54","8","0.14","0.023333333","0.0525","4","1","0.21","0.06","25","77.77777778","4.666666667","7","2","9","2","0.5","0.105","0.03","50","2.333333333","3.5","1","4.5"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01020","","","","4","4","2","2","3","4","0.56","0.16","0.22","0.72","0.94","7","0.186666667","0.04","0.102857143","3.5","1.5","0.36","0.11","42.85714286","76.59574468","9.333333333","12","3.666666667","15.66666667","1.75","0.75","0.18","0.055","50","4.666666667","6","1.833333333","7.833333333"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01021","","","","4","4","4","4","2","10","0.22","0.4","1.14","0.62","1.76","12","0.11","0.04","0.051666667","3","0.5","0.155","0.285","16.66666667","35.22727273","1.833333333","5.166666667","9.5","14.66666667","3","0.5","0.155","0.285","100","1.833333333","5.166666667","9.5","14.66666667"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01022","","","","4","3","3","3","6","8","0.8","0.8","0.46","1.6","2.06","14","0.133333333","0.1","0.114285714","4.666666667","2","0.533333333","0.153333333","42.85714286","77.66990291","8.888888889","17.77777778","5.111111111","22.88888889","3.5","1.5","0.4","0.115","75","6.666666667","13.33333333","3.833333333","17.16666667"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01023","","","","4","4","3","3","2","2","0.5","0.14","0.88","0.64","1.52","4","0.25","0.07","0.16","1.333333333","0.666666667","0.213333333","0.293333333","50","42.10526316","5.555555556","7.111111111","9.777777778","16.88888889","1","0.5","0.16","0.22","75","4.166666667","5.333333333","7.333333333","12.66666667"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01024","","","","4","4","4","4","","16","1.08","0.08","0.86","1.16","2.02","","","0.005","","","","0.29","0.215","","57.42574257","9","9.666666667","7.166666667","16.83333333","","","0.29","0.215","100","9","9.666666667","7.166666667","16.83333333"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01025","","","","4","4","4","4","5","8","0.82","0.36","1.68","1.18","2.86","13","0.164","0.045","0.090769231","3.25","1.25","0.295","0.42","38.46153846","41.25874126","6.833333333","9.833333333","14","23.83333333","3.25","1.25","0.295","0.42","100","6.833333333","9.833333333","14","23.83333333"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01026","","","","4","4","4","4","1","8","0.48","0.5","1.66","0.98","2.64","9","0.48","0.0625","0.108888889","2.25","0.25","0.245","0.415","11.11111111","37.12121212","4","8.166666667","13.83333333","22","2.25","0.25","0.245","0.415","100","4","8.166666667","13.83333333","22"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01027","","","","4","4","3","1","0","","0","","0.08","","","","","","","","0","","0.026666667","","","0","","0.888888889","","","0","","0.02","75","0","","0.666666667",""
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01028","","","","4","4","4","4","1","6","0.08","0.14","0.76","0.22","0.98","7","0.08","0.023333333","0.031428571","1.75","0.25","0.055","0.19","14.28571429","22.44897959","0.666666667","1.833333333","6.333333333","8.166666667","1.75","0.25","0.055","0.19","100","0.666666667","1.833333333","6.333333333","8.166666667"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01003","","","","4","4","3","3","2","1","0.36","0.06","1.24","0.42","1.66","3","0.18","0.06","0.14","1","0.666666667","0.14","0.413333333","66.66666667","25.30120482","4","4.666666667","13.77777778","18.44444444","0.75","0.5","0.105","0.31","75","3","3.5","10.33333333","13.83333333"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01004","","","","4","4","4","4","1","5","0.32","0.22","1.82","0.54","2.36","6","0.32","0.044","0.09","1.5","0.25","0.135","0.455","16.66666667","22.88135593","2.666666667","4.5","15.16666667","19.66666667","1.5","0.25","0.135","0.455","100","2.666666667","4.5","15.16666667","19.66666667"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01005","","","","4","4","3","3","2","11","0.2","0.42","1.22","0.62","1.84","13","0.1","0.038181818","0.047692308","4.333333333","0.666666667","0.206666667","0.406666667","15.38461538","33.69565217","2.222222222","6.888888889","13.55555556","20.44444444","3.25","0.5","0.155","0.305","75","1.666666667","5.166666667","10.16666667","15.33333333"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01006","","","","4","4","4","4","0","6","0","0.2","0.88","0.2","1.08","6","","0.033333333","0.033333333","1.5","0","0.05","0.22","0","18.51851852","0","1.666666667","7.333333333","9","1.5","0","0.05","0.22","100","0","1.666666667","7.333333333","9"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01007","","","","4","4","3","3","2","3","0.46","0.16","0.3","0.62","0.92","5","0.23","0.053333333","0.124","1.666666667","0.666666667","0.206666667","0.1","40","67.39130435","5.111111111","6.888888889","3.333333333","10.22222222","1.25","0.5","0.155","0.075","75","3.833333333","5.166666667","2.5","7.666666667"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01008","","","","4","4","4","4","5","10","0.58","0.32","1.3","0.9","2.2","15","0.116","0.032","0.06","3.75","1.25","0.225","0.325","33.33333333","40.90909091","4.833333333","7.5","10.83333333","18.33333333","3.75","1.25","0.225","0.325","100","4.833333333","7.5","10.83333333","18.33333333"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01009","","","","4","4","3","3","3","5","1.22","0.26","1.12","1.48","2.6","8","0.406666667","0.052","0.185","2.666666667","1","0.493333333","0.373333333","37.5","56.92307692","13.55555556","16.44444444","12.44444444","28.88888889","2","0.75","0.37","0.28","75","10.16666667","12.33333333","9.333333333","21.66666667"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00101","","","","4","4","4","2","0","7","0","0.24","3.12","0.24","3.36","7","","0.034285714","0.034285714","1.75","0","0.06","0.78","0","7.142857143","0","2","26","28","1.75","0","0.06","0.78","100","0","2","26","28"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00110","","","","4","4","3","1","0","11","0","0.32","1.34","0.32","1.66","11","","0.029090909","0.029090909","3.666666667","0","0.106666667","0.446666667","0","19.27710843","0","3.555555556","14.88888889","18.44444444","2.75","0","0.08","0.335","75","0","2.666666667","11.16666667","13.83333333"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00111","","","","4","3","3","1","0","7","0","0.52","1.22","0.52","1.74","7","","0.074285714","0.074285714","2.333333333","0","0.173333333","0.406666667","0","29.88505747","0","5.777777778","13.55555556","19.33333333","1.75","0","0.13","0.305","75","0","4.333333333","10.16666667","14.5"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01101","","","","4","4","3","3","1","10","0.16","0.24","0.68","0.4","1.08","11","0.16","0.024","0.036363636","3.666666667","0.333333333","0.133333333","0.226666667","9.090909091","37.03703704","1.777777778","4.444444444","7.555555556","12","2.75","0.25","0.1","0.17","75","1.333333333","3.333333333","5.666666667","9"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01110","","","","4","4","3","3","2","9","0.2","0.26","0.7","0.46","1.16","11","0.1","0.028888889","0.041818182","3.666666667","0.666666667","0.153333333","0.233333333","18.18181818","39.65517241","2.222222222","5.111111111","7.777777778","12.88888889","2.75","0.5","0.115","0.175","75","1.666666667","3.833333333","5.833333333","9.666666667"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01111","","","","4","4","4","4","2","7","0.3","0.8","0.88","1.1","1.98","9","0.15","0.114285714","0.122222222","2.25","0.5","0.275","0.22","22.22222222","55.55555556","2.5","9.166666667","7.333333333","16.5","2.25","0.5","0.275","0.22","100","2.5","9.166666667","7.333333333","16.5"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01112","","","","4","4","4","4","2","7","0.2","0.2","1.44","0.4","1.84","9","0.1","0.028571429","0.044444444","2.25","0.5","0.1","0.36","22.22222222","21.73913043","1.666666667","3.333333333","12","15.33333333","2.25","0.5","0.1","0.36","100","1.666666667","3.333333333","12","15.33333333"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-01113","","","","4","4","4","4","12","11","2.2","0.5","2.32","2.7","5.02","23","0.183333333","0.045454545","0.117391304","5.75","3","0.675","0.58","52.17391304","53.78486056","18.33333333","22.5","19.33333333","41.83333333","5.75","3","0.675","0.58","100","18.33333333","22.5","19.33333333","41.83333333"
