"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Harvest index computing percent|CO_331:0000302","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield tons per ha|CO_331:0000809","Storage root size estimating 1-9|CO_331:0000184","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018TUM-FT02","","","","","","","","","GHP2018TUM-FT02-00001","","","","3","28","6.333333333","77.38095238","1","63","16","20","18","20","18","3","3","79.74683544","20.46666667","3","79","4.388888889","13","7","1","1","12.28","0.72","3.8","21.66666667","16.8","0.194920635","0.045","0.164556962","3.95","3.5","3.15","0.722222222","0.65","0.211111111","0.19","90","22.74074074","24.07407407","7.037037037","31.11111111"
"","","GHP2018TUM-FT02","","","","","","","","","GHP2018TUM-FT02-00010","","","","5","16.2","4.433333333","72.63374486","1","28","19","18","18","20","18","1","3","59.57446809","10.06666667","3","47","2.611111111","7.06","7","1","1","6.04","1.02","2.66","11.76666667","9.72","0.215714286","0.053684211","0.150212766","2.35","1.555555556","1.4","0.392222222","0.353","0.147777778","0.133","90","11.18518519","13.07407407","4.925925926","18"
"","","GHP2018TUM-FT02","","","","","","","","","GHP2018TUM-FT02-00011","","","","7","18.3","7.6","58.46994536","1","29","36","20","20","20","20","1","1","44.61538462","8.133333333","3","65","3.25","6.42","8","1","1","4.88","1.54","4.56","10.7","10.98","0.168275862","0.042777778","0.098769231","3.25","1.45","1.45","0.321","0.321","0.228","0.228","100","8.133333333","10.7","7.6","18.3"
"","","GHP2018TUM-FT02","","","","","","","","","GHP2018TUM-FT02-00012","","","","3","17.86666667","7.866666667","55.97014925","1","25","38","15","15","20","15","1","1","39.68253968","7.4","3","63","4.2","6","7","1","1","4.44","1.56","4.72","10","10.72","0.1776","0.041052632","0.095238095","3.15","1.666666667","1.25","0.4","0.3","0.314666667","0.236","75","9.866666667","13.33333333","10.48888889","23.82222222"
"","","GHP2018TUM-FT02","","","","","","","","","GHP2018TUM-FT02-00013","","","","3","21.4","5.833333333","72.74143302","1","40","52","15","15","20","15","3","1","43.47826087","10.43333333","3","92","6.133333333","9.34","8","1","1","6.26","3.08","3.5","15.56666667","12.84","0.1565","0.059230769","0.101521739","4.6","2.666666667","2","0.622666667","0.467","0.233333333","0.175","75","13.91111111","20.75555556","7.777777778","28.53333333"
"","","GHP2018TUM-FT02","","","","","","","","","GHP2018TUM-FT02-00014","","","","3","21.93333333","6.733333333","69.30091185","1","32","40","18","18","20","18","1","1","44.44444444","12.1","3","72","4","9.12","7","1","1","7.26","1.86","4.04","15.2","13.16","0.226875","0.0465","0.126666667","3.6","1.777777778","1.6","0.506666667","0.456","0.224444444","0.202","90","13.44444444","16.88888889","7.481481481","24.37037037"
"","","GHP2018TUM-FT02","","","","","","","","","GHP2018TUM-FT02-00015","","","","7","30","10.2","66","1","44","15","17","16","20","15","3","1","74.57627119","19.03333333","3","59","3.6875","11.88","7","1","1","11.42","0.46","6.12","19.8","18","0.259545455","0.030666667","0.201355932","2.95","2.75","2.2","0.7425","0.594","0.3825","0.306","80","23.79166667","24.75","12.75","37.5"
"","","GHP2018TUM-FT02","","","","","","","","","GHP2018TUM-FT02-00016","","","","7","20.13333333","6.833333333","66.05960265","1","37","35","20","19","20","19","5","1","51.38888889","10.46666667","3","72","3.789473684","7.98","7","1","1","6.28","1.7","4.1","13.3","12.08","0.16972973","0.048571429","0.110833333","3.6","1.947368421","1.85","0.42","0.399","0.215789474","0.205","95","11.01754386","14","7.192982456","21.19298246"
"","","GHP2018TUM-FT02","","","","","","","","","GHP2018TUM-FT02-00002","","","","5","24.36666667","9.766666667","59.91792066","1","26","22","18","17","20","17","1","1","54.16666667","13.03333333","1","48","2.823529412","8.76","8","1","1","7.82","0.94","5.86","14.6","14.62","0.300769231","0.042727273","0.1825","2.4","1.529411765","1.3","0.515294118","0.438","0.344705882","0.293","85","15.33333333","17.17647059","11.49019608","28.66666667"
"","","GHP2018TUM-FT02","","","","","","","","","GHP2018TUM-FT02-00003","","","","5","16.13333333","5.5","65.90909091","1","27","36","18","17","20","17","1","1","42.85714286","7.766666667","5","63","3.705882353","6.38","8","1","1","4.66","1.72","3.3","10.63333333","9.68","0.172592593","0.047777778","0.101269841","3.15","1.588235294","1.35","0.375294118","0.319","0.194117647","0.165","85","9.137254902","12.50980392","6.470588235","18.98039216"
