"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Harvest index computing percent|CO_331:0000302","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Storage root size estimating 1-9|CO_331:0000184","Commercial storage root yield tons per ha|CO_331:0000809","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00001","","","","7","7.444444444","2.355555556","1.102865","2.3235171","68.35820896","11.6709194","1","30","42","29","25","30","20","1","60.2121849","28.7517255","3","41.66666667","5","3.955555556","19.7512512","72","2.88","4.58","4","1","2","3.56","1.02","2.12","5.088888889","6.7","0.118666667","0.024285714","0.063611111","2.4","1.2","1","0.1832","0.152666667","0.0848","0.070666667","83.33333333","1.316829028","4.746666667","6.106666667","2.826666667","1.463143364","1.755772037","8.933333333"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00010","","","","5","18.15555556","5.2","1.832281","2.3120699","71.35862913","0","3","57","74","30","30","30","30","3","65.3292313","27.35042735","1","43.51145038","3","10.84444444","15.7317429","131","4.366666667","11.66","6","1","2","9.76","1.9","4.68","12.95555556","16.34","0.17122807","0.025675676","0.089007634","4.366666667","1.9","1.9","0.388666667","0.388666667","0.156","0.156","100","3.189059829","10.84444444","12.95555556","5.2","3.54339981","3.54339981","18.15555556"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00011","","","","3","9.6","2.355555556","1.237833","2.9475081","75.46296296","21.6875992","5","36","52","28","25","30","25","7","53.5187988","21.93777078","3","40.90909091","5","5.711111111","20.5754013","88","3.52","6.52","5","1","1","5.14","1.38","2.12","7.244444444","8.64","0.142777778","0.026538462","0.074090909","2.933333333","1.44","1.2","0.2608","0.217333333","0.0848","0.070666667","83.33333333","1.430342655","6.853333333","8.693333333","2.826666667","1.589269617","1.90712354","11.52"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00012","","","","7","3.111111111","0.755555556","0.879164","1.885708","75.71428571","0","1","10","42","30","23","30","23","1","62.2199326","27.74806892","1","19.23076923","7","1.155555556","15.7903137","52","2.260869565","2.12","4","1","2","1.04","1.08","0.68","2.355555556","2.8","0.104","0.025714286","0.040769231","1.733333333","0.434782609","0.333333333","0.092173913","0.070666667","0.029565217","0.022666667","76.66666667","0.588259061","1.507246377","3.072463768","0.985507246","0.653621179","0.852549364","4.057971014"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00013","","","","5","6.666666667","1.422222222","1.696829","2.840246","78.66666667","3.658474","3","18","80","30","24","30","24","1","55.4540558","21.20434353","3","18.36734694","5","2.733333333","16.2924347","98","4.083333333","4.72","4","1","1","2.46","2.26","1.28","5.244444444","6","0.136666667","0.02825","0.048163265","3.266666667","0.75","0.6","0.196666667","0.157333333","0.053333333","0.042666667","80","1.000845015","3.416666667","6.555555556","1.777777778","1.112050016","1.39006252","8.333333333"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00014","","","","3","8.688888889","2.577777778","1.556473","3.1132801","70.33248082","19.6632061","1","30","63","28","25","30","25","1","53.5778313","26.77322677","5","32.25806452","5","4.222222222","19.6470184","93","3.72","5.5","5","1","1","3.8","1.7","2.32","6.111111111","7.82","0.126666667","0.026984127","0.059139785","3.1","1.2","1","0.22","0.183333333","0.0928","0.077333333","83.33333333","1.472527472","5.066666667","7.333333333","3.093333333","1.636141636","1.963369963","10.42666667"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00015","","","","5","8.711111111","2.955555556","1.558636","4.2454772","66.07142857","11.6148491","1","38","56","30","24","30","22","1","51.0111771","21.71131547","1","40.42553191","5","2.355555556","20.985199","94","3.916666667","5.18","5","1","1","2.12","3.06","2.66","5.755555556","7.84","0.055789474","0.054642857","0.055106383","3.133333333","1.583333333","1.266666667","0.215833333","0.172666667","0.110833333","0.088666667","80","1.124646141","2.944444444","7.194444444","3.694444444","1.249606824","1.56200853","10.88888889"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00016","","","","3","12.44444444","3.911111111","1.2052211","2.510586","68.57142857","9.7882862","1","30","73","30","26","30","26","1","58.4153214","30.07339814","1","29.12621359","5","5.688888889","16.9157181","103","3.961538462","7.68","4","1","1","5.12","2.56","3.52","8.533333333","11.2","0.170666667","0.035068493","0.074563107","3.433333333","1.153846154","1","0.295384615","0.256","0.135384615","0.117333333","86.66666667","2.309636977","6.564102564","9.846153846","4.512820513","2.566263308","2.961073048","14.35897436"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00017","","","","3","5.422222222","3.111111111","1.047592","2.2509749","42.62295082","15.4845314","1","12","22","29","21","30","16","1","59.2515297","31.44217417","1","35.29411765","7","1.577777778","18.5000839","34","1.619047619","2.08","4","1","2","1.42","0.66","2.8","2.311111111","4.88","0.118333333","0.03","0.061176471","1.133333333","0.571428571","0.4","0.099047619","0.069333333","0.133333333","0.093333333","70","0.653997223","2.253968254","3.301587302","4.444444444","0.726663581","1.03809083","7.746031746"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00018","","","","1","9.033333333","3.733333333","0.760551","2.0431471","58.67158672","12.8104324","1","26","34","30","23","30","23","1","59.504631","26.83599134","1","43.33333333","5","4.055555556","19.8541794","60","2.608695652","4.77","5","1","2","3.65","1.12","3.36","5.3","8.13","0.140384615","0.032941176","0.0795","2","1.130434783","0.866666667","0.207391304","0.159","0.146086957","0.112","76.66666667","1.280076787","5.289855072","6.913043478","4.869565217","1.422307541","1.855183749","11.7826087"
