"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009CKE-AT02","","","","","","","","","MZP2009CKE-AT02-00001","","","","39","39","1","1","8","16","28","26","35","98","4","9","3","2","5","7.23","5","2","4","4","13","29","133","0.114285714","0.091836735","0.097744361","4.75","3.41025641","1.25","0.897435897","0.464285714","0.333333333","0.571428571","0.41025641","26.31578947","44.82758621","71.79487179","3.798670465","5.291005291","12.34567901","17.1957672","15.19468186","21.16402116","27.54036087","38.35978836"
"","","MZP2009CKE-AT02","","","","","","","","","MZP2009CKE-AT02-00002","","","","39","39","1","1","9","17.5","26","24","33","253","3.5","8","4","3","5","11.03","5","2","4","4","11.5","29","286","0.106060606","0.031620553","0.04020979","11","7.333333333","1.269230769","0.846153846","0.442307692","0.294871795","0.673076923","0.448717949","11.53846154","39.65517241","66.66666667","3.323836657","4.985754986","10.92117759","16.38176638","16.61918329","24.92877493","27.54036087","41.31054131"
"","","MZP2009CKE-AT02","","","","","","","","","MZP2009CKE-AT02-00003","","","","39","39","1","1","8","21.5","24","15","17","23","3","1","4","4","4","4.61","5","2","5","4","4","25.5","40","0.176470588","0.043478261","0.1","1.666666667","1.025641026","0.708333333","0.435897436","0.166666667","0.102564103","0.895833333","0.551282051","42.5","15.68627451","61.53846154","2.849002849","4.62962963","3.798670465","6.172839506","20.41785375","33.17901235","24.21652422","39.35185185"
"","","MZP2009CKE-AT02","","","","","","","","","MZP2009CKE-AT02-00004","","","","39","39","1","1","9","8.2","19","11","29","28","2","1","4","4","4","10.5","5","2","3","4","3","11.2","57","0.068965517","0.035714286","0.052631579","3","1.461538462","1.526315789","0.743589744","0.157894737","0.076923077","0.431578947","0.21025641","50.87719298","26.78571429","48.71794872","1.899335233","3.898635478","2.849002849","5.847953216","7.787274454","15.98440546","10.6362773","21.83235867"
"","","MZP2009CKE-AT02","","","","","","","","","MZP2009CKE-AT02-00005","","","","39","39","1","1","9","13.5","28","20","25","43","4.8","3","4","4","4","7.76","5","2","4","5","7.8","21.3","68","0.192","0.069767442","0.114705882","2.428571429","1.743589744","0.892857143","0.641025641","0.278571429","0.2","0.482142857","0.346153846","36.76470588","36.61971831","71.79487179","4.558404558","6.349206349","7.407407407","10.31746032","12.82051282","17.85714286","20.22792023","28.17460317"
"","","MZP2009CKE-AT02","","","","","","","","","MZP2009CKE-AT02-00006","","","","39","39","1","1","9","15","33","25","25","271","4","6","4","4","5","10.5","4","3","5","3","10","25","296","0.16","0.022140221","0.033783784","8.96969697","7.58974359","0.757575758","0.641025641","0.303030303","0.256410256","0.454545455","0.384615385","8.445945946","40","84.61538462","3.798670465","4.489337823","9.496676163","11.22334456","14.24501425","16.83501684","23.74169041","28.05836139"
"","","MZP2009CKE-AT02","","","","","","","","","MZP2009CKE-AT02-00007","","","","39","39","1","1","9","11","29","23","50","40","4.5","1.2","4","4","4","11.03","5","3","3","3","5.7","16.7","90","0.09","0.03","0.063333333","3.103448276","2.307692308","1.724137931","1.282051282","0.196551724","0.146153846","0.379310345","0.282051282","55.55555556","34.13173653","74.35897436","4.273504274","5.747126437","5.413105413","7.279693487","10.44634378","14.04853129","15.85944919","21.32822478"
"","","MZP2009CKE-AT02","","","","","","","","","MZP2009CKE-AT02-00008","","","","39","39","1","1","9","18","24","24","59","55","24.5","8","4","3","5","7.76","5","3","4","3","32.5","50.5","114","0.415254237","0.145454545","0.285087719","4.75","2.923076923","2.458333333","1.512820513","1.354166667","0.833333333","0.75","0.461538462","51.75438596","64.35643564","61.53846154","23.2668566","37.80864198","30.86419753","50.15432099","17.09401709","27.77777778","47.95821462","77.93209877"
"","","MZP2009CKE-AT02","","","","","","","","","MZP2009CKE-AT02-00009","","","","39","39","1","1","8","11.5","25","21","54","33","3.2","3","3","2","4","14.37","2","2","5","4","6.2","17.7","87","0.059259259","0.090909091","0.071264368","3.48","2.230769231","2.16","1.384615385","0.248","0.158974359","0.46","0.294871795","62.06896552","35.02824859","64.1025641","3.038936372","4.740740741","5.887939221","9.185185185","10.92117759","17.03703704","16.80911681","26.22222222"
"","","MZP2009CKE-AT02","","","","","","","","","MZP2009CKE-AT02-00010","","","","39","39","1","1","9","17","29","25","34","50","3.2","6","5","4","4","12.39","5","3","2","3","9.2","26.2","84","0.094117647","0.12","0.10952381","2.896551724","2.153846154","1.172413793","0.871794872","0.317241379","0.235897436","0.586206897","0.435897436","40.47619048","35.11450382","74.35897436","3.038936372","4.086845466","8.73694207","11.74968072","16.14434948","21.71136654","24.88129155","33.46104725"
