"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00001","","","","5","5","1","1","5","4","4","10","12","3.5","1.9","3.5","3","3","3","7.76","5.4","8.9","22","0.35","0.158333333","0.245454545","5.5","4.4","2.5","2","1.35","1.08","0.875","0.7","45.45454545","60.6741573","80","25.92592593","32.40740741","40","50","25.92592593","32.40740741","65.92592593","82.40740741"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00002","","","","5","5","1","1","4","4","4","9","13","2.5","3","2.5","3","3","3","6.12","5.5","8","22","0.277777778","0.230769231","0.25","5.5","4.4","2.25","1.8","1.375","1.1","0.625","0.5","40.90909091","68.75","80","18.51851852","23.14814815","40.74074074","50.92592593","18.51851852","23.14814815","59.25925926","74.07407407"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00003","","","","5","5","1","1","4","4","4","9","9","3","1.5","2","3","3","2","","4.5","6.5","18","0.333333333","0.166666667","0.25","4.5","3.6","2.25","1.8","1.125","0.9","0.5","0.4","50","69.23076923","80","22.22222222","27.77777778","33.33333333","41.66666667","14.81481481","18.51851852","48.14814815","60.18518519"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00004","","","","5","5","1","2","3","4","4","3","10","1.2","2","2","3","3","1","0.15","3.2","5.2","13","0.4","0.2","0.246153846","3.25","2.6","0.75","0.6","0.8","0.64","0.5","0.4","23.07692308","61.53846154","80","8.888888889","11.11111111","23.7037037","29.62962963","14.81481481","18.51851852","38.51851852","48.14814815"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00005","","","","5","5","1","1","5","4","4","8","13","2","1.7","3","3","4","4","7.23","3.7","6.7","21","0.25","0.130769231","0.176190476","5.25","4.2","2","1.6","0.925","0.74","0.75","0.6","38.0952381","55.2238806","80","14.81481481","18.51851852","27.40740741","34.25925926","22.22222222","27.77777778","49.62962963","62.03703704"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00006","","","","5","5","1","1","4","4","4","0","29","0","2.5","2.5","3","3","3","4.61","2.5","5","29","","0.086206897","0.086206897","7.25","5.8","0","0","0.625","0.5","0.625","0.5","0","50","80","0","0","18.51851852","23.14814815","18.51851852","23.14814815","37.03703704","46.2962963"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00007","","","","5","5","1","1","4","4","4","8","7","1.5","0.7","2","3","3","4","3.03","2.2","4.2","15","0.1875","0.1","0.146666667","3.75","3","2","1.6","0.55","0.44","0.5","0.4","53.33333333","52.38095238","80","11.11111111","13.88888889","16.2962963","20.37037037","14.81481481","18.51851852","31.11111111","38.88888889"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00008","","","","5","5","1","1","7","4","3","8","9","3","2","3.5","3","3","5","6.12","5","8.5","17","0.375","0.222222222","0.294117647","4.25","3.4","2","1.6","1.25","1","0.875","0.7","47.05882353","58.82352941","80","22.22222222","27.77777778","37.03703704","46.2962963","25.92592593","32.40740741","62.96296296","78.7037037"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00009","","","","5","5","1","1","5","3","3","4","6","2","2.2","6.5","4","3","2","7.23","4.2","10.7","10","0.5","0.366666667","0.42","3.333333333","2","1.333333333","0.8","1.4","0.84","2.166666667","1.3","40","39.25233645","60","14.81481481","24.69135802","31.11111111","51.85185185","48.14814815","80.24691358","79.25925926","132.0987654"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00010","","","","5","5","1","1","4","4","4","7","12","3","2","4.5","3","3","4","1.76","5","9.5","19","0.428571429","0.166666667","0.263157895","4.75","3.8","1.75","1.4","1.25","1","1.125","0.9","36.84210526","52.63157895","80","22.22222222","27.77777778","37.03703704","46.2962963","33.33333333","41.66666667","70.37037037","87.96296296"
