"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00001","","","","8","7","1","4","6","7","7","11","8","5","4.5","5","5","5","4","11.03","9.5","14.5","19","0.454545455","0.5625","0.5","2.714285714","2.375","1.571428571","1.375","1.357142857","1.1875","0.714285714","0.625","57.89473684","65.51724138","87.5","23.14814815","26.45502646","43.98148148","50.26455026","23.14814815","26.45502646","67.12962963","76.71957672"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00002","","","","8","6","1","4","4","6","6","7","8","6","2.5","3.5","3","4","4","10.5","8.5","12","15","0.857142857","0.3125","0.566666667","2.5","1.875","1.166666667","0.875","1.416666667","1.0625","0.583333333","0.4375","46.66666667","70.83333333","75","27.77777778","37.03703704","39.35185185","52.4691358","16.2037037","21.60493827","55.55555556","74.07407407"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00003","","","","8","8","1","3","4","8","7","11","13","4","1.2","4","4","4","3","","5.2","9.2","24","0.363636364","0.092307692","0.216666667","3","3","1.375","1.375","0.65","0.65","0.5","0.5","45.83333333","56.52173913","100","18.51851852","18.51851852","24.07407407","24.07407407","18.51851852","18.51851852","42.59259259","42.59259259"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00004","","","","8","7","1","5","4","7","5","15","21","6.5","2.5","1.5","4","4","4","6.12","9","10.5","36","0.433333333","0.119047619","0.25","5.142857143","4.5","2.142857143","1.875","1.285714286","1.125","0.214285714","0.1875","41.66666667","85.71428571","87.5","30.09259259","34.39153439","41.66666667","47.61904762","6.944444444","7.936507937","48.61111111","55.55555556"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00005","","","","8","8","1","3","3","8","6","6","16","2.2","1.8","2","3","3","4","3.03","4","6","22","0.366666667","0.1125","0.181818182","2.75","2.75","0.75","0.75","0.5","0.5","0.25","0.25","27.27272727","66.66666667","100","10.18518519","10.18518519","18.51851852","18.51851852","9.259259259","9.259259259","27.77777778","27.77777778"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00006","","","","8","6","1","3","3","6","6","8","15","4","4.2","2.3","5","5","4","14.37","8.2","10.5","23","0.5","0.28","0.356521739","3.833333333","2.875","1.333333333","1","1.366666667","1.025","0.383333333","0.2875","34.7826087","78.0952381","75","18.51851852","24.69135802","37.96296296","50.61728395","10.64814815","14.19753086","48.61111111","64.81481481"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00007","","","","8","8","2","3","5","8","7","8","6","3.9","1","4.4","4","4","4","0.15","4.9","9.3","14","0.4875","0.166666667","0.35","1.75","1.75","1","1","0.6125","0.6125","0.55","0.55","57.14285714","52.68817204","100","18.05555556","18.05555556","22.68518519","22.68518519","20.37037037","20.37037037","43.05555556","43.05555556"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00008","","","","8","8","1","5","3","8","8","9","0","5","0","3","3","3","4","","5","8","9","0.555555556","","0.555555556","1.125","1.125","1.125","1.125","0.625","0.625","0.375","0.375","100","62.5","100","23.14814815","23.14814815","23.14814815","23.14814815","13.88888889","13.88888889","37.03703704","37.03703704"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00009","","","","8","7","2","2","3","7","7","0","12","0","2","4","2","2","5","0.03","2","6","12","","0.166666667","0.166666667","1.714285714","1.5","0","0","0.285714286","0.25","0.571428571","0.5","0","33.33333333","87.5","0","0","9.259259259","10.58201058","18.51851852","21.16402116","27.77777778","31.74603175"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00010","","","","8","8","3","3","4","8","7","14","7","5.7","1.2","3","4","4","4","7.23","6.9","9.9","21","0.407142857","0.171428571","0.328571429","2.625","2.625","1.75","1.75","0.8625","0.8625","0.375","0.375","66.66666667","69.6969697","100","26.38888889","26.38888889","31.94444444","31.94444444","13.88888889","13.88888889","45.83333333","45.83333333"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00011","","","","8","7","3","4","3","7","6","9","16","4.8","1.4","5","4","3","4","0.02","6.2","11.2","25","0.533333333","0.0875","0.248","3.571428571","3.125","1.285714286","1.125","0.885714286","0.775","0.714285714","0.625","36","55.35714286","87.5","22.22222222","25.3968254","28.7037037","32.8042328","23.14814815","26.45502646","51.85185185","59.25925926"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00012","","","","8","6","1","3","4","6","6","20","22","6.5","4","4","4","2","4","4.61","10.5","14.5","42","0.325","0.181818182","0.25","7","5.25","3.333333333","2.5","1.75","1.3125","0.666666667","0.5","47.61904762","72.4137931","75","30.09259259","40.12345679","48.61111111","64.81481481","18.51851852","24.69135802","67.12962963","89.50617284"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00013","","","","8","6","2","3","3","6","5","18","37","5.1","3.9","4.1","5","5","4","7.23","9","13.1","55","0.283333333","0.105405405","0.163636364","9.166666667","6.875","3","2.25","1.5","1.125","0.683333333","0.5125","32.72727273","68.70229008","75","23.61111111","31.48148148","41.66666667","55.55555556","18.98148148","25.30864198","60.64814815","80.86419753"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00014","","","","8","6","1","2","5","6","6","13","8","8","1","6","5","5","4","0.03","9","15","21","0.615384615","0.125","0.428571429","3.5","2.625","2.166666667","1.625","1.5","1.125","1","0.75","61.9047619","60","75","37.03703704","49.38271605","41.66666667","55.55555556","27.77777778","37.03703704","69.44444444","92.59259259"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00015","","","","8","7","1","2","4","7","6","10","5","8.1","2","10.2","5","3","4","","10.1","20.3","15","0.81","0.4","0.673333333","2.142857143","1.875","1.428571429","1.25","1.442857143","1.2625","1.457142857","1.275","66.66666667","49.75369458","87.5","37.5","42.85714286","46.75925926","53.43915344","47.22222222","53.96825397","93.98148148","107.4074074"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00016","","","","8","5","1","3","3","5","5","5","16","1.5","1","1.8","2","2","4","0.15","2.5","4.3","21","0.3","0.0625","0.119047619","4.2","2.625","1","0.625","0.5","0.3125","0.36","0.225","23.80952381","58.13953488","62.5","6.944444444","11.11111111","11.57407407","18.51851852","8.333333333","13.33333333","19.90740741","31.85185185"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00017","","","","8","8","1","4","3","8","8","10","10","9","1","4","4","4","4","0.02","10","14","20","0.9","0.1","0.5","2.5","2.5","1.25","1.25","1.25","1.25","0.5","0.5","50","71.42857143","100","41.66666667","41.66666667","46.2962963","46.2962963","18.51851852","18.51851852","64.81481481","64.81481481"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00018","","","","8","7","2","3","3","7","7","16","36","3.5","4.5","4.1","3","3","4","7.23","8","12.1","52","0.21875","0.125","0.153846154","7.428571429","6.5","2.285714286","2","1.142857143","1","0.585714286","0.5125","30.76923077","66.11570248","87.5","16.2037037","18.51851852","37.03703704","42.32804233","18.98148148","21.69312169","56.01851852","64.02116402"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00019","","","","8","8","1","2","3","8","8","7","16","4","4","7.2","3","2","4","","8","15.2","23","0.571428571","0.25","0.347826087","2.875","2.875","0.875","0.875","1","1","0.9","0.9","30.43478261","52.63157895","100","18.51851852","18.51851852","37.03703704","37.03703704","33.33333333","33.33333333","70.37037037","70.37037037"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00020","","","","8","6","8","9","2","6","5","0","11","0","1.5","1.3","2","1","3","0.02","1.5","2.8","11","","0.136363636","0.136363636","1.833333333","1.375","0","0","0.25","0.1875","0.216666667","0.1625","0","53.57142857","75","0","0","6.944444444","9.259259259","6.018518519","8.024691358","12.96296296","17.28395062"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00021","","","","8","6","1","5","3","6","6","8","16","2","1","11.3","3","3","4","","3","14.3","24","0.25","0.0625","0.125","4","3","1.333333333","1","0.5","0.375","1.883333333","1.4125","33.33333333","20.97902098","75","9.259259259","12.34567901","13.88888889","18.51851852","52.31481481","69.75308642","66.2037037","88.27160494"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00022","","","","8","8","2","5","3","8","8","5","21","3.2","3","6.5","3","2","3","7.23","6.2","12.7","26","0.64","0.142857143","0.238461538","3.25","3.25","0.625","0.625","0.775","0.775","0.8125","0.8125","19.23076923","48.81889764","100","14.81481481","14.81481481","28.7037037","28.7037037","30.09259259","30.09259259","58.7962963","58.7962963"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00023","","","","8","7","2","3","4","7","7","20","17","6","1.5","2","4","3","4","","7.5","9.5","37","0.3","0.088235294","0.202702703","5.285714286","4.625","2.857142857","2.5","1.071428571","0.9375","0.285714286","0.25","54.05405405","78.94736842","87.5","27.77777778","31.74603175","34.72222222","39.68253968","9.259259259","10.58201058","43.98148148","50.26455026"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00024","","","","8","7","2","2","3","7","7","8","16","3","1.5","2.3","3","3","4","6.12","4.5","6.8","24","0.375","0.09375","0.1875","3.428571429","3","1.142857143","1","0.642857143","0.5625","0.328571429","0.2875","33.33333333","66.17647059","87.5","13.88888889","15.87301587","20.83333333","23.80952381","10.64814815","12.16931217","31.48148148","35.97883598"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00025","","","","8","6","1","3","4","6","6","12","13","4.5","1.2","7","4","4","4","10.5","5.7","12.7","25","0.375","0.092307692","0.228","4.166666667","3.125","2","1.5","0.95","0.7125","1.166666667","0.875","48","44.88188976","75","20.83333333","27.77777778","26.38888889","35.18518519","32.40740741","43.20987654","58.7962963","78.39506173"
