"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Total storage roots yield computation tons per ha|CO_331:0000296","Commercial storage root yield tons per ha|CO_331:0000809","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in kg per plot|CO_331:0000683","Harvest index computing percent|CO_331:0000302","Storage root dry matter content computing percent|CO_331:0000297","Survival index computing percent|CO_331:0000301","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Percentage of commercial storage root|CO_331:0000682","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009UMB-MT01","","","","","","","","","MZP2009UMB-MT01-00001","","","","23","16","1","1","4","7","16","16","31","6","18","1","3","4","4","0","3","7","11.27214171","9.661835749","11.27214171","14","50","30","69.56521739","49","0.193548387","0.055555556","0.142857143","3.0625","2.130434783","1.9375","1.347826087","0.4375","0.304347826","63.26530612","2.1","13.88888889","16.2037037","3.381642512","4.861111111","22.54428341","0.4375","0.304347826","16.2037037","32.40740741"
"","","MZP2009UMB-MT01","","","","","","","","","MZP2009UMB-MT01-00002","","","","23","17","1","1","3","6.5","17","17","44","10","9","0.3","4","3","5","0.15","5","10.3","16.58615137","16.10305958","10.46698873","16.8","61.30952381","22","73.91304348","53","0.227272727","0.033333333","0.194339623","3.117647059","2.304347826","2.588235294","1.913043478","0.605882353","0.447826087","83.01886792","2.266","21.78649237","22.44008715","3.648953301","4.936819172","27.0531401","0.382352941","0.282608696","14.16122004","36.60130719"
"","","MZP2009UMB-MT01","","","","","","","","","MZP2009UMB-MT01-00003","","","","23","15","1","1","5","12","15","14","25","5.2","42","4","3","4","4","7.76","4","9.2","14.81481481","8.373590982","19.3236715","21.2","43.39622642","26","65.2173913","67","0.208","0.095238095","0.137313433","4.466666667","2.913043478","1.666666667","1.086956522","0.613333333","0.4","37.31343284","2.392","12.83950617","22.71604938","3.851851852","5.90617284","34.13848631","0.8","0.52173913","29.62962963","52.34567901"
"","","MZP2009UMB-MT01","","","","","","","","","MZP2009UMB-MT01-00004","","","","23","10","4","2","4","6","10","10","38","10.1","9","2.5","4","4","3","1.5","3","12.6","20.28985507","16.26409018","9.661835749","18.6","67.74193548","30","43.47826087","47","0.265789474","0.277777778","0.268085106","4.7","2.043478261","3.8","1.652173913","1.26","0.547826087","80.85106383","3.78","37.40740741","46.66666667","6.086956522","14","29.95169082","0.6","0.260869565","22.22222222","68.88888889"
"","","MZP2009UMB-MT01","","","","","","","","","MZP2009UMB-MT01-00005","","","","23","16","1","1","6","10","16","15","23","5","12","0.4","4","4","4","7.76","4","5.4","8.695652174","8.051529791","16.10305958","15.4","35.06493506","26","69.56521739","35","0.217391304","0.033333333","0.154285714","2.1875","1.52173913","1.4375","1","0.3375","0.234782609","65.71428571","1.404","11.57407407","12.5","2.260869565","3.25","24.79871176","0.625","0.434782609","23.14814815","35.64814815"
"","","MZP2009UMB-MT01","","","","","","","","","MZP2009UMB-MT01-00006","","","","23","16","1","1","6","12.2","16","16","44","9.2","13","0.5","4","4","4","1.5","4","9.7","15.61996779","14.81481481","19.64573269","21.9","44.29223744","36","69.56521739","57","0.209090909","0.038461538","0.170175439","3.5625","2.47826087","2.75","1.913043478","0.60625","0.42173913","77.19298246","3.492","21.2962963","22.4537037","5.623188406","8.083333333","35.26570048","0.7625","0.530434783","28.24074074","50.69444444"
"","","MZP2009UMB-MT01","","","","","","","","","MZP2009UMB-MT01-00007","","","","23","14","1","1","7","20","14","13","23","8","21","2.1","4","3","4","0.02","4","10.1","16.26409018","12.88244767","32.20611916","30.1","33.55481728","34","60.86956522","44","0.347826087","0.1","0.229545455","3.142857143","1.913043478","1.642857143","1","0.721428571","0.439130435","52.27272727","3.434","21.16402116","26.71957672","5.52979066","9.084656085","48.47020934","1.428571429","0.869565217","52.91005291","79.62962963"
"","","MZP2009UMB-MT01","","","","","","","","","MZP2009UMB-MT01-00008","","","","23","15","1","1","5","6","15","15","37","10.2","46","3","3","3","4","0.03","4","13.2","21.25603865","16.42512077","9.661835749","19.2","68.75","32","65.2173913","83","0.275675676","0.065217391","0.159036145","5.533333333","3.608695652","2.466666667","1.608695652","0.88","0.573913043","44.57831325","4.224","25.18518519","32.59259259","6.801932367","10.42962963","30.9178744","0.4","0.260869565","14.81481481","47.40740741"
"","","MZP2009UMB-MT01","","","","","","","","","MZP2009UMB-MT01-00009","","","","23","9","1","1","4","6.5","9","7","14","2.5","5","0.1","3","2","5","0","5","2.6","4.186795491","4.025764895","10.46698873","9.1","28.57142857","30","39.13043478","19","0.178571429","0.02","0.136842105","2.111111111","0.826086957","1.555555556","0.608695652","0.288888889","0.113043478","73.68421053","0.78","10.28806584","10.69958848","1.256038647","3.209876543","14.65378422","0.722222222","0.282608696","26.74897119","37.44855967"
"","","MZP2009UMB-MT01","","","","","","","","","MZP2009UMB-MT01-00010","","","","23","19","1","1","5","8","19","19","26","8.3","28","3.9","4","3","4","4.41","2","12.2","19.64573269","13.36553945","12.88244767","20.2","60.3960396","34","82.60869565","54","0.319230769","0.139285714","0.225925926","2.842105263","2.347826087","1.368421053","1.130434783","0.642105263","0.530434783","48.14814815","4.148","16.17933723","23.78167641","6.679549114","8.085769981","32.52818035","0.421052632","0.347826087","15.59454191","39.37621832"
"","","MZP2009UMB-MT01","","","","","","","","","MZP2009UMB-MT01-00011","","","","23","18","1","1","8","25","18","18","29","17.1","30","3.2","4","4","4","3.76","4","20.3","32.68921095","27.53623188","40.25764895","45.3","44.81236203","32","78.26086957","59","0.589655172","0.106666667","0.344067797","3.277777778","2.565217391","1.611111111","1.260869565","1.127777778","0.882608696","49.15254237","6.496","35.18518519","41.76954733","10.4605475","13.36625514","72.9468599","1.388888889","1.086956522","51.44032922","93.20987654"
"","","MZP2009UMB-MT01","","","","","","","","","MZP2009UMB-MT01-00012","","","","23","12","1","1","5","8","12","12","23","11","14","1.4","4","3","4","4.41","5","12.4","19.96779388","17.71336554","12.88244767","20.4","60.78431373","24","52.17391304","37","0.47826087","0.1","0.335135135","3.083333333","1.608695652","1.916666667","1","1.033333333","0.539130435","62.16216216","2.976","33.95061728","38.27160494","4.792270531","9.185185185","32.85024155","0.666666667","0.347826087","24.69135802","62.96296296"
