"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00001","","","","23","23","1","1","9","15","6","6","20","1","2","0.1","4","4","5","5","2","4","4","2.1","17.1","21","0.1","0.1","0.1","3.5","0.913043478","3.333333333","0.869565217","0.35","0.091304348","2.5","0.652173913","95.23809524","12.28070175","26.08695652","3.220611916","12.34567901","3.381642512","12.96296296","24.15458937","92.59259259","27.53623188","105.5555556"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00002","","","","23","23","1","1","9","12","12","12","13","30","3","2.5","4","4","5","5","2","4","4","5.5","17.5","43","0.230769231","0.083333333","0.127906977","3.583333333","1.869565217","1.083333333","0.565217391","0.458333333","0.239130435","1","0.52173913","30.23255814","31.42857143","52.17391304","4.830917874","9.259259259","8.85668277","16.97530864","19.3236715","37.03703704","28.18035427","54.01234568"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00003","","","","23","23","1","1","9","25","11","11","22","90","6","6","4","4","4","5","2","3","4","12","37","112","0.272727273","0.066666667","0.107142857","10.18181818","4.869565217","2","0.956521739","1.090909091","0.52173913","2.272727273","1.086956522","19.64285714","32.43243243","47.82608696","9.661835749","20.2020202","19.3236715","40.4040404","40.25764895","84.17508418","59.58132045","124.5791246"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00004","","","","23","23","1","1","9","18","18","18","30","46","5","3","4","4","4","5","2","4","4","8","26","76","0.166666667","0.065217391","0.105263158","4.222222222","3.304347826","1.666666667","1.304347826","0.444444444","0.347826087","1","0.782608696","39.47368421","30.76923077","78.26086957","8.051529791","10.28806584","12.88244767","16.46090535","28.98550725","37.03703704","41.86795491","53.49794239"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00005","","","","23","23","1","1","9","20","20","20","30","59","5","4.5","4","4","4","5","2","4","4","9.5","29.5","89","0.166666667","0.076271186","0.106741573","4.45","3.869565217","1.5","1.304347826","0.475","0.413043478","1","0.869565217","33.70786517","32.20338983","86.95652174","8.051529791","9.259259259","15.2979066","17.59259259","32.20611916","37.03703704","47.50402576","54.62962963"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00006","","","","23","23","1","1","8","17","14","14","0","34","0","2.5","4","3","4","4","2","5","4","2.5","19.5","34","","0.073529412","0.073529412","2.428571429","1.47826087","0","0","0.178571429","0.108695652","1.214285714","0.739130435","0","12.82051282","60.86956522","0","0","4.025764895","6.613756614","27.37520129","44.97354497","31.40096618","51.58730159"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00007","","","","23","23","1","1","9","27","12","12","44","48","5","2","4","3","4","5","3","4","4","7","34","92","0.113636364","0.041666667","0.076086957","7.666666667","4","3.666666667","1.913043478","0.583333333","0.304347826","2.25","1.173913043","47.82608696","20.58823529","52.17391304","8.051529791","15.43209877","11.27214171","21.60493827","43.47826087","83.33333333","54.75040258","104.9382716"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00008","","","","23","23","1","1","9","26","11","11","58","58","7","3","4","4","5","4","2","4","4","10","36","116","0.120689655","0.051724138","0.086206897","10.54545455","5.043478261","5.272727273","2.52173913","0.909090909","0.434782609","2.363636364","1.130434783","50","27.77777778","47.82608696","11.27214171","23.56902357","16.10305958","33.67003367","41.86795491","87.54208754","57.97101449","121.2121212"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00009","","","","23","23","1","1","9","22","11","11","0","54","0","3","4","3","4","5","2","4","4","3","25","54","","0.055555556","0.055555556","4.909090909","2.347826087","0","0","0.272727273","0.130434783","2","0.956521739","0","12","47.82608696","0","0","4.830917874","10.1010101","35.42673108","74.07407407","40.25764895","84.17508418"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00010","","","","23","23","1","1","9","24","8","8","45","60","4","4","4","3","4","","","","","8","32","105","0.088888889","0.066666667","0.076190476","13.125","4.565217391","5.625","1.956521739","1","0.347826087","3","1.043478261","42.85714286","25","34.7826087","6.441223833","18.51851852","12.88244767","37.03703704","38.647343","111.1111111","51.52979066","148.1481481"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00011","","","","23","21","1","1","9","28","12","12","0","29","0","2.5","4","2","5","","","","","2.5","30.5","29","","0.086206897","0.086206897","2.416666667","1.260869565","0","0","0.208333333","0.108695652","2.333333333","1.217391304","0","8.196721311","52.17391304","0","0","4.025764895","7.716049383","45.08856683","86.41975309","49.11433172","94.13580247"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00012","","","","23","22","1","1","9","20","6","4","1","10","0.3","1","3","3","5","5","2","4","4","1.3","21.3","11","0.3","0.1","0.118181818","1.833333333","0.47826087","0.166666667","0.043478261","0.216666667","0.056521739","3.333333333","0.869565217","9.090909091","6.103286385","26.08695652","0.483091787","1.851851852","2.093397746","8.024691358","32.20611916","123.4567901","34.29951691","131.4814815"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00013","","","","23","22","1","1","8","19.8","7","7","3","16","1","2","4","4","4","5","2","4","4","3","22.8","19","0.333333333","0.125","0.157894737","2.714285714","0.826086957","0.428571429","0.130434783","0.428571429","0.130434783","2.828571429","0.860869565","15.78947368","13.15789474","30.43478261","1.610305958","5.291005291","4.830917874","15.87301587","31.88405797","104.7619048","36.71497585","120.6349206"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00014","","","","23","16","1","1","8","24.4","8","8","7","31","1","2","3","3","4","5","2","5","4","3","27.4","38","0.142857143","0.064516129","0.078947368","4.75","1.652173913","0.875","0.304347826","0.375","0.130434783","3.05","1.060869565","18.42105263","10.94890511","34.7826087","1.610305958","4.62962963","4.830917874","13.88888889","39.29146538","112.962963","44.12238325","126.8518519"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00015","","","","23","19","1","1","6","25.8","9","9","3","23","0.2","1","4","3","3","2","2","4","4","1.2","27","26","0.066666667","0.043478261","0.046153846","2.888888889","1.130434783","0.333333333","0.130434783","0.133333333","0.052173913","2.866666667","1.12173913","11.53846154","4.444444444","39.13043478","0.322061192","0.823045267","1.93236715","4.938271605","41.54589372","106.1728395","43.47826087","111.1111111"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00016","","","","23","12","1","1","4","2.4","7","7","4","5","1","1.5","4","4","4","","","","","2.5","4.9","9","0.25","0.3","0.277777778","1.285714286","0.391304348","0.571428571","0.173913043","0.357142857","0.108695652","0.342857143","0.104347826","44.44444444","51.02040816","30.43478261","1.610305958","5.291005291","4.025764895","13.22751323","3.8647343","12.6984127","7.890499195","25.92592593"
