"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fiber content in raw storage roots estimating 1-9|CO_331:0001038","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Total storage roots yield computation tons per ha|CO_331:0000296","Commercial storage root yield tons per ha|CO_331:0000809","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in kg per plot|CO_331:0000683","Harvest index computing percent|CO_331:0000302","Storage root dry matter content computing percent|CO_331:0000297","Survival index computing percent|CO_331:0000301","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00001","","","","39","39","1","1","9","10.5","32","30","62","34","11","2.5","5","5","4","29.03","11.03","3","3","3","3","13.5","12.82051282","10.44634378","9.971509972","24","56.25","29.03","82.05128205","96","0.177419355","0.073529412","0.140625","3","2.461538462","1.9375","1.58974359","0.421875","0.346153846","0.328125","0.269230769","64.58333333","3.91905","12.73148148","15.625","12.15277778","3.721794872","4.5359375","22.79202279","27.77777778"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00002","","","","39","39","1","1","9","22","24","10","11","20","2.5","1","4","4","4","30.6","4.92","1","2","4","4","3.5","3.323836657","2.374169041","20.89268756","25.5","13.7254902","30.6","61.53846154","31","0.227272727","0.05","0.112903226","1.291666667","0.794871795","0.458333333","0.282051282","0.145833333","0.08974359","0.916666667","0.564102564","35.48387097","1.071","3.858024691","5.401234568","33.95061728","1.017094017","1.652777778","24.21652422","39.35185185"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00003","","","","39","30","1","1","9","20","22","15","0","70","0","13","4","4","4","32.28","1.65","4","2","5","5","13","12.34567901","0","18.99335233","33","39.39393939","32.28","56.41025641","70","","0.185714286","0.185714286","3.181818182","1.794871795","0","0","0.590909091","0.333333333","0.909090909","0.512820513","0","4.1964","0","21.88552189","33.67003367","3.985185185","7.064646465","31.33903134","55.55555556"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00004","","","","39","37","1","1","9","23.5","25","22","55","43","12","2.5","4","4","4","","1.74","5","2","5","4","14.5","13.77018044","11.3960114","22.31718898","38","38.15789474","","64.1025641","98","0.218181818","0.058139535","0.147959184","3.92","2.512820513","2.2","1.41025641","0.58","0.371794872","0.94","0.602564103","56.12244898","","17.77777778","21.48148148","34.81481481","","","36.08736942","56.2962963"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00005","","","","39","39","1","1","9","31","20","6","54","30","7.2","2.5","4","4","4","","7.76","3","2","3","4","9.7","9.211775878","6.837606838","29.43969611","40.7","23.83292383","","51.28205128","84","0.133333333","0.083333333","0.11547619","4.2","2.153846154","2.7","1.384615385","0.485","0.248717949","1.55","0.794871795","64.28571429","","13.33333333","17.96296296","57.40740741","","","38.65147198","75.37037037"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00006","","","","39","39","1","1","9","27","27","18","15","37","3.5","2.5","4","3","4","32.9","1.65","5","3","3","4","6","5.698005698","3.323836657","25.64102564","33","18.18181818","32.9","69.23076923","52","0.233333333","0.067567568","0.115384615","1.925925926","1.333333333","0.555555556","0.384615385","0.222222222","0.153846154","1","0.692307692","28.84615385","1.974","4.801097394","8.230452675","37.03703704","1.874643875","2.70781893","31.33903134","45.26748971"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00007","","","","39","39","1","1","9","23","31","28","50","51","12","3.8","4","4","4","35.64","7.76","4","2","5","4","15.8","15.00474834","11.3960114","21.84235518","38.8","40.72164948","35.64","79.48717949","101","0.24","0.074509804","0.156435644","3.258064516","2.58974359","1.612903226","1.282051282","0.509677419","0.405128205","0.741935484","0.58974359","49.5049505","5.63112","14.33691756","18.87694146","27.479092","5.347692308","6.727741935","36.84710351","46.35603345"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00008","","","","39","38","1","1","9","21","27","12","22","19","4","2","5","4","4","","5.46","2","2","3","4","6","5.698005698","3.798670465","19.94301994","27","22.22222222","","69.23076923","41","0.181818182","0.105263158","0.146341463","1.518518519","1.051282051","0.814814815","0.564102564","0.222222222","0.153846154","0.777777778","0.538461538","53.65853659","","5.48696845","8.230452675","28.80658436","","","25.64102564","37.03703704"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00009","","","","39","39","1","1","9","12","35","15","48","12","10","1.3","4","5","4","29.6","14.37","5","2","3","4","11.3","10.73124406","9.496676163","11.3960114","23.3","48.49785408","29.6","89.74358974","60","0.208333333","0.108333333","0.188333333","1.714285714","1.538461538","1.371428571","1.230769231","0.322857143","0.28974359","0.342857143","0.307692308","80","3.3448","10.58201058","11.95767196","12.6984127","3.176448243","3.539470899","22.12725546","24.65608466"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00010","","","","39","39","1","1","9","17","26","22","89","47","10","2.2","5","4","4","31.3","7.23","5","2","4","4","12.2","11.58594492","9.496676163","16.14434948","29.2","41.78082192","31.3","66.66666667","136","0.112359551","0.046808511","0.089705882","5.230769231","3.487179487","3.423076923","2.282051282","0.469230769","0.312820513","0.653846154","0.435897436","65.44117647","3.8186","14.24501425","17.37891738","24.21652422","3.62640076","5.43960114","27.7302944","41.5954416"
