"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root dry matter content computing percent|CO_331:0000297","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00001","","","","39","39","3","4","9","6","16","15","33","28","6","5","4","4","3","30.26","0.15","5","2","4","4","11","17","61","0.181818182","0.178571429","0.180327869","3.8125","1.564102564","2.0625","0.846153846","0.6875","0.282051282","0.375","0.153846154","54.09836066","64.70588235","41.02564103","3.3286","5.698005698","13.88888889","10.44634378","25.46296296","5.698005698","13.88888889","3.161063628","7.705092593","16.14434948","39.35185185"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00002","","","","39","38","1","4","9","7.5","26","24","46","52","6","2","3","4","4","30.08","14.37","5","2","4","4","8","15.5","98","0.130434783","0.038461538","0.081632653","3.769230769","2.512820513","1.769230769","1.179487179","0.307692308","0.205128205","0.288461538","0.192307692","46.93877551","51.61290323","66.66666667","2.4064","5.698005698","8.547008547","7.597340931","11.3960114","7.122507123","10.68376068","2.285280152","3.427920228","14.71984805","22.07977208"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00003","","","","39","25","4","6","7","5","14","13","13","48","2.5","2","3","4","4","30.55","14.37","5","2","5","4","4.5","9.5","61","0.192307692","0.041666667","0.073770492","4.357142857","1.564102564","0.928571429","0.333333333","0.321428571","0.115384615","0.357142857","0.128205128","21.31147541","47.36842105","35.8974359","1.37475","2.374169041","6.613756614","4.273504274","11.9047619","4.748338082","13.22751323","1.305555556","3.636904762","9.021842355","25.13227513"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00004","","","","39","37","1","1","8","25","27","24","40","42","7","3.5","4","2","4","22.85","1.17","4","2","4","4","10.5","35.5","82","0.175","0.083333333","0.12804878","3.037037037","2.102564103","1.481481481","1.025641026","0.388888889","0.269230769","0.925925926","0.641025641","48.7804878","29.57746479","69.23076923","2.39925","6.647673314","9.602194787","9.971509972","14.40329218","23.74169041","34.29355281","2.278490028","3.291152263","33.71320038","48.69684499"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00005","","","","39","39","1","1","9","9","23","23","60","33","8.5","2","4","3","4","30.04","0.69","5","2","5","4","10.5","19.5","93","0.141666667","0.060606061","0.112903226","4.043478261","2.384615385","2.608695652","1.538461538","0.456521739","0.269230769","0.391304348","0.230769231","64.51612903","53.84615385","58.97435897","3.1542","8.072174739","13.68760064","9.971509972","16.90821256","8.547008547","14.49275362","2.995441595","5.079227053","18.51851852","31.40096618"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00006","","","","39","39","3","4","9","4.5","21","18","24","22","4.5","1.9","4","4","5","30.26","11.03","5","2","5","4","6.4","10.9","46","0.1875","0.086363636","0.139130435","2.19047619","1.179487179","1.142857143","0.615384615","0.304761905","0.164102564","0.214285714","0.115384615","52.17391304","58.71559633","53.84615385","1.93664","4.273504274","7.936507937","6.077872745","11.28747795","4.273504274","7.936507937","1.839164292","3.415590829","10.35137702","19.22398589"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00007","","","","39","39","1","1","9","6.2","18","14","15","75","1","2.5","3","4","5","30.38","10.5","5","2","4","4","3.5","9.7","90","0.066666667","0.033333333","0.038888889","5","2.307692308","0.833333333","0.384615385","0.194444444","0.08974359","0.344444444","0.158974359","16.66666667","36.08247423","46.15384615","1.0633","0.949667616","2.057613169","3.323836657","7.201646091","5.887939221","12.75720165","1.009781576","2.187860082","9.211775878","19.95884774"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00008","","","","39","30","1","1","9","7","26","25","20","80","4.5","5","4","4","5","30.36","14.37","5","2","4","4","9.5","16.5","100","0.225","0.0625","0.095","3.846153846","2.564102564","0.769230769","0.512820513","0.365384615","0.243589744","0.269230769","0.179487179","20","57.57575758","66.66666667","2.8842","4.273504274","6.41025641","9.021842355","13.53276353","6.647673314","9.971509972","2.739031339","4.108547009","15.66951567","23.5042735"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00009","","","","39","36","1","1","9","14.3","22","22","70","67","15","4","4","4","4","30.38","14.37","5","2","4","4","19","33.3","137","0.214285714","0.059701493","0.138686131","6.227272727","3.512820513","3.181818182","1.794871795","0.863636364","0.487179487","0.65","0.366666667","51.09489051","57.05705706","56.41025641","5.7722","14.24501425","25.25252525","18.04368471","31.98653199","13.58024691","24.07407407","5.481671415","9.717508418","31.62393162","56.06060606"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00010","","","","39","38","1","1","8","8","15","12","34","21","3","1","3","3","5","30.09","11.03","5","2","4","4","4","12","55","0.088235294","0.047619048","0.072727273","3.666666667","1.41025641","2.266666667","0.871794872","0.266666667","0.102564103","0.533333333","0.205128205","61.81818182","33.33333333","38.46153846","1.2036","2.849002849","7.407407407","3.798670465","9.87654321","7.597340931","19.75308642","1.143019943","2.971851852","11.3960114","29.62962963"
