"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207"," Content of total sugars estimating 1-9|CO_331:0000766"," Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00001","","","","26","21","1","1","4","13","13","22","17","3","1.5","2","6","3","3","5","1","0","4.5","6.5","39","0.136363636","0.088235294","0.115384615","3","1.5","1.692307692","0.846153846","0.346153846","0.173076923","0.153846154","0.076923077","56.41025641","69.23076923","50","4.273504274","8.547008547","6.41025641","12.82051282","2.849002849","5.698005698","9.259259259","18.51851852"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00002","","","","26","24","1","1","4","24","20","9","13","2.7","1","3","5","5","3","5","3","6.12","3.7","6.7","22","0.3","0.076923077","0.168181818","0.916666667","0.846153846","0.375","0.346153846","0.154166667","0.142307692","0.125","0.115384615","40.90909091","55.2238806","92.30769231","3.846153846","4.166666667","5.270655271","5.709876543","4.273504274","4.62962963","9.544159544","10.33950617"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00003","","","","26","25","1","1","4","23","23","15","22","2.7","2.4","2.9","6","5","3","5","1","0.15","5.1","8","37","0.18","0.109090909","0.137837838","1.608695652","1.423076923","0.652173913","0.576923077","0.22173913","0.196153846","0.126086957","0.111538462","40.54054054","63.75","88.46153846","3.846153846","4.347826087","7.264957265","8.212560386","4.131054131","4.669887279","11.3960114","12.88244767"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00004","","","","26","26","3","4","5","19","19","3","17","0.4","1.3","5","1","5","7","3","3","6.12","1.7","6.7","20","0.133333333","0.076470588","0.085","1.052631579","0.769230769","0.157894737","0.115384615","0.089473684","0.065384615","0.263157895","0.192307692","15","25.37313433","73.07692308","0.56980057","0.779727096","2.421652422","3.313840156","7.122507123","9.746588694","9.544159544","13.06042885"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00005","","","","26","8","1","1","2","2","1","0","2","0","0.3","1","4","5","9","5","5","14.37","0.3","1.3","2","","0.15","0.15","1","0.076923077","0","0","0.15","0.011538462","0.5","0.038461538","0","23.07692308","7.692307692","0","0","0.427350427","5.555555556","1.424501425","18.51851852","1.851851852","24.07407407"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00006","","","","26","19","1","1","2","8","8","4","18","1","1.2","1.2","3","5","5","3","3","10.5","2.2","3.4","22","0.25","0.066666667","0.1","2.75","0.846153846","0.5","0.153846154","0.275","0.084615385","0.15","0.046153846","18.18181818","64.70588235","30.76923077","1.424501425","4.62962963","3.133903134","10.18518519","1.709401709","5.555555556","4.843304843","15.74074074"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00007","","","","26","26","1","1","4","17","17","12","10","2","1","7","1","5","1","5","3","0","3","10","22","0.166666667","0.1","0.136363636","1.294117647","0.846153846","0.705882353","0.461538462","0.176470588","0.115384615","0.411764706","0.269230769","54.54545455","30","65.38461538","2.849002849","4.357298475","4.273504274","6.535947712","9.971509972","15.25054466","14.24501425","21.78649237"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00008","","","","26","24","1","1","3","19","19","6","33","1.2","2","3","4","3","3","5","3","12.39","3.2","6.2","39","0.2","0.060606061","0.082051282","2.052631579","1.5","0.315789474","0.230769231","0.168421053","0.123076923","0.157894737","0.115384615","15.38461538","51.61290323","73.07692308","1.709401709","2.339181287","4.558404558","6.237816764","4.273504274","5.847953216","8.831908832","12.08576998"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00009","","","","26","26","1","2","2","14","14","15","18","4","1.2","2","2","3","3","5","3","10.5","5.2","7.2","33","0.266666667","0.066666667","0.157575758","2.357142857","1.269230769","1.071428571","0.576923077","0.371428571","0.2","0.142857143","0.076923077","45.45454545","72.22222222","53.84615385","5.698005698","10.58201058","7.407407407","13.75661376","2.849002849","5.291005291","10.25641026","19.04761905"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00010","","","","26","25","1","2","7","20","20","15","43","8","5","2.1","2","5","3","3","1","0","13","15.1","58","0.533333333","0.11627907","0.224137931","2.9","2.230769231","0.75","0.576923077","0.65","0.5","0.105","0.080769231","25.86206897","86.09271523","76.92307692","11.3960114","14.81481481","18.51851852","24.07407407","2.991452991","3.888888889","21.50997151","27.96296296"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00011","","","","26","24","3","6","5","23","23","22","22","8.2","2.3","2.5","3","3","5","3","1","0.12","10.5","13","44","0.372727273","0.104545455","0.238636364","1.913043478","1.692307692","0.956521739","0.846153846","0.456521739","0.403846154","0.108695652","0.096153846","50","80.76923077","88.46153846","11.68091168","13.20450886","14.95726496","16.90821256","3.561253561","4.025764895","18.51851852","20.93397746"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00012","","","","26","26","1","1","4","17","17","18","27","7.7","2","2","5","3","5","3","1","0.02","9.7","11.7","45","0.427777778","0.074074074","0.215555556","2.647058824","1.730769231","1.058823529","0.692307692","0.570588235","0.373076923","0.117647059","0.076923077","40","82.90598291","65.38461538","10.96866097","16.77559913","13.81766382","21.1328976","2.849002849","4.357298475","16.66666667","25.49019608"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00013","","","","26","25","1","1","6","20","20","27","37","9.9","3.4","2.2","7","3","3","3","3","14.37","13.3","15.5","64","0.366666667","0.091891892","0.2078125","3.2","2.461538462","1.35","1.038461538","0.665","0.511538462","0.11","0.084615385","42.1875","85.80645161","76.92307692","14.1025641","18.33333333","18.94586895","24.62962963","3.133903134","4.074074074","22.07977208","28.7037037"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00014","","","","26","26","1","2","5","24","24","22","71","6.5","5","2.5","6","3","3","3","1","0.02","11.5","14","93","0.295454545","0.070422535","0.123655914","3.875","3.576923077","0.916666667","0.846153846","0.479166667","0.442307692","0.104166667","0.096153846","23.65591398","82.14285714","92.30769231","9.259259259","10.0308642","16.38176638","17.74691358","3.561253561","3.858024691","19.94301994","21.60493827"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00015","","","","26","25","1","2","5","22","22","28","39","9","2","3","6","3","3","5","1","0","11","14","67","0.321428571","0.051282051","0.164179104","3.045454545","2.576923077","1.272727273","1.076923077","0.5","0.423076923","0.136363636","0.115384615","41.79104478","78.57142857","84.61538462","12.82051282","15.15151515","15.66951567","18.51851852","4.273504274","5.050505051","19.94301994","23.56902357"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00016","","","","26","24","3","4","7","24","24","18","13","7","1","4","6","1","3","5","1","0","8","12","31","0.388888889","0.076923077","0.258064516","1.291666667","1.192307692","0.75","0.692307692","0.333333333","0.307692308","0.166666667","0.153846154","58.06451613","66.66666667","92.30769231","9.971509972","10.80246914","11.3960114","12.34567901","5.698005698","6.172839506","17.09401709","18.51851852"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00017","","","","26","25","1","2","5","18","18","28","29","12","2","2","5","1","1","5","1","0","14","16","57","0.428571429","0.068965517","0.245614035","3.166666667","2.192307692","1.555555556","1.076923077","0.777777778","0.538461538","0.111111111","0.076923077","49.12280702","87.5","69.23076923","17.09401709","24.69135802","19.94301994","28.80658436","2.849002849","4.115226337","22.79202279","32.9218107"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00018","","","","26","26","1","1","6","22","22","17","21","2","1.5","2.3","2","5","7","5","1","0","3.5","5.8","38","0.117647059","0.071428571","0.092105263","1.727272727","1.461538462","0.772727273","0.653846154","0.159090909","0.134615385","0.104545455","0.088461538","44.73684211","60.34482759","84.61538462","2.849002849","3.367003367","4.985754986","5.892255892","3.276353276","3.872053872","8.262108262","9.764309764"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00019","","","","26","25","2","3","4","18","18","14","22","2.5","1.2","3","7","3","3","5","5","14.37","3.7","6.7","36","0.178571429","0.054545455","0.102777778","2","1.384615385","0.777777778","0.538461538","0.205555556","0.142307692","0.166666667","0.115384615","38.88888889","55.2238806","69.23076923","3.561253561","5.144032922","5.270655271","7.613168724","4.273504274","6.172839506","9.544159544","13.78600823"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00020","","","","26","26","1","1","4","20","20","28","34","10","2.1","2.5","7","3","3","5","1","0","12.1","14.6","62","0.357142857","0.061764706","0.19516129","3.1","2.384615385","1.4","1.076923077","0.605","0.465384615","0.125","0.096153846","45.16129032","82.87671233","76.92307692","14.24501425","18.51851852","17.23646724","22.40740741","3.561253561","4.62962963","20.7977208","27.03703704"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00021","","","","26","21","1","1","4","21","21","20","24","8","2","3","6","3","3","3","1","0.15","10","13","44","0.4","0.083333333","0.227272727","2.095238095","1.692307692","0.952380952","0.769230769","0.476190476","0.384615385","0.142857143","0.115384615","45.45454545","76.92307692","80.76923077","11.3960114","14.10934744","14.24501425","17.6366843","4.273504274","5.291005291","18.51851852","22.92768959"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00022","","","","26","21","1","3","4","15","13","5","9","1","0.4","1.5","2","5","1","3","3","10.5","1.4","2.9","14","0.2","0.044444444","0.1","0.933333333","0.538461538","0.333333333","0.192307692","0.093333333","0.053846154","0.1","0.057692308","35.71428571","48.27586207","57.69230769","1.424501425","2.469135802","1.994301994","3.456790123","2.136752137","3.703703704","4.131054131","7.160493827"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00023","","","","26","26","1","2","5","21","21","30","16","8","1.3","3","6","3","3","3","1","0","9.3","12.3","46","0.266666667","0.08125","0.202173913","2.19047619","1.769230769","1.428571429","1.153846154","0.442857143","0.357692308","0.142857143","0.115384615","65.2173913","75.6097561","80.76923077","11.3960114","14.10934744","13.24786325","16.4021164","4.273504274","5.291005291","17.52136752","21.69312169"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00024","","","","26","24","1","1","4","21","21","17","22","5.5","1.3","1.5","7","3","3","5","3","14.37","6.8","8.3","39","0.323529412","0.059090909","0.174358974","1.857142857","1.5","0.80952381","0.653846154","0.323809524","0.261538462","0.071428571","0.057692308","43.58974359","81.92771084","80.76923077","7.834757835","9.700176367","9.686609687","11.99294533","2.136752137","2.645502646","11.82336182","14.63844797"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00025","","","","26","21","1","1","4","21","21","8","22","1.5","1.6","3.5","6","5","3","5","3","0.12","3.1","6.6","30","0.1875","0.072727273","0.103333333","1.428571429","1.153846154","0.380952381","0.307692308","0.147619048","0.119230769","0.166666667","0.134615385","26.66666667","46.96969697","80.76923077","2.136752137","2.645502646","4.415954416","5.467372134","4.985754986","6.172839506","9.401709402","11.64021164"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00026","","","","26","21","2","2","4","21","1","0","3","0","0.3","2","1","9","5","5","3","0","0.3","2.3","3","","0.1","0.1","0.142857143","0.115384615","0","0","0.014285714","0.011538462","0.095238095","0.076923077","0","13.04347826","80.76923077","0","0","0.427350427","0.529100529","2.849002849","3.527336861","3.276353276","4.05643739"
