"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207"," Content of total sugars estimating 1-9|CO_331:0000766","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Vine dry matter yield per NET plot in tons per ha|CO_331:0001005","Vine dry matter yield adjusted per NET plot in tons per ha|CO_331:0001006","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00001","","","","39","38","1","1","7","22","10","0","12","0","2.5","11","5","5","9","5","3","7.76","2.5","13.5","12","","0.208333333","0.208333333","0.545454545","0.307692308","0","0","0.113636364","0.064102564","0.5","0.282051282","0","18.51851852","56.41025641","0","0","2.374169041","4.208754209","10.44634378","18.51851852","52.38095238","92.85714286","12.82051282","22.72727273"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00002","","","","39","30","3","3","5","13","9","0","11","0","2","4.5","5","5","7","5","3","7.23","2","6.5","11","","0.181818182","0.181818182","0.846153846","0.282051282","0","0","0.153846154","0.051282051","0.346153846","0.115384615","0","30.76923077","33.33333333","0","0","1.899335233","5.698005698","4.273504274","12.82051282","21.42857143","64.28571429","6.172839506","18.51851852"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00003","","","","39","36","1","5","5","12","0","0","0","0","0","7.5","","","","","","","0","7.5","0","","","","0","0","0","0","0","0","0.625","0.192307692","","0","30.76923077","0","0","0","0","7.122507123","23.14814815","","","7.122507123","23.14814815"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00004","","","","39","34","1","1","5","14","6","0","8","0","1.5","3","2","5","9","5","3","5.49","1.5","4.5","8","","0.1875","0.1875","0.571428571","0.205128205","0","0","0.107142857","0.038461538","0.214285714","0.076923077","0","33.33333333","35.8974359","0","0","1.424501425","3.968253968","2.849002849","7.936507937","4.761904762","13.26530612","4.273504274","11.9047619"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00005","","","","39","39","1","1","5","24","7","0","9","0","2.2","10.2","5","3","7","1","1","1.5","2.2","12.4","9","","0.244444444","0.244444444","0.375","0.230769231","0","0","0.091666667","0.056410256","0.425","0.261538462","0","17.74193548","61.53846154","0","0","2.089268756","3.395061728","9.686609687","15.74074074","1.942857143","3.157142857","11.77587844","19.13580247"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00006","","","","39","38","1","3","5","23","23","0","34","0","2.9","3.5","4","5","5","7","5","10.5","2.9","6.4","34","","0.085294118","0.085294118","1.47826087","0.871794872","0","0","0.126086957","0.074358974","0.152173913","0.08974359","0","45.3125","58.97435897","0","0","2.754036087","4.669887279","3.323836657","5.636070853","23.33333333","39.56521739","6.077872745","10.30595813"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00007","","","","39","20","3","3","5","4","4","0","7","0","1.2","2.5","5","7","7","5","3","7.23","1.2","3.7","7","","0.171428571","0.171428571","1.75","0.179487179","0","0","0.3","0.030769231","0.625","0.064102564","0","32.43243243","10.25641026","0","0","1.13960114","11.11111111","2.374169041","23.14814815","11.9047619","116.0714286","3.51377018","34.25925926"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00008","","","","39","18","1","5","3","8","0","0","0","0","0","4","","","","","","","0","4","0","","","","0","0","0","0","0","0","0.5","0.102564103","","0","20.51282051","0","0","0","0","3.798670465","18.51851852","","","3.798670465","18.51851852"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00009","","","","39","20","3","3","5","15","2","0","4","0","1","3","6","5","5","3","3","4.61","1","4","4","","0.25","0.25","0.266666667","0.102564103","0","0","0.066666667","0.025641026","0.2","0.076923077","0","25","38.46153846","0","0","0.949667616","2.469135802","2.849002849","7.407407407","2.857142857","7.428571429","3.798670465","9.87654321"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00010","","","","39","24","1","5","5","17","2","0","5","0","1","25","2","5","7","3","1","1.04","1","26","5","","0.2","0.2","0.294117647","0.128205128","0","0","0.058823529","0.025641026","1.470588235","0.641025641","0","3.846153846","43.58974359","0","0","0.949667616","2.178649237","23.74169041","54.46623094","14.28571429","32.77310924","24.69135802","56.64488017"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00011","","","","39","29","1","3","5","29","9","0","12","0","3.5","5","2","5","5","3","3","4.92","3.5","8.5","12","","0.291666667","0.291666667","0.413793103","0.307692308","0","0","0.120689655","0.08974359","0.172413793","0.128205128","0","41.17647059","74.35897436","0","0","3.323836657","4.469987229","4.748338082","6.385696041","2.040816327","2.744546094","8.072174739","10.85568327"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00012","","","","39","13","1","3","3","13","1","0","3","0","0.5","3.5","8","7","1","3","3","6.12","0.5","4","3","","0.166666667","0.166666667","0.230769231","0.076923077","0","0","0.038461538","0.012820513","0.269230769","0.08974359","0","12.5","33.33333333","0","0","0.474833808","1.424501425","3.323836657","9.971509972","10","30","3.798670465","11.3960114"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00013","","","","39","36","1","1","7","11","0","0","0","0","0","5.2","","","","","","","0","5.2","0","","","","0","0","0","0","0","0","0.472727273","0.133333333","","0","28.20512821","0","0","0","0","4.938271605","17.50841751","","","4.938271605","17.50841751"
