"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00001","","","","39","27","1","2","5","14","5","0","13","0","0.3","3.5","4","6","9","7.76","0.3","3.8","13","","0.023076923","0.023076923","0.928571429","0.333333333","0","0","0.021428571","0.007692308","0.25","0.08974359","0","7.894736842","35.8974359","0","0","0.284900285","0.793650794","3.323836657","9.259259259","3.608736942","10.05291005"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00002","","","","39","17","1","1","3","8","2","0","2","0","0.3","0.8","5","4","7","1.5","0.3","1.1","2","","0.15","0.15","0.25","0.051282051","0","0","0.0375","0.007692308","0.1","0.020512821","0","27.27272727","20.51282051","0","0","0.284900285","1.388888889","0.759734093","3.703703704","1.044634378","5.092592593"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00003","","","","39","12","1","3","6","12","4","0","4","0","0.1","6","2","6","2","7.23","0.1","6.1","4","","0.025","0.025","0.333333333","0.102564103","0","0","0.008333333","0.002564103","0.5","0.153846154","0","1.639344262","30.76923077","0","0","0.094966762","0.308641975","5.698005698","18.51851852","5.79297246","18.82716049"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00004","","","","39","21","3","1","7","12","7","0","7","0","1.5","24","7","6","9","1.04","1.5","25.5","7","","0.214285714","0.214285714","0.583333333","0.179487179","0","0","0.125","0.038461538","2","0.615384615","0","5.882352941","30.76923077","0","0","1.424501425","4.62962963","22.79202279","74.07407407","24.21652422","78.7037037"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00005","","","","39","11","2","1","6","6","2","0","5","0","0.3","1.5","4","6","5","7.23","0.3","1.8","5","","0.06","0.06","0.833333333","0.128205128","0","0","0.05","0.007692308","0.25","0.038461538","0","16.66666667","15.38461538","0","0","0.284900285","1.851851852","1.424501425","9.259259259","1.709401709","11.11111111"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00006","","","","39","24","1","2","7","18","18","0","36","0","6","8","7","6","9","6.12","6","14","36","","0.166666667","0.166666667","2","0.923076923","0","0","0.333333333","0.153846154","0.444444444","0.205128205","0","42.85714286","46.15384615","0","0","5.698005698","12.34567901","7.597340931","16.46090535","13.29534663","28.80658436"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00007","","","","39","21","1","2","7","18","15","17","27","6.5","5","18","7","7","9","3.76","11.5","29.5","44","0.382352941","0.185185185","0.261363636","2.444444444","1.128205128","0.944444444","0.435897436","0.638888889","0.294871795","1","0.461538462","38.63636364","38.98305085","46.15384615","6.172839506","13.3744856","10.92117759","23.66255144","17.09401709","37.03703704","28.01519468","60.69958848"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00008","","","","39","22","4","3","7","22","22","8","110","1.5","6.5","25","6","7","8","6.12","8","33","118","0.1875","0.059090909","0.06779661","5.363636364","3.025641026","0.363636364","0.205128205","0.363636364","0.205128205","1.136363636","0.641025641","6.779661017","24.24242424","56.41025641","1.424501425","2.525252525","7.597340931","13.46801347","23.74169041","42.08754209","31.33903134","55.55555556"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00009","","","","39","25","2","4","7","17","9","7","14","1","0.6","15","5","5","6","11.03","1.6","16.6","21","0.142857143","0.042857143","0.076190476","1.235294118","0.538461538","0.411764706","0.179487179","0.094117647","0.041025641","0.882352941","0.384615385","33.33333333","9.638554217","43.58974359","0.949667616","2.178649237","1.519468186","3.48583878","14.24501425","32.67973856","15.76448243","36.16557734"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00010","","","","39","22","4","3","7","19","8","1","8","0.2","1","20","6","6","5","0.02","1.2","21.2","9","0.2","0.125","0.133333333","0.473684211","0.230769231","0.052631579","0.025641026","0.063157895","0.030769231","1.052631579","0.512820513","11.11111111","5.660377358","48.71794872","0.189933523","0.389863548","1.13960114","2.339181287","18.99335233","38.98635478","20.13295347","41.32553606"
