"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Number of plants with storage roots per NET plot|CO_331:0000211","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Commercial storage root yield tons per ha|CO_331:0000809","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207"," Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259"," Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Fiber content in raw storage roots estimating 1-9|CO_331:0001038","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00001","","","","25","24","2","21","12","45","67","13","4","19.25925926","7","2","5","6.12","4","4","5","5","2","5","2","4","4","18.53","17","29","112","0.288888889","0.059701493","0.151785714","4.48","1.8","0.68","0.48","40.17857143","58.62068966","3.1501","25.18518519","17.77777778","4.666814815","42.96296296"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00002","","","","25","23","2","15","4.1","58","78","12","4","17.77777778","6","3","6","0.15","4","4","4","5","4","5","3","4","3","31.67","16","20.1","136","0.206896552","0.051282051","0.117647059","5.44","2.32","0.64","0.164","42.64705882","79.60199005","5.0672","23.7037037","6.074074074","7.506962963","29.77777778"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00003","","","","25","25","1","18","6.6","40","36","5","1","7.407407407","3","9","4","0.12","2","1","5","5","5","5","3","4","3","7.14","6","12.6","76","0.125","0.027777778","0.078947368","3.04","1.6","0.24","0.264","52.63157895","47.61904762","0.4284","8.888888889","9.777777778","0.634666667","18.66666667"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00004","","","","25","25","4","18","7.6","20","47","7.5","2","11.11111111","6","4","1","1.17","3","3","5","5","4","4","2","3","3","12.84","9.5","17.1","67","0.375","0.042553191","0.141791045","2.68","0.8","0.38","0.304","29.85074627","55.55555556","1.2198","14.07407407","11.25925926","1.807111111","25.33333333"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00005","","","","25","25","6","25","8","71","71","14","3","20.74074074","6","1","1","0","2","1","5","5","3","4","3","4","3","23.91","17","25","142","0.197183099","0.042253521","0.11971831","5.68","2.84","0.68","0.32","50","68","4.0647","25.18518519","11.85185185","6.021777778","37.03703704"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00006","","","","25","25","2","20","4.5","48","118","5","4.5","7.407407407","5","2","6","0.02","4","3","5","5","4","4","3","2","3","24.86","9.5","14","166","0.104166667","0.038135593","0.057228916","6.64","1.92","0.38","0.18","28.91566265","67.85714286","2.3617","14.07407407","6.666666667","3.498814815","20.74074074"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00007","","","","25","24","2","22","6","40","50","8","2.5","11.85185185","4","2","6","6.12","4","3","5","5","3","4","2","4","4","25.97","10.5","16.5","90","0.2","0.05","0.116666667","3.6","1.6","0.42","0.24","44.44444444","63.63636364","2.72685","15.55555556","8.888888889","4.039777778","24.44444444"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00008","","","","25","25","9","20","2.1","31","72","7.5","3.5","11.11111111","4","4","6","5.46","3","3","5","5","2","5","2","5","4","22.17","11","13.1","103","0.241935484","0.048611111","0.106796117","4.12","1.24","0.44","0.084","30.09708738","83.96946565","2.4387","16.2962963","3.111111111","3.612888889","19.40740741"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00009","","","","25","25","4","20","2","26","49","3.5","2","5.185185185","3","1","9","6.12","3","3","5","5","4","5","2","4","4","28.5","5.5","7.5","75","0.134615385","0.040816327","0.073333333","3","1.04","0.22","0.08","34.66666667","73.33333333","1.5675","8.148148148","2.962962963","2.322222222","11.11111111"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00010","","","","25","25","2","20","4.7","26","50","4.5","2.5","6.666666667","5","2","9","0.02","3","3","5","5","4","5","3","3","3","21.22","7","11.7","76","0.173076923","0.05","0.092105263","3.04","1.04","0.28","0.188","34.21052632","59.82905983","1.4854","10.37037037","6.962962963","2.200592593","17.33333333"
