"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_irrigated","treatment_non_irrigated"
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00001","","","","26","24","1","1","4","24","22","29","50","3","1.4","5","5","4","2","1","5","7","5","3.93","1.94","1.43","55.12","47.255","60.19","1.63","2.94","12.2","4.4","9.4","79","0.103448276","0.028","0.055696203","3.291666667","3.038461538","1.208333333","1.115384615","0.183333333","0.169230769","0.208333333","0.192307692","36.70886076","46.80851064","92.30769231","4.273504274","4.62962963","6.267806268","6.790123457","7.122507123","7.716049383","13.39031339","14.50617284","1",""
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00002","","","","26","26","1","1","4","26","19","21","36","2.8","1.5","3","6","7","1","1","5","5","5","3.59","1.84","1.16","110.24","34.156","60.47","4.38","6.66","7.23","4.3","7.3","57","0.133333333","0.041666667","0.075438596","2.192307692","2.192307692","0.807692308","0.807692308","0.165384615","0.165384615","0.115384615","0.115384615","36.84210526","58.90410959","100","3.988603989","3.988603989","6.125356125","6.125356125","4.273504274","4.273504274","10.3988604","10.3988604","1",""
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00003","","","","26","19","1","1","4","10","9","9","6","1.5","0.5","7","5","5","1","1","5","7","5","3.56","1.5","0.97","56.95","32.67","63.1","2.98","4.46","9.45","2","9","15","0.166666667","0.083333333","0.133333333","1.5","0.576923077","0.9","0.346153846","0.2","0.076923077","0.7","0.269230769","60","22.22222222","38.46153846","2.136752137","5.555555556","2.849002849","7.407407407","9.971509972","25.92592593","12.82051282","33.33333333","1",""
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00004","","","","26","21","1","1","6","21","9","18","17","2","1.1","7","5","4","1","2","7","9","3","3.32","1.36","0.9","32.67","16.21","63.32","2.12","3.41","10.87","3.1","10.1","35","0.111111111","0.064705882","0.088571429","1.666666667","1.346153846","0.857142857","0.692307692","0.147619048","0.119230769","0.333333333","0.269230769","51.42857143","30.69306931","80.76923077","2.849002849","3.527336861","4.415954416","5.467372134","9.971509972","12.34567901","14.38746439","17.81305115","1",""
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00005","","","","26","25","1","1","7","17","17","32","27","5","1.5","10","6","6","1","1","3","5","5","2.99","1.4","0.79","32.47","15.314","66.25","3.65","5.11","4.01","6.5","16.5","59","0.15625","0.055555556","0.110169492","3.470588235","2.269230769","1.882352941","1.230769231","0.382352941","0.25","0.588235294","0.384615385","54.23728814","39.39393939","65.38461538","7.122507123","10.89324619","9.259259259","14.16122004","14.24501425","21.78649237","23.5042735","35.94771242","1",""
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00006","","","","26","20","1","1","7","18","18","27","32","4","1.5","7","7","4","1","1","7","7","3","3.77","1.46","1.08","54.69","0","59.68","3.81","5.83","11.66","5.5","12.5","59","0.148148148","0.046875","0.093220339","3.277777778","2.269230769","1.5","1.038461538","0.305555556","0.211538462","0.388888889","0.269230769","45.76271186","44","69.23076923","5.698005698","8.230452675","7.834757835","11.31687243","9.971509972","14.40329218","17.80626781","25.72016461","1",""
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00007","","","","26","26","1","1","7","17","17","40","23","6","1.4","16.8","6","6","1","1","5","3","5","4.31","1.97","1.15","49.54","35.127","55.07","5.74","8.07","8.94","7.4","24.2","63","0.15","0.060869565","0.117460317","3.705882353","2.423076923","2.352941176","1.538461538","0.435294118","0.284615385","0.988235294","0.646153846","63.49206349","30.5785124","65.38461538","8.547008547","13.07189542","10.54131054","16.12200436","23.93162393","36.60130719","34.47293447","52.72331155","1",""
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00008","","","","26","20","1","1","6","20","19","20","51","2","2","7.5","4","3","1","1","3","9","5","3.03","1.56","1.01","65.41","20.189","65.12","4.39","6.53","4.82","4","11.5","71","0.1","0.039215686","0.056338028","3.55","2.730769231","1","0.769230769","0.2","0.153846154","0.375","0.288461538","28.16901408","34.7826087","76.92307692","2.849002849","3.703703704","5.698005698","7.407407407","10.68376068","13.88888889","16.38176638","21.2962963","1",""
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00009","","","","26","25","1","1","7","16","14","47","65","6.2","3","16.5","5","5","1","1","3","3","5","4.33","2.14","1.12","103.03","43.123","48.86","8.21","12.06","10.51","9.2","25.7","112","0.131914894","0.046153846","0.082142857","7","4.307692308","2.9375","1.807692308","0.575","0.353846154","1.03125","0.634615385","41.96428571","35.79766537","61.53846154","8.831908832","14.35185185","13.10541311","21.2962963","23.5042735","38.19444444","36.60968661","59.49074074","1",""
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00010","","","","26","25","1","1","6","22","20","20","27","4","1.2","13.2","6","6","1","1","7","7","3","3.11","1.34","0.79","50.68","9.935","61.77","5.05","6.89","7.53","5.2","18.4","47","0.2","0.044444444","0.110638298","2.136363636","1.807692308","0.909090909","0.769230769","0.236363636","0.2","0.6","0.507692308","42.55319149","28.26086957","84.61538462","5.698005698","6.734006734","7.407407407","8.754208754","18.8034188","22.22222222","26.21082621","30.97643098","1",""
