"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_irrigation","treatment_non_irrigation"
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00001","","","","26","25","1","1","8","25","25","32","15","7","1.5","6","5","4","2","1","7","9","1","4.69","1.35","0.82","140.19","73.8","150.805","72.63","1.28","3.06","10.32","8.5","14.5","47","0.21875","0.1","0.180851064","1.88","1.807692308","1.28","1.230769231","0.34","0.326923077","0.24","0.230769231","68.08510638","58.62068966","96.15384615","9.971509972","10.37037037","12.10826211","12.59259259","8.547008547","8.888888889","20.65527066","21.48148148","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00002","","","","26","20","1","3","7","18","18","28","22","5.5","2","5","3","4","2","1","7","9","1","3.4","1.86","1.13","126.14","99.43","30.806","56.51","3.65","6","16.01","7.5","12.5","50","0.196428571","0.090909091","0.15","2.777777778","1.923076923","1.555555556","1.076923077","0.416666667","0.288461538","0.277777778","0.192307692","56","60","69.23076923","7.834757835","11.31687243","10.68376068","15.43209877","7.122507123","10.28806584","17.80626781","25.72016461","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00003","","","","26","22","1","3","8","21","21","29","28","4.2","1.5","12.2","5","4","1","1","7","9","1","5.75","2.11","1.36","159.54","98.17","142.082","63.73","1.69","4.29","12.37","5.7","17.9","57","0.144827586","0.053571429","0.1","2.714285714","2.192307692","1.380952381","1.115384615","0.271428571","0.219230769","0.580952381","0.469230769","50.87719298","31.84357542","80.76923077","5.982905983","7.407407407","8.11965812","10.05291005","17.37891738","21.51675485","25.4985755","31.5696649","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00004","","","","26","2","1","1","4","2","2","4","5","1.2","0.1","0.6","6","4","1","1","9","9","1","","","","","","","","","","","1.3","1.9","9","0.3","0.02","0.144444444","4.5","0.346153846","2","0.153846154","0.65","0.05","0.3","0.023076923","44.44444444","68.42105263","7.692307692","1.709401709","22.22222222","1.851851852","24.07407407","0.854700855","11.11111111","2.706552707","35.18518519","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00005","","","","26","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00006","","","","26","21","3","4","7","15","10","13","28","2","1.5","26.5","5","6","1","1","7","7","1","3.57","1.81","1.03","194.33","94.47","70.433","70.56","1.56","4.36","14.02","3.5","30","41","0.153846154","0.053571429","0.085365854","2.733333333","1.576923077","0.866666667","0.5","0.233333333","0.134615385","1.766666667","1.019230769","31.70731707","11.66666667","57.69230769","2.849002849","4.938271605","4.985754986","8.641975309","37.74928775","65.43209877","42.73504274","74.07407407","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00007","","","","26","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00008","","","","26","26","1","1","9","20","20","38","48","8.2","4","32","3","4","1","1","5","7","3","1.4","1.04","0.47","5.23","44.74","111.81","48.62","12.03","15.76","6.12","12.2","44.2","86","0.215789474","0.083333333","0.141860465","4.3","3.307692308","1.9","1.461538462","0.61","0.469230769","1.6","1.230769231","44.18604651","27.60180995","76.92307692","11.68091168","15.18518519","17.37891738","22.59259259","45.58404558","59.25925926","62.96296296","81.85185185","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00009","","","","26","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00010","","","","26","18","1","1","6","9","9","1","0","0.2","0","1.5","6","6","1","3","5","7","3","5.06","1.78","1.02","124.54","91.04","177.699","64.79","1.5","3.71","11.53","0.2","1.7","1","0.2","","0.2","0.111111111","0.038461538","0.111111111","0.038461538","0.022222222","0.007692308","0.166666667","0.057692308","100","11.76470588","34.61538462","0.284900285","0.823045267","0.284900285","0.823045267","2.136752137","6.172839506","2.421652422","6.995884774","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00011","","","","26","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00012","","","","26","22","3","2","7","16","16","20","14","4.5","2","11","3","2","2","1","9","7","3","2.78","0.94","0.6","72.14","53.92","1.591","68.91","1.27","2.78","16.15","6.5","17.5","34","0.225","0.142857143","0.191176471","2.125","1.307692308","1.25","0.769230769","0.40625","0.25","0.6875","0.423076923","58.82352941","37.14285714","61.53846154","6.41025641","10.41666667","9.259259259","15.0462963","15.66951567","25.46296296","24.92877493","40.50925926","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00013","","","","26","26","1","1","6","24","9","13","13","1.2","1","8","6","8","1","1","9","9","1","3.86","1.38","1.01","64.7","47.92","19.368","70.51","1.18","2.96","10.43","2.2","10.2","26","0.092307692","0.076923077","0.084615385","1.083333333","1","0.541666667","0.5","0.091666667","0.084615385","0.333333333","0.307692308","50","21.56862745","92.30769231","1.709401709","1.851851852","3.133903134","3.395061728","11.3960114","12.34567901","14.52991453","15.74074074","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00014","","","","26","24","3","1","6","20","20","40","16","5","2.5","7.5","6","6","1","1","9","7","3","4.29","1.48","1.18","157.27","83.16","54.429","67.4","1.52","3.98","14.43","7.5","15","56","0.125","0.15625","0.133928571","2.8","2.153846154","2","1.538461538","0.375","0.288461538","0.375","0.288461538","71.42857143","50","76.92307692","7.122507123","9.259259259","10.68376068","13.88888889","10.68376068","13.88888889","21.36752137","27.77777778","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00015","","","","26","20","1","3","7","11","6","9","0","1.8","0","17.5","6","7","1","1","7","7","3","4.75","1.44","0.96","136.12","71.33","121.67","69.95","1.5","3.71","13.62","1.8","19.3","9","0.2","","0.2","0.818181818","0.346153846","0.818181818","0.346153846","0.163636364","0.069230769","1.590909091","0.673076923","100","9.32642487","42.30769231","2.564102564","6.060606061","2.564102564","6.060606061","24.92877493","58.92255892","27.49287749","64.98316498","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00016","","","","26","21","3","2","6","13","10","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","50","0","0","","","","","","","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00017","","","","26","26","1","1","6","20","20","20","19","6","3","44.5","4","6","2","3","7","7","3","","","","","","","","","","","9","53.5","39","0.3","0.157894737","0.230769231","1.95","1.5","1","0.769230769","0.45","0.346153846","2.225","1.711538462","51.28205128","16.82242991","76.92307692","8.547008547","11.11111111","12.82051282","16.66666667","63.39031339","82.40740741","76.21082621","99.07407407","1",""
