"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00001","","","","39","30","1","3","5","20","20","10","26","5","4.5","12","3","3","3","7","1","1","1","5.71","2.06","1.56","0","57.69","3.12","5.33","10.05","0.15","9.5","21.5","36","0.5","0.173076923","0.263888889","1.8","0.923076923","0.5","0.256410256","0.475","0.243589744","0.6","0.307692308","27.77777778","44.18604651","51.28205128","4.748338082","9.259259259","9.021842355","17.59259259","11.3960114","22.22222222","20.41785375","39.81481481"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00002","","","","39","25","3","5","7","10","10","5","7","1.2","1.1","8","7","7","1","5","1","1","1","4.17","1.78","1.42","6.47","57.85","2.79","4.85","12.25","0.3","2.3","10.3","12","0.24","0.157142857","0.191666667","1.2","0.307692308","0.5","0.128205128","0.23","0.058974359","0.8","0.205128205","41.66666667","22.33009709","25.64102564","1.13960114","4.444444444","2.184235518","8.518518519","7.597340931","29.62962963","9.781576448","38.14814815"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00003","","","","39","20","1","1","5","20","20","11","15","2","1.5","17.5","5","3","1","7","1","1","1","5.6","1.81","1.58","10.06","61.15","2.37","4.77","8.67","0.38","3.5","21","26","0.181818182","0.1","0.134615385","1.3","0.666666667","0.55","0.282051282","0.175","0.08974359","0.875","0.448717949","42.30769231","16.66666667","51.28205128","1.899335233","3.703703704","3.323836657","6.481481481","16.61918329","32.40740741","19.94301994","38.88888889"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00004","","","","39","30","1","3","5","30","30","15","25","6.5","3.5","16.4","3","3","1","7","1","1","1","5.9","1.82","1.6","0","63.1","1.55","3.53","7.22","0.27","10","26.4","40","0.433333333","0.14","0.25","1.333333333","1.025641026","0.5","0.384615385","0.333333333","0.256410256","0.546666667","0.420512821","37.5","37.87878788","76.92307692","6.172839506","8.024691358","9.496676163","12.34567901","15.57454891","20.24691358","25.07122507","32.59259259"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00005","","","","39","29","1","3","5","29","29","16","40","4","2.5","16.2","3","5","3","5","1","1","1","4.66","1.61","1.38","0","63.92","1.89","3.53","7.03","0.33","6.5","22.7","56","0.25","0.0625","0.116071429","1.931034483","1.435897436","0.551724138","0.41025641","0.224137931","0.166666667","0.55862069","0.415384615","28.57142857","28.63436123","74.35897436","3.798670465","5.108556833","6.172839506","8.301404853","15.38461538","20.68965517","21.55745489","28.99106003"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00006","","","","39","26","1","5","7","24","20","6","15","1.3","2","9","5","3","1","7","1","1","1","5.81","1.93","1.59","80.94","53.76","3.38","5.96","16.33","0.75","3.3","12.3","21","0.216666667","0.133333333","0.157142857","0.875","0.538461538","0.25","0.153846154","0.1375","0.084615385","0.375","0.230769231","28.57142857","26.82926829","61.53846154","1.234567901","2.00617284","3.133903134","5.092592593","8.547008547","13.88888889","11.68091168","18.98148148"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00007","","","","39","29","1","3","7","29","29","10","42","2","5","20.1","5","5","1","1","5","3","3","5.72","1.94","1.38","3.73","63.39","2.03","4.13","5.35","0.24","7","27.1","52","0.2","0.119047619","0.134615385","1.793103448","1.333333333","0.344827586","0.256410256","0.24137931","0.179487179","0.693103448","0.515384615","19.23076923","25.8302583","74.35897436","1.899335233","2.554278416","6.647673314","8.939974457","19.08831909","25.67049808","25.7359924","34.61047254"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00008","","","","39","30","1","3","7","24","9","11","0","4","0","37.3","3","3","1","3","1","1","1","4.92","1.86","1.21","62.12","62.12","2.27","4.15","8.57","0.51","4","41.3","11","0.363636364","","0.363636364","0.458333333","0.282051282","0.458333333","0.282051282","0.166666667","0.102564103","1.554166667","0.956410256","100","9.685230024","61.53846154","3.798670465","6.172839506","3.798670465","6.172839506","35.42260209","57.5617284","39.22127255","63.7345679"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00009","","","","39","24","1","5","7","13","1","1","0","0.2","0","33.5","5","5","1","5","1","1","1","5.74","2.07","1.52","105.09","58.93","2.08","3.81","10.02","0.69","0.2","33.7","1","0.2","","0.2","0.076923077","0.025641026","0.076923077","0.025641026","0.015384615","0.005128205","2.576923077","0.858974359","100","0.59347181","33.33333333","0.189933523","0.56980057","0.189933523","0.56980057","31.81386515","95.44159544","32.00379867","96.01139601"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00010","","","","39","23","1","1","5","20","20","25","25","8","4.5","12.9","3","1","1","3","1","1","1","5.52","1.78","1.37","0","57.88","2.2","3.76","13.15","0.18","12.5","25.4","50","0.32","0.18","0.25","2.5","1.282051282","1.25","0.641025641","0.625","0.320512821","0.645","0.330769231","50","49.21259843","51.28205128","7.597340931","14.81481481","11.8708452","23.14814815","12.25071225","23.88888889","24.12155745","47.03703704"
