"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2012UMB-AT05","","","","","","","","","MZP2012UMB-AT05-00001","","","","39","25","4","4","5","22","15","14","21","3.5","2","4.8","7","7","2","50.52","10.84","2.55","1.43","1","108.34","57.56","28.05","51.01","8.46","12.15","9.57","5.5","10.3","35","0.25","0.095238095","0.157142857","1.590909091","0.897435897","0.636363636","0.358974359","0.25","0.141025641","0.218181818","0.123076923","40","53.39805825","56.41025641","21.45684877","1.180126683","3.323836657","5.892255892","5.22317189","9.259259259","4.558404558","8.080808081","1.120728094","1.986745257","9.781576448","17.34006734"
"","","MZP2012UMB-AT05","","","","","","","","","MZP2012UMB-AT05-00002","","","","39","30","1","1","7","20","13","6","8","1.8","1","17","6","7","1","50.48","18.2","2.43","1.02","0.94","124.88","59.06","","62.06","6.32","9.75","3.24","2.8","19.8","14","0.3","0.125","0.2","0.7","0.358974359","0.3","0.153846154","0.14","0.071794872","0.85","0.435897436","42.85714286","14.14141414","51.28205128","36.05388273","1.009508716","1.709401709","3.333333333","2.659069326","5.185185185","16.14434948","31.48148148","0.958697736","1.869460586","18.8034188","36.66666667"
"","","MZP2012UMB-AT05","","","","","","","","","MZP2012UMB-AT05-00003","","","","39","31","5","1","6","22","15","25","47","3.4","3","12.8","6","6","1","50.83","14.23","3.66","1.74","1.47","117.43","120.68","41.67","47.72","3.7","6.75","21.49","6.4","19.2","72","0.136","0.063829787","0.088888889","3.272727273","1.846153846","1.136363636","0.641025641","0.290909091","0.164102564","0.581818182","0.328205128","34.72222222","33.33333333","56.41025641","27.99527838","1.791697816","3.228869896","5.723905724","6.077872745","10.77441077","12.15574549","21.54882155","1.701517394","3.01632629","18.23361823","32.32323232"
"","","MZP2012UMB-AT05","","","","","","","","","MZP2012UMB-AT05-00004","","","","39","24","3","2","6","19","13","9","18","4","2.2","11.5","7","7","1","50.89","11.8","3.02","1.49","1.13","87.72","79.69","27.89","51.81","4.55","7.54","19.84","6.2","17.7","27","0.444444444","0.122222222","0.22962963","1.421052632","0.692307692","0.473684211","0.230769231","0.326315789","0.158974359","0.605263158","0.294871795","33.33333333","35.02824859","48.71794872","23.18726665","1.437610533","3.798670465","7.797270955","5.887939221","12.08576998","10.92117759","22.417154","1.365252168","2.802359713","16.80911681","34.50292398"
"","","MZP2012UMB-AT05","","","","","","","","","MZP2012UMB-AT05-00005","","","","39","28","6","2","8","28","25","50","115","8.5","4","23","6","8","1","50.49","11.72","2.88","1.53","0.98","138.27","68.73","15.74","51.1","13.34","19.27","","12.5","35.5","165","0.17","0.034782609","0.075757576","5.892857143","4.230769231","1.785714286","1.282051282","0.446428571","0.320512821","0.821428571","0.58974359","30.3030303","35.21126761","71.79487179","23.21251733","2.901564666","8.072174739","11.24338624","11.8708452","16.53439153","21.84235518","30.42328042","2.755522","3.8380485","33.71320038","46.95767196"
"","","MZP2012UMB-AT05","","","","","","","","","MZP2012UMB-AT05-00006","","","","39","25","4","2","9","17","11","35","18","15","1.2","21","7","7","1","50.39","13.43","2.94","1.57","1.18","121.14","78.19","11.32","55.58","8.38","12.54","3.49","16.2","37.2","53","0.428571429","0.066666667","0.305660377","3.117647059","1.358974359","2.058823529","0.897435897","0.952941176","0.415384615","1.235294118","0.538461538","66.03773585","43.5483871","43.58974359","26.65211351","4.317642389","14.24501425","32.67973856","15.38461538","35.29411765","19.94301994","45.75163399","4.100325156","9.406628299","35.32763533","81.04575163"
"","","MZP2012UMB-AT05","","","","","","","","","MZP2012UMB-AT05-00007","","","","39","22","4","1","7","22","18","41","28","20","2.2","20","7","5","2","","","","","","","","","","","","","22.2","42.2","69","0.487804878","0.078571429","0.32173913","3.136363636","1.769230769","1.863636364","1.051282051","1.009090909","0.569230769","0.909090909","0.512820513","59.42028986","52.60663507","56.41025641","","","18.99335233","33.67003367","21.08262108","37.37373737","18.99335233","33.67003367","","","40.07597341","71.04377104"
"","","MZP2012UMB-AT05","","","","","","","","","MZP2012UMB-AT05-00008","","","","39","25","5","3","6","22","21","48","8","18","0.2","13","7","6","1","50.25","11.04","3.56","1.58","1.12","83.4","88.13","12.77","49","9.75","14.42","5.99","18.2","31.2","56","0.375","0.025","0.325","2.545454545","1.435897436","2.181818182","1.230769231","0.827272727","0.466666667","0.590909091","0.333333333","85.71428571","58.33333333","56.41025641","21.97014925","3.998567164","17.09401709","30.3030303","17.28395062","30.63973064","12.34567901","21.88552189","3.797309748","6.731594552","29.62962963","52.52525253"
"","","MZP2012UMB-AT05","","","","","","","","","MZP2012UMB-AT05-00009","","","","39","28","4","1","6","19","12","15","13","6","2.2","12","5","5","3","","","","","","","","","","","","","8.2","20.2","28","0.4","0.169230769","0.292857143","1.473684211","0.717948718","0.789473684","0.384615385","0.431578947","0.21025641","0.631578947","0.307692308","53.57142857","40.59405941","48.71794872","","","5.698005698","11.69590643","7.787274454","15.98440546","11.3960114","23.39181287","","","19.18328585","39.37621832"
"","","MZP2012UMB-AT05","","","","","","","","","MZP2012UMB-AT05-00010","","","","39","30","1","1","6","30","30","83","33","20","2.2","15","6","5","2","50.29","14.11","3.81","1.68","1.41","191.85","113.24","26.28","54.69","4.73","8.01","12.24","22.2","37.2","116","0.240963855","0.066666667","0.19137931","3.866666667","2.974358974","2.766666667","2.128205128","0.74","0.569230769","0.5","0.384615385","71.55172414","59.67741935","76.92307692","28.05726785","6.228713462","18.99335233","24.69135802","21.08262108","27.40740741","14.24501425","18.51851852","5.915207466","7.689769706","35.32763533","45.92592593"
