"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of total carotenoids in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000290"," Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00001","","","","26","25","1","1","7","6","6","9","14","3.5","3.5","29","5","4","2","50.4","16.7","1","7","7","1","3.48","1.63","1.08","23.2364578","7.73","63.86","3.04","4.57","7","7","36","23","0.388888889","0.25","0.304347826","3.833333333","0.884615385","1.5","0.346153846","1.166666667","0.269230769","4.833333333","1.115384615","39.13043478","19.44444444","23.07692308","33.13492063","2.319444444","4.985754986","21.60493827","9.971509972","43.20987654","41.31054131","179.0123457","3.304051915","14.3175583","51.28205128","222.2222222"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00002","","","","26","18","1","1","4","4","4","15","17","4","3","5.5","4","4","2","50.1","9","1","9","5","3","2.77","1.58","0.97","40.9725113","11.03","43.99","6.4","8.73","21.82","7","12.5","32","0.266666667","0.176470588","0.21875","8","1.230769231","3.75","0.576923077","1.75","0.269230769","1.375","0.211538462","46.875","56","15.38461538","17.96407186","1.25748503","5.698005698","37.03703704","9.971509972","64.81481481","7.834757835","50.92592593","1.791289216","11.64337991","17.80626781","115.7407407"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00003","","","","26","18","1","1","6","10","10","15","42","4.2","4","11.8","5","6","1","50.9","14.3","3","7","7","3","4.52","1.71","1.12","14.2806721","4.61","62.31","2.82","4.15","8.42","8.2","20","57","0.28","0.095238095","0.143859649","5.7","2.192307692","1.5","0.576923077","0.82","0.315384615","1.18","0.453846154","26.31578947","41","38.46153846","28.09430255","2.303732809","5.982905983","15.55555556","11.68091168","30.37037037","16.80911681","43.7037037","3.281670669","8.532343739","28.49002849","74.07407407"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00004","","","","26","24","1","1","9","14","12","36","35","5.5","4.2","49","2","2","1","50.8","19.4","1","5","7","3","4.39","1.25","1.01","0.8379676","0.12","70.12","2.27","3.8","5.04","9.7","58.7","71","0.152777778","0.12","0.136619718","5.071428571","2.730769231","2.571428571","1.384615385","0.692857143","0.373076923","3.5","1.884615385","50.70422535","16.52470187","53.84615385","38.18897638","3.704330709","7.834757835","14.55026455","13.81766382","25.66137566","69.8005698","129.6296296","5.276824371","9.79981669","83.61823362","155.2910053"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00005","","","","26","23","1","1","5","12","12","16","31","3","2","7","5","6","1","44.3","9.7","1","5","5","5","3.15","2.07","1.41","42.4945831","14.37","44.29","8.73","12.66","12.38","5","12","47","0.1875","0.064516129","0.106382979","3.916666667","1.807692308","1.333333333","0.615384615","0.416666667","0.192307692","0.583333333","0.269230769","34.04255319","41.66666667","46.15384615","21.89616253","1.094808126","4.273504274","9.259259259","7.122507123","15.43209877","9.971509972","21.60493827","1.559555736","3.379037427","17.09401709","37.03703704"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00006","","","","26","8","1","1","4","8","8","27","10","9","2.5","1.8","4","4","2","50.3","13.2","1","7","7","3","1.96","1.49","0.74","38.6486549","7.23","46.91","9.68","13","16.09","11.5","13.3","37","0.333333333","0.25","0.310810811","4.625","1.423076923","3.375","1.038461538","1.4375","0.442307692","0.225","0.069230769","72.97297297","86.46616541","30.76923077","26.24254473","3.017892644","12.82051282","41.66666667","16.38176638","53.24074074","2.564102564","8.333333333","4.298992371","13.9717252","18.94586895","61.57407407"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00007","","","","26","4","1","1","3","1","1","1","0","0.3","0","4.5","3","3","1","50.1","13.3","","","","","4.57","2.03","1.26","35.6248856","","53.67","5","7.29","12.89","0.3","4.8","1","0.3","","0.3","1","0.038461538","1","0.038461538","0.3","0.011538462","4.5","0.173076923","100","6.25","3.846153846","26.54690619","0.079640719","0.427350427","11.11111111","0.427350427","11.11111111","6.41025641","166.6666667","0.113448317","2.949656243","6.837606838","177.7777778"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00008","","","","26","20","1","1","7","9","9","14","15","6","3","25","3","3","1","43.2","12.1","1","5","7","5","2.9","1.46","0.91","30.1979656","12.3","57.69","4","5.8","14","9","34","29","0.428571429","0.2","0.310344828","3.222222222","1.115384615","1.555555556","0.538461538","1","0.346153846","2.777777778","0.961538462","48.27586207","26.47058824","34.61538462","28.00925926","2.520833333","8.547008547","24.69135802","12.82051282","37.03703704","35.61253561","102.8806584","3.590930674","10.37379973","48.43304843","139.9176955"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00009","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00010","","","","26","4","1","1","2","3","3","9","0","3.5","0","2.5","2","2","1","50.8","15","1","5","7","5","4.16","1.69","1.28","29.7956104","1.74","62.53","2.92","4.71","8.62","3.5","6","9","0.388888889","","0.388888889","3","0.346153846","3","0.346153846","1.166666667","0.134615385","0.833333333","0.096153846","100","58.33333333","11.53846154","29.52755906","1.033464567","4.985754986","43.20987654","4.985754986","43.20987654","3.561253561","30.86419753","1.472171748","12.75882181","8.547008547","74.07407407"
