"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00001","","","","26","20","1","1","3","20","19","8","37","2","10.5","11","3","5","3","5","1","3","1","0.03","12.5","23.5","45","0.25","0.283783784","0.277777778","2.25","1.730769231","0.4","0.307692308","0.625","0.480769231","0.55","0.423076923","17.77777778","53.19148936","76.92307692","2.849002849","3.703703704","17.80626781","23.14814815","15.66951567","20.37037037","33.47578348","43.51851852"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00002","","","","26","24","1","1","5","24","10","4","10","1.9","3.5","12","5","5","1","5","1","1","1","0.15","5.4","17.4","14","0.475","0.35","0.385714286","0.583333333","0.538461538","0.166666667","0.153846154","0.225","0.207692308","0.5","0.461538462","28.57142857","31.03448276","92.30769231","2.706552707","2.932098765","7.692307692","8.333333333","17.09401709","18.51851852","24.78632479","26.85185185"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00003","","","","26","15","1","1","5","9","8","0","9","0","3","7.5","5","7","1","5","1","1","1","0.02","3","10.5","9","","0.333333333","0.333333333","1","0.346153846","0","0","0.333333333","0.115384615","0.833333333","0.288461538","0","28.57142857","34.61538462","0","0","4.273504274","12.34567901","10.68376068","30.86419753","14.95726496","43.20987654"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00004","","","","26","17","1","1","3","17","4","0","6","0","1.5","10","7","7","1","5","3","1","3","1.76","1.5","11.5","6","","0.25","0.25","0.352941176","0.230769231","0","0","0.088235294","0.057692308","0.588235294","0.384615385","0","13.04347826","65.38461538","0","0","2.136752137","3.267973856","14.24501425","21.78649237","16.38176638","25.05446623"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00005","","","","26","18","1","1","7","18","10","8","15","2","4.9","7.8","5","5","1","5","1","3","1","0.02","6.9","14.7","23","0.25","0.326666667","0.3","1.277777778","0.884615385","0.444444444","0.307692308","0.383333333","0.265384615","0.433333333","0.3","34.7826087","46.93877551","69.23076923","2.849002849","4.115226337","9.829059829","14.19753086","11.11111111","16.04938272","20.94017094","30.24691358"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00006","","","","26","17","1","1","3","14","14","0","29","0","9.7","8.5","5","5","3","1","7","3","5","6.12","9.7","18.2","29","","0.334482759","0.334482759","2.071428571","1.115384615","0","0","0.692857143","0.373076923","0.607142857","0.326923077","0","53.2967033","53.84615385","0","0","13.81766382","25.66137566","12.10826211","22.48677249","25.92592593","48.14814815"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00007","","","","26","19","1","1","7","19","14","6","13","2","3.9","7","5","5","3","5","1","1","1","0.02","5.9","12.9","19","0.333333333","0.3","0.310526316","1","0.730769231","0.315789474","0.230769231","0.310526316","0.226923077","0.368421053","0.269230769","31.57894737","45.73643411","73.07692308","2.849002849","3.898635478","8.404558405","11.50097466","9.971509972","13.64522417","18.37606838","25.14619883"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00008","","","","26","11","1","1","3","8","8","0","16","0","5.8","5.5","7","5","3","1","5","5","5","6.12","5.8","11.3","16","","0.3625","0.3625","2","0.615384615","0","0","0.725","0.223076923","0.6875","0.211538462","0","51.32743363","30.76923077","0","0","8.262108262","26.85185185","7.834757835","25.46296296","16.0968661","52.31481481"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00009","","","","26","17","1","1","5","7","7","0","17","0","6.5","4.5","5","5","3","1","5","5","5","10.5","6.5","11","17","","0.382352941","0.382352941","2.428571429","0.653846154","0","0","0.928571429","0.25","0.642857143","0.173076923","0","59.09090909","26.92307692","0","0","9.259259259","34.39153439","6.41025641","23.80952381","15.66951567","58.2010582"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00010","","","","26","22","1","1","5","19","19","16","35","4","13.5","9.5","5","5","5","5","1","1","1","0.03","17.5","27","51","0.25","0.385714286","0.343137255","2.684210526","1.961538462","0.842105263","0.615384615","0.921052632","0.673076923","0.5","0.365384615","31.37254902","64.81481481","73.07692308","5.698005698","7.797270955","24.92877493","34.11306043","13.53276353","18.51851852","38.46153846","52.63157895"
