"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013GUR-AT14","","","","","","","","","MZP2013GUR-AT14-00001","","","","39","35","1","1","5","31","31","42","47","12.2","4.5","7.8","2","1","1","3","1","5","3","3","7.76","16.7","24.5","89","0.29047619","0.095744681","0.187640449","2.870967742","2.282051282","1.35483871","1.076923077","0.538709677","0.428205128","0.251612903","0.2","47.19101124","68.16326531","79.48717949","11.58594492","14.57586619","15.85944919","19.95221027","7.407407407","9.318996416","23.2668566","29.27120669"
"","","MZP2013GUR-AT14","","","","","","","","","MZP2013GUR-AT14-00002","","","","39","31","1","3","5","31","31","62","32","25.1","5","9.5","4","1","1","1","1","5","3","3","7.23","30.1","39.6","94","0.40483871","0.15625","0.320212766","3.032258065","2.41025641","2","1.58974359","0.970967742","0.771794872","0.306451613","0.243589744","65.95744681","76.01010101","79.48717949","23.83665717","29.98805257","28.58499525","35.96176822","9.021842355","11.35005974","37.60683761","47.31182796"
"","","MZP2013GUR-AT14","","","","","","","","","MZP2013GUR-AT14-00003","","","","39","25","1","1","7","25","25","24","39","13","4.1","14.7","2","1","3","1","1","5","3","3","7.23","17.1","31.8","63","0.541666667","0.105128205","0.271428571","2.52","1.615384615","0.96","0.615384615","0.684","0.438461538","0.588","0.376923077","38.0952381","53.77358491","64.1025641","12.34567901","19.25925926","16.23931624","25.33333333","13.96011396","21.77777778","30.1994302","47.11111111"
"","","MZP2013GUR-AT14","","","","","","","","","MZP2013GUR-AT14-00004","","","","39","19","1","1","5","19","19","45","30","12.1","2.5","5","6","1","1","3","1","5","3","3","6.12","14.6","19.6","75","0.268888889","0.083333333","0.194666667","3.947368421","1.923076923","2.368421053","1.153846154","0.768421053","0.374358974","0.263157895","0.128205128","60","74.48979592","48.71794872","11.49097816","23.58674464","13.8651472","28.46003899","4.748338082","9.746588694","18.61348528","38.20662768"
"","","MZP2013GUR-AT14","","","","","","","","","MZP2013GUR-AT14-00005","","","","39","18","1","1","5","18","18","38","22","11.2","2","12.8","4","1","3","3","1","7","5","3","10.5","13.2","26","60","0.294736842","0.090909091","0.22","3.333333333","1.538461538","2.111111111","0.974358974","0.733333333","0.338461538","0.711111111","0.328205128","63.33333333","50.76923077","46.15384615","10.6362773","23.04526749","12.53561254","27.16049383","12.15574549","26.33744856","24.69135802","53.49794239"
"","","MZP2013GUR-AT14","","","","","","","","","MZP2013GUR-AT14-00006","","","","39","32","1","1","5","31","31","55","80","19.5","8.5","11.2","5","1","1","1","1","3","5","3","7.23","28","39.2","135","0.354545455","0.10625","0.207407407","4.35483871","3.461538462","1.774193548","1.41025641","0.903225806","0.717948718","0.361290323","0.287179487","40.74074074","71.42857143","79.48717949","18.51851852","23.29749104","26.59069326","33.45280765","10.6362773","13.38112306","37.22697056","46.8339307"
"","","MZP2013GUR-AT14","","","","","","","","","MZP2013GUR-AT14-00007","","","","39","30","1","3","5","29","29","70","47","14.1","3","8.4","6","1","1","3","1","3","3","3","6.12","17.1","25.5","117","0.201428571","0.063829787","0.146153846","4.034482759","3","2.413793103","1.794871795","0.589655172","0.438461538","0.289655172","0.215384615","59.82905983","67.05882353","74.35897436","13.39031339","18.00766284","16.23931624","21.83908046","7.977207977","10.72796935","24.21652422","32.56704981"
"","","MZP2013GUR-AT14","","","","","","","","","MZP2013GUR-AT14-00008","","","","39","25","1","1","5","25","25","45","110","10.2","9.5","5.3","5","3","1","1","1","3","5","3","7.23","19.7","25","155","0.226666667","0.086363636","0.127096774","6.2","3.974358974","1.8","1.153846154","0.788","0.505128205","0.212","0.135897436","29.03225806","78.8","64.1025641","9.686609687","15.11111111","18.70845204","29.18518519","5.033238367","7.851851852","23.74169041","37.03703704"
"","","MZP2013GUR-AT14","","","","","","","","","MZP2013GUR-AT14-00009","","","","39","14","1","3","5","14","14","14","30","3","3.5","7.7","3","5","7","3","1","5","5","3","7.23","6.5","14.2","44","0.214285714","0.116666667","0.147727273","3.142857143","1.128205128","1","0.358974359","0.464285714","0.166666667","0.55","0.197435897","31.81818182","45.77464789","35.8974359","2.849002849","7.936507937","6.172839506","17.1957672","7.312440646","20.37037037","13.48528015","37.56613757"
"","","MZP2013GUR-AT14","","","","","","","","","MZP2013GUR-AT14-00010","","","","39","16","1","1","5","15","15","25","7","10.1","1","6","6","3","3","1","1","7","5","5","10.5","11.1","17.1","32","0.404","0.142857143","0.346875","2.133333333","0.820512821","1.666666667","0.641025641","0.74","0.284615385","0.4","0.153846154","78.125","64.9122807","38.46153846","9.591642925","24.9382716","10.54131054","27.40740741","5.698005698","14.81481481","16.23931624","42.22222222"
