"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_irrigation","treatment_non_irrigation"
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00001","","","","26","20","1","1","5","15","15","11","13","6.5","5","7.5","1","3","3","1","5","3","5","2.54","2.11","1.26","0.47","85.53","29.2","39.32","4.82","8.51","27.46","11.5","19","24","0.590909091","0.384615385","0.479166667","1.6","0.923076923","0.733333333","0.423076923","0.766666667","0.442307692","0.5","0.288461538","45.83333333","60.52631579","57.69230769","9.259259259","16.04938272","16.38176638","28.39506173","10.68376068","18.51851852","27.06552707","46.91358025","1",""
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00002","","","","26","25","1","3","5","25","16","10","15","4","4.7","6","5","5","5","1","5","3","5","2.39","1.97","1.02","0","76.19","30.65","38.22","7.97","11.46","20.94","8.7","14.7","25","0.4","0.313333333","0.348","1","0.961538462","0.4","0.384615385","0.348","0.334615385","0.24","0.230769231","40","59.18367347","96.15384615","5.698005698","5.925925926","12.39316239","12.88888889","8.547008547","8.888888889","20.94017094","21.77777778","1",""
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00003","","","","26","24","1","1","5","24","24","7","28","1.5","11.3","5","3","3","3","1","5","5","5","","","","","","","","","","","12.8","17.8","35","0.214285714","0.403571429","0.365714286","1.458333333","1.346153846","0.291666667","0.269230769","0.533333333","0.492307692","0.208333333","0.192307692","20","71.91011236","92.30769231","2.136752137","2.314814815","18.23361823","19.75308642","7.122507123","7.716049383","25.35612536","27.4691358","1",""
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00004","","","","26","25","1","1","7","25","25","14","17","6.5","7","15","1","1","3","5","3","3","1","3.02","1.9","1.02","0","28.21","6.91","60.66","2.37","3.83","11.18","13.5","28.5","31","0.464285714","0.411764706","0.435483871","1.24","1.192307692","0.56","0.538461538","0.54","0.519230769","0.6","0.576923077","45.16129032","47.36842105","96.15384615","9.259259259","9.62962963","19.23076923","20","21.36752137","22.22222222","40.5982906","42.22222222","1",""
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00005","","","","26","18","1","1","5","15","15","8","19","2","7.2","4.5","5","5","3","1","5","5","5","4.1","2.54","1.47","0","68.53","46.42","41.24","2.58","4.86","27.53","9.2","13.7","27","0.25","0.378947368","0.340740741","1.8","1.038461538","0.533333333","0.307692308","0.613333333","0.353846154","0.3","0.173076923","29.62962963","67.15328467","57.69230769","2.849002849","4.938271605","13.10541311","22.71604938","6.41025641","11.11111111","19.51566952","33.82716049","1",""
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00006","","","","26","17","3","5","3","15","15","10","47","2.2","8","5","5","5","3","1","5","5","5","","","","","","","","","","","10.2","15.2","57","0.22","0.170212766","0.178947368","3.8","2.192307692","0.666666667","0.384615385","0.68","0.392307692","0.333333333","0.192307692","17.54385965","67.10526316","57.69230769","3.133903134","5.432098765","14.52991453","25.18518519","7.122507123","12.34567901","21.65242165","37.5308642","1",""
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00007","","","","26","25","1","5","7","25","17","9","16","2.1","5.7","5.3","5","5","3","5","3","1","1","2.73","1.28","0.83","0","30.5","0","69.22","1.26","2.65","9.16","7.8","13.1","25","0.233333333","0.35625","0.312","1","0.961538462","0.36","0.346153846","0.312","0.3","0.212","0.203846154","36","59.54198473","96.15384615","2.991452991","3.111111111","11.11111111","11.55555556","7.54985755","7.851851852","18.66096866","19.40740741","1",""
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00008","","","","26","22","1","1","5","22","22","11","33","2.5","8.5","7","3","3","3","1","5","3","5","2.94","1.73","1.02","0","15.05","0","64.37","1.13","2.3","13.15","11","18","44","0.227272727","0.257575758","0.25","2","1.692307692","0.5","0.423076923","0.5","0.423076923","0.318181818","0.269230769","25","61.11111111","84.61538462","3.561253561","4.208754209","15.66951567","18.51851852","9.971509972","11.78451178","25.64102564","30.3030303","1",""
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00009","","","","26","23","1","1","5","23","23","7","26","2","7.7","5","3","5","3","1","5","3","3","3.11","2.06","1.19","0","46.13","30.59","59.06","1.62","3.17","14.26","9.7","14.7","33","0.285714286","0.296153846","0.293939394","1.434782609","1.269230769","0.304347826","0.269230769","0.42173913","0.373076923","0.217391304","0.192307692","21.21212121","65.98639456","88.46153846","2.849002849","3.220611916","13.81766382","15.61996779","7.122507123","8.051529791","20.94017094","23.67149758","1",""
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00010","","","","26","25","1","3","5","25","25","11","40","2.2","9.5","4.5","5","5","3","1","7","7","5","4.16","2.37","1.51","0","66.17","22.36","49.74","1.62","4.07","21.44","11.7","16.2","51","0.2","0.2375","0.229411765","2.04","1.961538462","0.44","0.423076923","0.468","0.45","0.18","0.173076923","21.56862745","72.22222222","96.15384615","3.133903134","3.259259259","16.66666667","17.33333333","6.41025641","6.666666667","23.07692308","24","1",""
