"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00001","","","","26","15","1","1","7","13","8","14","7","8","6.5","16","7","5","1","1","7","3","3","0.12","21","0.571428571","0.928571429","0.69047619","1.615384615","0.807692308","1.076923077","0.538461538","1.115384615","0.557692308","1.230769231","0.615384615","66.66666667","47.54098361","50","11.3960114","22.79202279","20.65527066","41.31054131","22.79202279","45.58404558","43.44729345","86.89458689","14.5","30.5"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00002","","","","26","20","1","1","8","12","3","17","5","3.5","1.2","22","5","5","1","7","5","3","5","","22","0.205882353","0.24","0.213636364","1.833333333","0.846153846","1.416666667","0.653846154","0.391666667","0.180769231","1.833333333","0.846153846","77.27272727","17.60299625","46.15384615","4.985754986","10.80246914","6.695156695","14.50617284","31.33903134","67.90123457","38.03418803","82.40740741","4.7","26.7"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00003","","","","26","21","3","3","7","14","12","18","8","4","1","3.5","5","3","1","3","3","9","5","1.76","26","0.222222222","0.125","0.192307692","1.857142857","1","1.285714286","0.692307692","0.357142857","0.192307692","0.25","0.134615385","69.23076923","58.82352941","53.84615385","5.698005698","10.58201058","7.122507123","13.22751323","4.985754986","9.259259259","12.10826211","22.48677249","5","8.5"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00004","","","","26","18","1","1","9","16","15","19","5","10","2","32","3","7","5","3","1","3","1","","24","0.526315789","0.4","0.5","1.5","0.923076923","1.1875","0.730769231","0.75","0.461538462","2","1.230769231","79.16666667","27.27272727","61.53846154","14.24501425","23.14814815","17.09401709","27.77777778","45.58404558","74.07407407","62.67806268","101.8518519","12","44"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00005","","","","26","18","1","1","8","13","13","26","40","10.2","7","37","7","7","7","7","1","3","7","4.61","66","0.392307692","0.175","0.260606061","5.076923077","2.538461538","2","1","1.323076923","0.661538462","2.846153846","1.423076923","39.39393939","31.73431734","50","14.52991453","29.05982906","24.5014245","49.002849","52.70655271","105.4131054","77.20797721","154.4159544","17.2","54.2"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00006","","","","26","16","1","1","6","8","4","0","7","0","1","19","9","5","1","7","1","3","7","1.74","7","","0.142857143","0.142857143","0.875","0.269230769","0","0","0.125","0.038461538","2.375","0.730769231","0","5","30.76923077","0","0","1.424501425","4.62962963","27.06552707","87.96296296","28.49002849","92.59259259","1","20"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00007","","","","26","24","1","3","8","12","11","15","12","3.5","1.5","20","3","3","1","7","3","7","5","0.12","27","0.233333333","0.125","0.185185185","2.25","1.038461538","1.25","0.576923077","0.416666667","0.192307692","1.666666667","0.769230769","55.55555556","20","46.15384615","4.985754986","10.80246914","7.122507123","15.43209877","28.49002849","61.72839506","35.61253561","77.16049383","5","25"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00008","","","","26","10","1","3","5","7","5","7","0","5","0","12","3","1","3","1","3","7","5","1.65","7","0.714285714","","0.714285714","1","0.269230769","1","0.269230769","0.714285714","0.192307692","1.714285714","0.461538462","100","29.41176471","26.92307692","7.122507123","26.45502646","7.122507123","26.45502646","17.09401709","63.49206349","24.21652422","89.94708995","5","17"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00009","","","","26","13","1","3","5","5","3","10","0","3","0","6.5","1","1","1","7","1","3","7","1.65","10","0.3","","0.3","2","0.384615385","2","0.384615385","0.6","0.115384615","1.3","0.25","100","31.57894737","19.23076923","4.273504274","22.22222222","4.273504274","22.22222222","9.259259259","48.14814815","13.53276353","70.37037037","3","9.5"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00010","","","","26","17","1","1","6","10","7","15","9","7","7","19","1","1","7","5","3","5","5","3.76","24","0.466666667","0.777777778","0.583333333","2.4","0.923076923","1.5","0.576923077","1.4","0.538461538","1.9","0.730769231","62.5","42.42424242","38.46153846","9.971509972","25.92592593","19.94301994","51.85185185","27.06552707","70.37037037","47.00854701","122.2222222","14","33"
