"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2015GUR-MT04","","","","","","","","","MZP2015GUR-MT04-00001","","","","39","23","1","1","5","17","17","7","29","1.5","6.5","2","2","5","5","5","10.5","8","10","36","0.214285714","0.224137931","0.222222222","2.117647059","0.923076923","0.411764706","0.179487179","0.470588235","0.205128205","0.117647059","0.051282051","19.44444444","80","43.58974359","1.424501425","3.267973856","7.597340931","17.4291939","1.899335233","4.357298475","9.496676163","21.78649237"
"","","MZP2015GUR-MT04","","","","","","","","","MZP2015GUR-MT04-00002","","","","39","35","1","3","5","10","10","8","20","1.6","4","0.5","6","5","5","5","","5.6","6.1","28","0.2","0.2","0.2","2.8","0.717948718","0.8","0.205128205","0.56","0.143589744","0.05","0.012820513","28.57142857","91.80327869","25.64102564","1.519468186","5.925925926","5.318138651","20.74074074","0.474833808","1.851851852","5.79297246","22.59259259"
"","","MZP2015GUR-MT04","","","","","","","","","MZP2015GUR-MT04-00003","","","","39","32","1","1","9","32","12","4","35","1","10","25","8","5","5","3","","11","36","39","0.25","0.285714286","0.282051282","1.21875","1","0.125","0.102564103","0.34375","0.282051282","0.78125","0.641025641","10.25641026","30.55555556","82.05128205","0.949667616","1.157407407","10.44634378","12.73148148","23.74169041","28.93518519","34.18803419","41.66666667"
"","","MZP2015GUR-MT04","","","","","","","","","MZP2015GUR-MT04-00004","","","","39","16","1","3","5","13","13","7","21","1.9","4","4","4","5","3","5","10.5","5.9","9.9","28","0.271428571","0.19047619","0.210714286","2.153846154","0.717948718","0.538461538","0.179487179","0.453846154","0.151282051","0.307692308","0.102564103","25","59.5959596","33.33333333","1.804368471","5.413105413","5.603038936","16.80911681","3.798670465","11.3960114","9.401709402","28.20512821"
"","","MZP2015GUR-MT04","","","","","","","","","MZP2015GUR-MT04-00005","","","","39","35","1","1","5","22","19","9","32","2","6.5","2","4","3","3","5","5.49","8.5","10.5","41","0.222222222","0.203125","0.207317073","1.863636364","1.051282051","0.409090909","0.230769231","0.386363636","0.217948718","0.090909091","0.051282051","21.95121951","80.95238095","56.41025641","1.899335233","3.367003367","8.072174739","14.30976431","1.899335233","3.367003367","9.971509972","17.67676768"
"","","MZP2015GUR-MT04","","","","","","","","","MZP2015GUR-MT04-00006","","","","39","36","1","1","7","36","20","8","19","1.6","4.5","18","6","3","5","3","","6.1","24.1","27","0.2","0.236842105","0.225925926","0.75","0.692307692","0.222222222","0.205128205","0.169444444","0.156410256","0.5","0.461538462","29.62962963","25.31120332","92.30769231","1.519468186","1.646090535","5.79297246","6.275720165","17.09401709","18.51851852","22.88698955","24.79423868"
"","","MZP2015GUR-MT04","","","","","","","","","MZP2015GUR-MT04-00007","","","","39","2","1","1","5","2","2","0","10","0","1.8","0.5","2","9","9","5","7.23","1.8","2.3","10","","0.18","0.18","5","0.256410256","0","0","0.9","0.046153846","0.25","0.012820513","0","78.26086957","5.128205128","0","0","1.709401709","33.33333333","0.474833808","9.259259259","2.184235518","42.59259259"
"","","MZP2015GUR-MT04","","","","","","","","","MZP2015GUR-MT04-00008","","","","39","37","1","1","5","37","30","4","35","1","7.5","8","6","3","5","5","5.49","8.5","16.5","39","0.25","0.214285714","0.217948718","1.054054054","1","0.108108108","0.102564103","0.22972973","0.217948718","0.216216216","0.205128205","10.25641026","51.51515152","94.87179487","0.949667616","1.001001001","8.072174739","8.508508509","7.597340931","8.008008008","15.66951567","16.51651652"
"","","MZP2015GUR-MT04","","","","","","","","","MZP2015GUR-MT04-00009","","","","39","22","1","1","7","15","11","0","19","0","6.7","4","6","7","7","5","7.23","6.7","10.7","19","","0.352631579","0.352631579","1.266666667","0.487179487","0","0","0.446666667","0.171794872","0.266666667","0.102564103","0","62.61682243","38.46153846","0","0","6.362773029","16.54320988","3.798670465","9.87654321","10.16144349","26.41975309"
"","","MZP2015GUR-MT04","","","","","","","","","MZP2015GUR-MT04-00010","","","","39","27","1","3","5","27","15","0","25","0","5.7","8","1","7","7","5","0.02","5.7","13.7","25","","0.228","0.228","0.925925926","0.641025641","0","0","0.211111111","0.146153846","0.296296296","0.205128205","0","41.60583942","69.23076923","0","0","5.413105413","7.818930041","7.597340931","10.9739369","13.01044634","18.79286694"
