"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of total carotenoids in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000290","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2016UMB-MT02","","","","","","","","","MZP2016UMB-MT02-00001","","","","39","30","1","1","3","30","30","38","57","6.2","4.5","12.7","5","3","1","50.1","14.8","7","9","5","3","3.27","1.49","0.99","45.53","11.03","62.54","1.52","2.41","18.41","0.69","10.7","23.4","95","0.163157895","0.078947368","0.112631579","3.166666667","2.435897436","1.266666667","0.974358974","0.356666667","0.274358974","0.423333333","0.325641026","40","45.72649573","76.92307692","29.54091816","3.160878244","5.887939221","7.654320988","10.16144349","13.20987654","12.06077873","15.67901235","3.001783707","3.902318819","22.22222222","28.88888889"
"","","MZP2016UMB-MT02","","","","","","","","","MZP2016UMB-MT02-00002","","","","39","25","2","3","7","25","25","31","62","13.5","1.8","28.6","1","3","5","50.1","15.5","7","9","5","3","4.25","1.43","0.87","8.32","7.23","74.84","0.65","2.14","9.57","0.58","15.3","43.9","93","0.435483871","0.029032258","0.164516129","3.72","2.384615385","1.24","0.794871795","0.612","0.392307692","1.144","0.733333333","33.33333333","34.85193622","64.1025641","30.93812375","4.733532934","12.82051282","20","14.52991453","22.66666667","27.16049383","42.37037037","4.495282938","7.012641384","41.69040836","65.03703704"
"","","MZP2016UMB-MT02","","","","","","","","","MZP2016UMB-MT02-00003","","","","39","26","3","3","3","26","26","58","66","14.7","4.3","6.9","1","1","1","50","13.1","7","7","5","5","6.35","1.94","1.42","0","1.76","67.84","1.15","2.73","13.31","0.7","19","25.9","124","0.253448276","0.065151515","0.153225806","4.769230769","3.179487179","2.230769231","1.487179487","0.730769231","0.487179487","0.265384615","0.176923077","46.77419355","73.35907336","66.66666667","26.2","4.978","13.96011396","20.94017094","18.04368471","27.06552707","6.552706553","9.829059829","4.727445394","7.091168091","24.59639126","36.89458689"
"","","MZP2016UMB-MT02","","","","","","","","","MZP2016UMB-MT02-00004","","","","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2016UMB-MT02","","","","","","","","","MZP2016UMB-MT02-00005","","","","39","26","1","1","3","26","26","42","72","5.2","3.2","10.8","5","5","1","50.1","15.2","7","9","7","1","3.42","1.46","1.07","39.86","12.39","66.84","1.92","3.71","15.19","0.43","8.4","19.2","114","0.123809524","0.044444444","0.073684211","4.384615385","2.923076923","1.615384615","1.076923077","0.323076923","0.215384615","0.415384615","0.276923077","36.84210526","43.75","66.66666667","30.33932136","2.548502994","4.938271605","7.407407407","7.977207977","11.96581197","10.25641026","15.38461538","2.420230764","3.630346145","18.23361823","27.35042735"
"","","MZP2016UMB-MT02","","","","","","","","","MZP2016UMB-MT02-00006","","","","39","24","1","1","3","24","24","22","93","2","3","12.8","7","7","1","50","16.1","5","5","5","5","4.17","1.48","0.86","13.43","4.61","70.37","0.88","2.47","13.17","0.45","5","17.8","115","0.090909091","0.032258065","0.043478261","4.791666667","2.948717949","0.916666667","0.564102564","0.208333333","0.128205128","0.533333333","0.328205128","19.13043478","28.08988764","61.53846154","32.2","1.61","1.899335233","3.086419753","4.748338082","7.716049383","12.15574549","19.75308642","1.528964862","2.484567901","16.90408357","27.4691358"
"","","MZP2016UMB-MT02","","","","","","","","","MZP2016UMB-MT02-00007","","","","39","14","3","3","7","14","13","17","22","4.6","1.5","18.9","5","5","1","50.1","16.3","9","7","9","3","3.42","0.99","0.73","-2.45","0.02","74.53","0.74","2.3","11.67","0.75","6.1","25","39","0.270588235","0.068181818","0.156410256","2.785714286","1","1.214285714","0.435897436","0.435714286","0.156410256","1.35","0.484615385","43.58974359","24.4","35.8974359","32.53493014","1.984630739","4.368471035","12.16931217","5.79297246","16.13756614","17.94871795","50","1.884739543","5.250345869","23.74169041","66.13756614"
"","","MZP2016UMB-MT02","","","","","","","","","MZP2016UMB-MT02-00008","","","","39","22","5","5","7","22","22","28","46","5.1","2.9","7","3","3","1","50","13.7","7","9","3","3","2.55","1.31","0.82","23.08","7.23","66.16","3.08","4.68","13.21","0.9","8","15","74","0.182142857","0.063043478","0.108108108","3.363636364","1.897435897","1.272727273","0.717948718","0.363636364","0.205128205","0.318181818","0.179487179","37.83783784","53.33333333","56.41025641","27.4","2.192","4.843304843","8.585858586","7.597340931","13.46801347","6.647673314","11.78451178","2.081671415","3.69023569","14.24501425","25.25252525"
"","","MZP2016UMB-MT02","","","","","","","","","MZP2016UMB-MT02-00009","","","","39","25","1","1","7","25","25","64","39","9.5","1.9","17.6","3","5","3","50","11.5","3","5","3","5","3.02","1.62","1.03","62.51","4.61","61.63","2.05","3.59","19.2","1.14","11.4","29","103","0.1484375","0.048717949","0.110679612","4.12","2.641025641","2.56","1.641025641","0.456","0.292307692","0.704","0.451282051","62.13592233","39.31034483","64.1025641","23","2.622","9.021842355","14.07407407","10.82621083","16.88888889","16.71415005","26.07407407","2.49002849","3.884444444","27.54036087","42.96296296"
"","","MZP2016UMB-MT02","","","","","","","","","MZP2016UMB-MT02-00010","","","","39","28","7","7","3","28","28","16","80","2.5","4.6","10.9","9","7","1","50.1","13.4","3","5","3","7","3.12","1.27","0.84","20.21","4.92","69.79","2.33","4.06","11.59","0.65","7.1","18","96","0.15625","0.0575","0.073958333","3.428571429","2.461538462","0.571428571","0.41025641","0.253571429","0.182051282","0.389285714","0.279487179","16.66666667","39.44444444","71.79487179","26.74650699","1.899001996","2.374169041","3.306878307","6.742640076","9.391534392","10.35137702","14.41798942","1.803420699","2.511907402","17.09401709","23.80952381"
"","","MZP2016UMB-MT02","","","","","","","","","MZP2016UMB-MT02-00011","","","","39","22","5","5","7","22","15","15","10","3.9","1","18.3","3","3","3","50.1","13.7","5","3","5","7","4.25","1.49","1.08","86.88","1.65","69.94","1.38","3.26","12.4","0.78","4.9","23.2","25","0.26","0.1","0.196","1.136363636","0.641025641","0.681818182","0.384615385","0.222727273","0.125641026","0.831818182","0.469230769","60","21.12068966","56.41025641","27.34530938","1.33992016","3.703703704","6.565656566","4.65337132","8.249158249","17.37891738","30.80808081","1.272478784","2.255757845","22.0322887","39.05723906"
"","","MZP2016UMB-MT02","","","","","","","","","MZP2016UMB-MT02-00012","","","","39","18","5","5","5","18","14","27","54","4.6","1.2","14.4","5","3","1","50.1","13.4","5","5","5","5","3.03","1.52","0.94","32.62","7.76","64.13","2.54","4.21","16.02","0.65","5.8","20.2","81","0.17037037","0.022222222","0.071604938","4.5","2.076923077","1.5","0.692307692","0.322222222","0.148717949","0.8","0.369230769","33.33333333","28.71287129","46.15384615","26.74650699","1.551297405","4.368471035","9.465020576","5.508072175","11.93415638","13.67521368","29.62962963","1.473216909","3.19196997","19.18328585","41.56378601"
"","","MZP2016UMB-MT02","","","","","","","","","MZP2016UMB-MT02-00013","","","","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2016UMB-MT02","","","","","","","","","MZP2016UMB-MT02-00014","","","","39","25","1","1","5","25","25","17","57","2.1","4.6","14.8","5","5","1","50.1","16.9","5","5","5","3","2.75","1.14","0.63","17.49","7.23","74.1","1.77","3.07","8.61","0.9","6.7","21.5","74","0.123529412","0.080701754","0.090540541","2.96","1.897435897","0.68","0.435897436","0.268","0.171794872","0.592","0.379487179","22.97297297","31.1627907","64.1025641","33.73253493","2.26007984","1.994301994","3.111111111","6.362773029","9.925925926","14.05508072","21.92592593","2.146324635","3.34826643","20.41785375","31.85185185"
"","","MZP2016UMB-MT02","","","","","","","","","MZP2016UMB-MT02-00015","","","","39","27","1","1","5","27","26","38","80","8.1","3.9","13.4","1","1","3","50.1","13.8","7","5","7","3","3.45","1.62","0.98","24.94","4.92","64.2","1.4","2.7","16.99","0.54","12","25.4","118","0.213157895","0.04875","0.101694915","4.37037037","3.025641026","1.407407407","0.974358974","0.444444444","0.307692308","0.496296296","0.343589744","32.20338983","47.24409449","69.23076923","27.54491018","3.305389222","7.692307692","11.11111111","11.3960114","16.46090535","12.72554606","18.38134431","3.139021103","4.534141593","24.12155745","34.84224966"
"","","MZP2016UMB-MT02","","","","","","","","","MZP2016UMB-MT02-00016","","","","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2016UMB-MT02","","","","","","","","","MZP2016UMB-MT02-00017","","","","39","24","7","7","3","24","17","12","20","0.7","2","11.6","3","1","1","50.1","13.9","9","9","7","1","2.7","1.5","0.94","31.58","4.92","58.39","3.21","4.94","19.69","0.66","2.7","14.3","32","0.058333333","0.1","0.084375","1.333333333","0.820512821","0.5","0.307692308","0.1125","0.069230769","0.483333333","0.297435897","37.5","18.88111888","61.53846154","27.74451098","0.749101796","0.664767331","1.080246914","2.564102564","4.166666667","11.01614435","17.90123457","0.711397717","1.156021291","13.58024691","22.06790123"
"","","MZP2016UMB-MT02","","","","","","","","","MZP2016UMB-MT02-00018","","","","39","31","1","1","3","31","30","52","81","7.5","4.4","13.7","3","3","1","50.1","14.1","7","7","7","3","3.77","1.67","1.15","83.05","12.39","64.98","1.38","3.18","15.16","0.68","11.9","25.6","133","0.144230769","0.054320988","0.089473684","4.290322581","3.41025641","1.677419355","1.333333333","0.383870968","0.305128205","0.441935484","0.351282051","39.09774436","46.484375","79.48717949","28.14371257","3.349101796","7.122507123","8.960573477","11.30104463","14.21744325","13.01044634","16.36798088","3.18053352","4.001316364","24.31149098","30.58542413"
"","","MZP2016UMB-MT02","","","","","","","","","MZP2016UMB-MT02-00019","","","","39","29","1","1","7","29","29","41","29","11","2","18.1","3","5","1","50.1","16.3","9","7","7","3","3.62","1.3","0.71","15.26","7.23","71.45","2.02","3.27","10.03","0.87","13","31.1","70","0.268292683","0.068965517","0.185714286","2.413793103","1.794871795","1.413793103","1.051282051","0.448275862","0.333333333","0.624137931","0.464102564","58.57142857","41.80064309","74.35897436","32.53493014","4.229540918","10.44634378","14.04853129","12.34567901","16.60280971","17.18898386","23.11621967","4.016658042","5.401712539","29.53466287","39.71902937"
"","","MZP2016UMB-MT02","","","","","","","","","MZP2016UMB-MT02-00020","","","","39","28","1","1","3","28","28","47","30","12.9","2.7","10.3","3","3","1","50.1","14.2","5","5","5","5","3.82","1.4","0.96","12.14","1.76","70.17","1.71","3.09","9.25","0.65","15.6","25.9","77","0.274468085","0.09","0.202597403","2.75","1.974358974","1.678571429","1.205128205","0.557142857","0.4","0.367857143","0.264102564","61.03896104","60.23166023","71.79487179","28.34331337","4.421556886","12.25071225","17.06349206","14.81481481","20.63492063","9.781576448","13.62433862","4.199009389","5.84862022","24.59639126","34.25925926"
"","","MZP2016UMB-MT02","","","","","","","","","MZP2016UMB-MT02-00021","","","","39","25","1","1","3","25","25","42","55","6.3","4.1","10.6","3","5","1","50","16.5","5","3","5","7","2.59","1.11","0.59","12.99","4.61","71.48","1.95","3.13","12.39","0.8","10.4","21","97","0.15","0.074545455","0.107216495","3.88","2.487179487","1.68","1.076923077","0.416","0.266666667","0.424","0.271794872","43.29896907","49.52380952","64.1025641","33","3.432","5.982905983","9.333333333","9.87654321","15.40740741","10.06647673","15.7037037","3.259259259","5.084444444","19.94301994","31.11111111"
"","","MZP2016UMB-MT02","","","","","","","","","MZP2016UMB-MT02-00022","","","","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
