"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root dry matter content computing percent|CO_331:0000297","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_non_irrigation"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00020","","","","90","50","40","30","62","24.7","9.5","30.2","1","1","32.91","1.92","66.27","1.1","11.87","34.2","64.4","92","0.823333333","0.153225806","0.37173913","1.84","1.022222222","0.6","0.333333333","0.684","0.38","0.604","0.335555556","32.60869565","53.10559006","55.55555556","11.25522","10.16460905","18.2962963","14.07407407","25.33333333","12.42798354","22.37037037","4.631777778","8.3372","26.50205761","47.7037037","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00060","","","","90","49","46","50","64","14.6","15.2","41.5","3","3","35.03","2.23","66.21","1.11","20.53","29.8","71.3","114","0.292","0.2375","0.261403509","2.326530612","1.266666667","1.020408163","0.555555556","0.608163265","0.331111111","0.846938776","0.461111111","43.85964912","41.79523142","54.44444444","10.43894","6.008230453","11.03552532","12.26337449","22.52456538","17.0781893","31.3681028","4.295860082","7.890355253","29.34156379","53.89266818","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00005","","","","90","40","40","25","45","24.9","9.2","30.2","1","1","35.64","1.97","64.56","1.18","4.62","34.1","64.3","70","0.996","0.204444444","0.487142857","1.75","0.777777778","0.625","0.277777778","0.8525","0.378888889","0.755","0.335555556","35.71428571","53.03265941","44.44444444","12.15324","10.24691358","23.05555556","14.03292181","31.57407407","12.42798354","27.96296296","5.001333333","11.253","26.46090535","59.53703704","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00062","","","","90","40","40","40","66","12.6","12.5","47.3","1","3","37.68","1.81","66.76","1.11","5.4","25.1","72.4","106","0.315","0.189393939","0.236792453","2.65","1.177777778","1","0.444444444","0.6275","0.278888889","1.1825","0.525555556","37.73584906","34.66850829","44.44444444","9.45768","5.185185185","11.66666667","10.32921811","23.24074074","19.46502058","43.7962963","3.892049383","8.757111111","29.79423868","67.03703704","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00024","","","","90","70","60","35","66","20.1","12.7","40.8","1","3","36.53","2.32","61.28","1.23","30.66","32.8","73.6","101","0.574285714","0.192424242","0.324752475","1.442857143","1.122222222","0.5","0.388888889","0.468571429","0.364444444","0.582857143","0.453333333","34.65346535","44.56521739","77.77777778","11.98184","8.271604938","10.63492063","13.49794239","17.35449735","16.79012346","21.58730159","4.930798354","6.339597884","30.28806584","38.94179894","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00065","","","","90","60","55","44","70","13","10.3","50.3","3","3","37.78","2.09","64.09","1.21","14.96","23.3","73.6","114","0.295454545","0.147142857","0.204385965","1.9","1.266666667","0.733333333","0.488888889","0.388333333","0.258888889","0.838333333","0.558888889","38.59649123","31.6576087","66.66666667","8.80274","5.349794239","8.024691358","9.588477366","14.38271605","20.69958848","31.04938272","3.622526749","5.433790123","30.28806584","45.43209877","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00018","","","","90","50","50","28","46","13.9","8.7","35.2","1","3","31.9","1.95","58.99","1.15","25.83","22.6","57.8","74","0.496428571","0.189130435","0.305405405","1.48","0.822222222","0.56","0.311111111","0.452","0.251111111","0.704","0.391111111","37.83783784","39.10034602","55.55555556","7.2094","5.720164609","10.2962963","9.300411523","16.74074074","14.48559671","26.07407407","2.966831276","5.340296296","23.78600823","42.81481481","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00039","","","","90","40","40","39","57","16.4","12.6","40.1","7","3","31.67","1.96","56.81","1.23","27.64","29","69.1","96","0.420512821","0.221052632","0.302083333","2.4","1.066666667","0.975","0.433333333","0.725","0.322222222","1.0025","0.445555556","40.625","41.96816208","44.44444444","9.1843","6.748971193","15.18518519","11.93415638","26.85185185","16.50205761","37.12962963","3.779547325","8.503981481","28.43621399","63.98148148","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00007","","","","90","52","52","30","40","17.5","10","70.5","1","3","38.96","1.83","65.77","0.96","","27.5","98","70","0.583333333","0.25","0.392857143","1.346153846","0.777777778","0.576923077","0.333333333","0.528846154","0.305555556","1.355769231","0.783333333","42.85714286","28.06122449","57.77777778","10.714","7.201646091","12.46438746","11.31687243","19.58689459","29.01234568","50.21367521","4.409053498","7.631054131","40.32921811","69.8005698","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00055","","","","90","50","50","60","70","25.6","15.3","62.3","3","1","42.35","1.89","68.58","0.84","","40.9","103.2","130","0.426666667","0.218571429","0.314615385","2.6","1.444444444","1.2","0.666666667","0.818","0.454444444","1.246","0.692222222","46.15384615","39.63178295","55.55555556","17.32115","10.53497942","18.96296296","16.83127572","30.2962963","25.63786008","46.14814815","7.128045267","12.83048148","42.4691358","76.44444444","1"
