"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00013","","","","120","64","64","37","50","3.02","1.2","20.85","1","5","4.22","25.07","87","0.081621622","0.024","0.048505747","1.359375","0.725","0.578125","0.308333333","0.0659375","0.035166667","0.32578125","0.17375","42.52873563","16.83286797","53.33333333","0.932098765","1.747685185","1.302469136","2.44212963","6.435185185","12.06597222","7.737654321","14.50810185"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00046","","","","140","60","60","42","57","20","6","33","2","4","26","59","99","0.476190476","0.105263158","0.262626263","1.65","0.707142857","0.7","0.3","0.433333333","0.185714286","0.55","0.235714286","42.42424242","44.06779661","42.85714286","5.291005291","12.34567901","6.878306878","16.04938272","8.73015873","20.37037037","15.60846561","36.41975309"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00021","","","","120","64","64","74","82","28.14","0.04","19.19","1","5","28.18","47.37","156","0.38027027","0.000487805","0.180641026","2.4375","1.3","1.15625","0.616666667","0.4403125","0.234833333","0.29984375","0.159916667","47.43589744","59.48912814","53.33333333","8.685185185","16.28472222","8.697530864","16.30787037","5.922839506","11.10532407","14.62037037","27.41319444"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00054","","","","140","63","63","44","120","50","6","21","4","5","56","77","164","1.136363636","0.05","0.341463415","2.603174603","1.171428571","0.698412698","0.314285714","0.888888889","0.4","0.333333333","0.15","26.82926829","72.72727273","45","13.22751323","29.39447384","14.81481481","32.9218107","5.555555556","12.34567901","20.37037037","45.26748971"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00032","","","","120","67","67","44","70","15","6","22","2","5","21","43","114","0.340909091","0.085714286","0.184210526","1.701492537","0.95","0.656716418","0.366666667","0.313432836","0.175","0.328358209","0.183333333","38.59649123","48.8372093","55.83333333","4.62962963","8.291873964","6.481481481","11.60862355","6.790123457","12.16141515","13.27160494","23.7700387"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00065","","","","100","72","72","72","37","27","3","31","2","5","30","61","109","0.375","0.081081081","0.275229358","1.513888889","1.09","1","0.72","0.416666667","0.3","0.430555556","0.31","66.05504587","49.18032787","72","10","13.88888889","11.11111111","15.43209877","11.48148148","15.94650206","22.59259259","31.37860082"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00003","","","","140","56","56","58","76","11.95","9.95","33.62","1","4","21.9","55.52","134","0.206034483","0.130921053","0.163432836","2.392857143","0.957142857","1.035714286","0.414285714","0.391071429","0.156428571","0.600357143","0.240142857","43.28358209","39.44524496","40","3.161375661","7.903439153","5.793650794","14.48412698","8.894179894","22.23544974","14.68783069","36.71957672"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00036","","","","120","68","68","103","89","4.91","4.91","31.9","3","4","9.82","41.72","192","0.047669903","0.055168539","0.051145833","2.823529412","1.6","1.514705882","0.858333333","0.144411765","0.081833333","0.469117647","0.265833333","53.64583333","23.53787152","56.66666667","1.515432099","2.674291939","3.030864198","5.348583878","9.845679012","17.37472767","12.87654321","22.72331155"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00015","","","","120","90","90","62","48","4.55","2.5","55.44","1","4","7.05","62.49","110","0.073387097","0.052083333","0.064090909","1.222222222","0.916666667","0.688888889","0.516666667","0.078333333","0.05875","0.616","0.462","56.36363636","11.28180509","75","1.404320988","1.872427984","2.175925926","2.901234568","17.11111111","22.81481481","19.28703704","25.71604938"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00048","","","","120","72","72","43","40","23","7.5","41.5","2","5","30.5","72","83","0.534883721","0.1875","0.36746988","1.152777778","0.691666667","0.597222222","0.358333333","0.423611111","0.254166667","0.576388889","0.345833333","51.80722892","42.36111111","60","7.098765432","11.83127572","9.413580247","15.68930041","12.80864198","21.34773663","22.22222222","37.03703704"
