"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00001","","","","39","39","1","1","7","38","19","23","5","6","31","6","3","3","1","11","42","42","0.263157895","0.260869565","0.261904762","1.105263158","1.076923077","0.5","0.487179487","0.289473684","0.282051282","0.815789474","0.794871795","45.23809524","26.19047619","97.43589744","4.748338082","4.873294347","10.44634378","10.72124756","29.43969611","30.21442495","39.88603989","40.93567251"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00002","","","","39","38","1","1","5","37","32","42","7.5","11","20.1","5","3","3","1","18.5","38.6","74","0.234375","0.261904762","0.25","2","1.897435897","0.864864865","0.820512821","0.5","0.474358974","0.543243243","0.515384615","43.24324324","47.92746114","94.87179487","7.122507123","7.507507508","17.5688509","18.51851852","19.08831909","20.12012012","36.65716999","38.63863864"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00003","","","","39","35","1","1","5","34","21","39","5.5","8","22.1","6","3","3","1","13.5","35.6","60","0.261904762","0.205128205","0.225","1.764705882","1.538461538","0.617647059","0.538461538","0.397058824","0.346153846","0.65","0.566666667","35","37.92134831","87.17948718","5.22317189","5.991285403","12.82051282","14.70588235","20.98765432","24.07407407","33.80816714","38.77995643"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00004","","","","39","36","1","1","5","35","22","41","5.7","10.1","33.5","6","3","3","1","15.8","49.3","63","0.259090909","0.246341463","0.250793651","1.8","1.615384615","0.628571429","0.564102564","0.451428571","0.405128205","0.957142857","0.858974359","34.92063492","32.04868154","89.74358974","5.413105413","6.031746032","15.00474834","16.71957672","31.81386515","35.44973545","46.81861349","52.16931217"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00005","","","","39","32","1","1","5","31","20","32","5","7.5","27.3","2","3","3","1","12.5","39.8","52","0.25","0.234375","0.240384615","1.677419355","1.333333333","0.64516129","0.512820513","0.403225806","0.320512821","0.880645161","0.7","38.46153846","31.40703518","79.48717949","4.748338082","5.973715651","11.8708452","14.93428913","25.92592593","32.61648746","37.79677113","47.55077658"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00006","","","","39","30","1","1","5","30","24","45","6","12","21.9","4","3","3","1","18","39.9","69","0.25","0.266666667","0.260869565","2.3","1.769230769","0.8","0.615384615","0.6","0.461538462","0.73","0.561538462","34.7826087","45.11278195","76.92307692","5.698005698","7.407407407","17.09401709","22.22222222","20.7977208","27.03703704","37.89173789","49.25925926"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00007","","","","39","31","3","9","5","30","20","29","5","6","23","2","3","3","1","11","34","49","0.25","0.206896552","0.224489796","1.633333333","1.256410256","0.666666667","0.512820513","0.366666667","0.282051282","0.766666667","0.58974359","40.81632653","32.35294118","76.92307692","4.748338082","6.172839506","10.44634378","13.58024691","21.84235518","28.39506173","32.28869896","41.97530864"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00008","","","","39","30","1","1","5","30","22","45","5.5","11.5","30.5","7","3","3","1","17","47.5","67","0.25","0.255555556","0.253731343","2.233333333","1.717948718","0.733333333","0.564102564","0.566666667","0.435897436","1.016666667","0.782051282","32.8358209","35.78947368","76.92307692","5.22317189","6.790123457","16.14434948","20.98765432","28.9648623","37.65432099","45.10921178","58.64197531"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00009","","","","39","39","1","1","5","38","42","83","12.5","18.5","32.5","6","1","1","1","31","63.5","125","0.297619048","0.222891566","0.248","3.289473684","3.205128205","1.105263158","1.076923077","0.815789474","0.794871795","0.855263158","0.833333333","33.6","48.81889764","97.43589744","11.8708452","12.18323587","29.43969611","30.21442495","30.86419753","31.67641326","60.30389364","61.89083821"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00010","","","","39","38","1","3","5","37","31","59","7.5","13.5","30.5","4","1","1","3","21","51.5","90","0.241935484","0.228813559","0.233333333","2.432432432","2.307692308","0.837837838","0.794871795","0.567567568","0.538461538","0.824324324","0.782051282","34.44444444","40.77669903","94.87179487","7.122507123","7.507507508","19.94301994","21.02102102","28.9648623","30.53053053","48.90788224","51.55155155"
